,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0,1728027343639,-0.20532227,-0.9920044,-0.10333252,6.90625,3.578125,0.34375
1,1,1728027343679,-0.19726562,-0.9680786,-0.109680176,1.984375,0.453125,2.078125
2,2,1728027343719,-0.17260742,-0.9624634,-0.15240479,8.25,3.53125,3.5
3,3,1728027343759,-0.1652832,-0.95806885,-0.16900635,8.515625,6.65625,5.9375
4,4,1728027343799,-0.15039062,-0.95880127,-0.06964111,10.1875,8.546875,5.796875
5,5,1728027343839,-0.18896484,-0.9639282,-0.13092041,0.875,-2.828125,6.96875
6,6,1728027343879,-0.20874023,-0.93536377,-0.07183838,-3.390625,0.46875,4.15625
7,7,1728027343919,-0.234375,-0.9783325,-0.090148926,-7.734375,-6.21875,4.828125
8,8,1728027343959,-0.23461914,-0.95684814,-0.11260986,-5.34375,-4.671875,2.765625
9,9,1728027343999,-0.24560547,-0.9829712,-0.112854004,0.390625,-0.921875,4.421875
10,10,1728027344039,-0.19458008,-0.9505005,-0.10064697,3.015625,1.515625,3.03125
11,11,1728027344079,-0.17358398,-1.0093384,-0.09112549,6.59375,7.15625,5.84375
12,12,1728027344119,-0.2109375,-1.0056763,-0.26153564,-0.875,6.078125,7.828125
13,13,1728027344159,0.011962891,-1.2283325,-0.4998169,-2.96875,-12.859375,12.234375
14,14,1728027344199,0.040527344,-1.5527954,-0.17608643,0.65625,-10.140625,12.3125
15,15,1728027344239,-0.033203125,-1.4043579,-0.25811768,2.859375,-15.453125,8.703125
16,16,1728027344279,0.19335938,-0.9788208,-0.39849854,5.421875,-8.609375,6.421875
17,17,1728027344319,0.24731445,-0.83673096,-0.3352661,8.921875,-4.828125,8.640625
18,18,1728027344359,0.1430664,-0.96221924,-0.19903564,8.15625,-7.703125,7.8125
19,19,1728027344399,0.0034179688,-0.925354,-0.15924072,5.90625,-10.140625,3.828125
20,20,1728027344439,0.084228516,-0.835022,-0.13873291,0.59375,-11.328125,-0.3125
21,21,1728027344479,0.061767578,-0.7246704,-0.1987915,1.140625,-11.859375,-1.890625
22,22,1728027344519,0.09814453,-0.70318604,-0.20220947,6.21875,-13.265625,-0.6875
23,23,1728027344559,0.029296875,-0.73565674,-0.13970947,5.71875,-11.828125,-0.375
24,24,1728027344599,-0.0029296875,-0.8167114,-0.12335205,5.421875,-11.125,-0.28125
25,25,1728027344639,0.018798828,-0.7979126,-0.19464111,8.140625,-10.4375,-0.96875
26,26,1728027344679,0.080078125,-0.8574829,-0.16217041,6.359375,-6.515625,-0.625
27,27,1728027344719,-0.014404297,-0.88653564,-0.113098145,1.3125,-0.734375,-3.265625
28,28,1728027344759,0.087890625,-0.8970337,-0.09844971,2.328125,1.171875,-3.234375
29,29,1728027344799,0.08251953,-0.9951782,-0.2774048,1.96875,-4.484375,-0.25
30,30,1728027344839,0.01977539,-1.1472778,-0.33673096,9.546875,-3.34375,-2.34375
31,31,1728027344879,-0.018310547,-1.1929321,-0.28692627,21.171875,5.28125,-7.984375
32,32,1728027344919,0.16064453,-1.2903442,-0.45489502,1.34375,-5.359375,1.421875
33,33,1728027344959,-0.0043945312,-1.3294067,-0.41412354,2.921875,-13.859375,-2.0625
34,34,1728027344999,-0.091552734,-0.92559814,-0.43951416,18.109375,23.359375,-10.09375
35,35,1728027345039,0.25708008,-0.6721802,-0.55426025,6.234375,18.296875,2.0625
36,36,1728027345079,-0.040039062,-0.82110596,-0.5305786,-0.59375,12.609375,8.453125
37,37,1728027345119,-0.14746094,-0.97052,-0.41949463,4.890625,19.5625,3.46875
38,38,1728027345159,-0.13012695,-0.8335571,-0.33770752,6.640625,22.453125,0.546875
39,39,1728027345199,-0.052001953,-0.7437134,-0.28448486,5.671875,17.453125,0.28125
40,40,1728027345239,-0.057128906,-0.64190674,-0.33795166,4.703125,12.703125,0.984375
41,41,1728027345279,-0.032958984,-0.67193604,-0.29180908,4.78125,13.984375,1.84375
42,42,1728027345319,-0.09790039,-0.7444458,-0.284729,-2.0,7.171875,0.84375
43,43,1728027345359,-0.0715332,-0.7896118,-0.33477783,-9.640625,3.703125,0.953125
44,44,1728027345399,-0.10205078,-0.8543091,-0.28619385,-4.765625,6.796875,0.546875
45,45,1728027345439,-0.15454102,-0.9702759,-0.29400635,-2.28125,1.09375,-0.609375
46,46,1728027345479,-0.18725586,-1.0430298,-0.28619385,-8.359375,5.890625,-1.59375
47,47,1728027345519,-0.26635742,-1.1277466,-0.26153564,-13.671875,10.296875,-0.953125
48,48,1728027345559,-0.11328125,-1.0669556,-0.36358643,-16.25,0.921875,-0.4375
49,49,1728027345599,-0.049072266,-1.2229614,-0.36602783,-12.125,-4.03125,7.96875
50,50,1728027345639,-0.08251953,-1.3584595,-0.6992798,-16.78125,-17.515625,12.71875
51,51,1728027345679,0.27246094,-1.0715942,-0.79766846,21.1875,-4.65625,5.75
52,52,1728027345719,0.28564453,-0.91851807,-0.25201416,36.765625,38.390625,1.46875
53,53,1728027345759,0.044189453,-0.8604126,-0.3045044,-12.65625,-22.421875,11.59375
54,54,1728027345799,0.00024414062,-0.8328247,-0.37457275,-18.15625,-36.546875,12.03125
55,55,1728027345839,-0.05908203,-0.86505127,-0.2715454,-5.5,-9.140625,1.078125
56,56,1728027345879,0.037109375,-0.7905884,-0.20831299,7.265625,3.78125,-4.203125
57,57,1728027345919,0.087890625,-0.6555786,-0.18048096,6.953125,0.453125,-2.328125
58,58,1728027345959,0.019042969,-0.65167236,-0.18341064,-2.859375,-5.90625,4.921875
59,59,1728027345999,-0.0009765625,-0.64141846,-0.20587158,-4.890625,-1.953125,4.828125
60,60,1728027346039,0.017578125,-0.7554321,-0.17608643,2.0,2.84375,1.265625
61,61,1728027346079,0.072021484,-0.8218384,-0.18560791,6.828125,-0.046875,0.484375
62,62,1728027346119,0.11669922,-0.8574829,-0.20269775,-0.875,-3.515625,1.078125
63,63,1728027346159,0.06347656,-1.0132446,-0.20098877,-3.109375,1.015625,-1.78125
64,64,1728027346199,0.022460938,-1.1255493,-0.16851807,-8.71875,-11.203125,-9.90625
65,65,1728027346239,-0.047851562,-1.288147,-0.3447876,-10.984375,-23.21875,-11.546875
66,66,1728027346279,0.0637207,-1.1782837,-0.5552368,-2.15625,-16.359375,-5.0625
67,67,1728027346319,0.018310547,-1.3059692,-0.45758057,7.859375,-4.203125,-11.109375
68,68,1728027346359,-0.012939453,-1.0186157,-0.44854736,20.265625,33.6875,-18.65625
69,69,1728027346399,0.03540039,-0.8699341,-0.5046997,6.125,29.453125,1.234375
70,70,1728027346439,-0.06616211,-0.7918091,-0.44586182,2.71875,6.265625,0.375
71,71,1728027346479,-0.12231445,-0.91119385,-0.43145752,3.4375,9.296875,-4.421875
72,72,1728027346519,-0.17944336,-0.83917236,-0.32989502,13.375,21.578125,-6.15625
73,73,1728027346559,-0.09423828,-0.6675415,-0.20147705,15.453125,19.84375,-4.890625
74,74,1728027346599,-0.110839844,-0.611145,-0.2654419,-3.609375,9.21875,3.875
75,75,1728027346639,-0.10522461,-0.65289307,-0.3460083,-3.6875,9.828125,6.890625
76,76,1728027346679,-0.15795898,-0.7546997,-0.2942505,2.0625,11.171875,8.78125
77,77,1728027346719,-0.15893555,-0.8401489,-0.30230713,-0.515625,9.203125,9.359375
78,78,1728027346759,-0.16088867,-0.90997314,-0.26324463,-4.4375,11.375,4.859375
79,79,1728027346799,-0.15600586,-0.8665161,-0.2288208,-1.25,6.828125,3.59375
80,80,1728027346839,-0.19042969,-0.84698486,-0.26715088,-3.09375,1.953125,1.546875
81,81,1728027346879,-0.19238281,-0.9692993,-0.25811768,-1.046875,1.5625,1.0
82,82,1728027346919,-0.23706055,-1.0889282,-0.32818604,-1.25,7.484375,2.03125
83,83,1728027346959,-0.17773438,-1.1685181,-0.27716064,-5.1875,6.28125,7.6875
84,84,1728027346999,-0.12475586,-1.3025513,-0.65826416,-10.453125,2.3125,18.265625
85,85,1728027347039,0.012939453,-1.4199829,-0.72979736,-1.546875,-5.40625,9.359375
86,86,1728027347079,0.15258789,-0.98931885,-0.48712158,18.0625,17.96875,0.40625
87,87,1728027347119,0.10107422,-0.8323364,-0.39898682,1.6875,0.53125,4.46875
88,88,1728027347159,0.10961914,-0.7617798,-0.40704346,-12.8125,-20.46875,6.671875
89,89,1728027347199,-0.103515625,-0.9553833,-0.28204346,-17.40625,-14.25,4.109375
90,90,1728027347239,0.0009765625,-0.84503174,-0.26519775,-5.5,-4.53125,-2.796875
91,91,1728027347279,0.06347656,-0.72491455,-0.20831299,-1.109375,-3.9375,2.328125
92,92,1728027347319,-0.056396484,-0.72979736,-0.22491455,-9.921875,-13.859375,8.578125
93,93,1728027347359,-0.05810547,-0.71221924,-0.20928955,-10.828125,-6.6875,12.734375
94,94,1728027347399,-0.022705078,-0.78863525,-0.14923096,-9.0625,6.296875,8.15625
95,95,1728027347439,0.0056152344,-0.8115845,-0.14776611,-3.90625,8.328125,2.75
96,96,1728027347479,0.0012207031,-0.8484497,-0.13311768,-11.78125,-1.890625,5.65625
97,97,1728027347519,0.017333984,-0.8027954,-0.12628174,-10.59375,0.53125,3.484375
98,98,1728027347559,0.041259766,-0.895813,-0.15264893,-15.5,-2.953125,3.953125
99,99,1728027347599,-0.064208984,-0.99102783,-0.03643799,-4.171875,6.375,-2.703125
100,100,1728027347639,-0.04345703,-1.0786743,-0.12945557,-7.5625,-0.6875,-2.78125
101,101,1728027347679,-0.018310547,-1.156311,-0.21929932,-4.796875,2.15625,-3.890625
102,102,1728027347719,0.0048828125,-1.3972778,-0.348938,-7.9375,1.5625,-2.65625
103,103,1728027347759,0.11816406,-1.3267212,-0.27716064,6.015625,2.5625,-3.375
104,104,1728027347799,-0.099853516,-1.1126099,-0.15216064,25.109375,21.421875,-9.9375
105,105,1728027347839,0.087402344,-0.90826416,-0.5120239,-0.328125,33.25,0.3125
106,106,1728027347879,-0.068115234,-0.73516846,-0.39727783,1.5625,30.859375,7.546875
107,107,1728027347919,-0.08666992,-0.99224854,-0.32940674,-0.25,23.421875,7.53125
108,108,1728027347959,-0.11669922,-0.9585571,-0.1963501,11.40625,33.671875,3.59375
109,109,1728027347999,-0.08642578,-0.7390747,-0.17486572,7.828125,31.203125,4.46875
110,110,1728027348039,-0.043945312,-0.6382446,-0.23199463,0.71875,30.390625,6.4375
111,111,1728027348079,-0.063964844,-0.68218994,-0.25274658,-5.140625,25.1875,9.75
112,112,1728027348119,-0.083984375,-0.77716064,-0.24102783,0.546875,25.015625,7.53125
113,113,1728027348159,-0.061767578,-0.8423462,-0.19195557,1.578125,21.3125,7.390625
114,114,1728027348199,-0.07543945,-0.8911743,-0.1987915,-2.46875,17.875,7.875
115,115,1728027348239,-0.123291016,-0.897522,-0.16851807,-1.453125,17.203125,4.59375
116,116,1728027348279,-0.15844727,-0.9668579,-0.16851807,-4.125,13.5625,3.6875
117,117,1728027348319,-0.17407227,-1.0762329,-0.23321533,2.296875,19.1875,3.078125
118,118,1728027348359,-0.1652832,-1.1399536,-0.28790283,6.71875,27.546875,7.40625
119,119,1728027348399,-0.11816406,-1.1980591,-0.19659424,1.078125,32.046875,8.421875
120,120,1728027348439,0.03955078,-1.2993774,-0.5701294,-24.890625,2.765625,19.453125
121,121,1728027348479,0.12011719,-1.447815,-0.52056885,5.234375,0.09375,13.703125
122,122,1728027348519,0.083984375,-0.9951782,-0.13482666,23.703125,27.1875,1.875
123,123,1728027348559,0.30859375,-0.69000244,-0.46148682,1.71875,9.203125,11.40625
124,124,1728027348599,0.076416016,-0.65216064,-0.41900635,-1.75,-1.125,18.375
125,125,1728027348639,-0.09375,-1.0003052,-0.222229,-0.609375,-0.09375,4.390625
126,126,1728027348679,0.021484375,-0.9187622,-0.1741333,6.890625,0.765625,-0.03125
127,127,1728027348719,0.07055664,-0.848938,-0.14654541,-1.453125,-3.671875,3.109375
128,128,1728027348759,0.033691406,-0.77349854,-0.17852783,-7.6875,-1.859375,1.109375
129,129,1728027348799,0.07397461,-0.7241821,-0.1506958,-2.703125,-0.09375,3.6875
130,130,1728027348839,0.007080078,-0.7581177,-0.10723877,-1.125,0.453125,3.953125
131,131,1728027348879,-0.008300781,-0.7456665,-0.14385986,-1.125,-2.390625,4.015625
132,132,1728027348919,0.02368164,-0.75494385,-0.19903564,2.109375,2.3125,2.421875
133,133,1728027348959,0.020751953,-0.90802,-0.10406494,-0.734375,7.671875,1.03125
134,134,1728027348999,-0.034423828,-1.0679321,-0.073791504,-5.859375,6.25,-2.84375
135,135,1728027349039,0.0126953125,-1.1868286,-0.1987915,-9.609375,-0.203125,-5.296875
136,136,1728027349079,0.049560547,-1.1165161,-0.34918213,-4.078125,0.828125,-1.40625
137,137,1728027349119,0.114990234,-1.2114868,-0.38775635,-0.609375,-13.125,0.484375
138,138,1728027349159,-0.06201172,-1.4307251,-0.42388916,12.3125,1.796875,-10.5625
139,139,1728027349199,-0.008544922,-0.9380493,-0.34747314,29.796875,37.78125,-9.484375
140,140,1728027349239,0.13110352,-0.7546997,-0.47296143,7.96875,21.90625,5.40625
141,141,1728027349279,-0.1484375,-0.86383057,-0.40045166,10.234375,21.765625,5.3125
142,142,1728027349319,-0.27270508,-0.9639282,-0.36724854,5.421875,19.859375,0.90625
143,143,1728027349359,-0.14526367,-0.85723877,-0.32061768,17.578125,38.921875,0.640625
144,144,1728027349399,-0.1274414,-0.7842407,-0.2835083,16.609375,39.40625,4.28125
145,145,1728027349439,-0.031982422,-0.62286377,-0.3423462,11.515625,35.1875,8.4375
146,146,1728027349479,-0.033203125,-0.661438,-0.33233643,3.296875,26.171875,17.234375
147,147,1728027349519,-0.0925293,-0.78619385,-0.3118286,-0.234375,24.75,15.296875
148,148,1728027349559,-0.11450195,-0.8699341,-0.29571533,-0.34375,20.515625,14.265625
149,149,1728027349599,-0.18139648,-0.8213501,-0.31915283,-0.859375,17.828125,8.25
150,150,1728027349639,-0.1821289,-0.87042236,-0.25616455,-0.15625,13.984375,5.28125
151,151,1728027349679,-0.25634766,-0.9541626,-0.3555298,-7.09375,7.40625,6.078125
