,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0,1727887686039,-0.28515625,-0.7600708,0.08294678,34.671875,-24.0,19.609375
1,1,1727887686079,-0.71899414,-0.5823364,-0.094055176,23.046875,-5.75,7.625
2,2,1727887686119,-0.91381836,-0.59503174,0.15789795,2.328125,12.25,0.640625
3,3,1727887686159,-0.4580078,-0.4055786,0.12225342,-36.84375,31.484375,-16.25
4,4,1727887686199,-0.52783203,-0.60284424,-0.02935791,21.5625,25.1875,-8.109375
5,5,1727887686239,-0.41601562,-0.85772705,0.014587402,47.890625,2.0,3.484375
6,6,1727887686279,-0.5058594,-0.7022095,-0.04888916,5.453125,-6.1875,-5.390625
7,7,1727887686319,-0.7211914,-0.6170044,-0.40802002,-15.25,-8.1875,-1.4375
8,8,1727887686359,-1.2695312,-1.1433716,-0.14263916,-100.453125,59.859375,-15.359375
9,9,1727887686399,-1.777832,-1.7632446,-0.44683838,-57.34375,-34.84375,-14.90625
10,10,1727887686439,-1.2058105,-0.8609009,-0.0037231445,-48.890625,5.90625,-20.109375
11,11,1727887686479,-0.96899414,-0.9221802,0.070739746,-55.359375,28.4375,-16.78125
12,12,1727887686519,-0.69433594,-0.6675415,-0.16851807,-21.96875,-11.796875,2.015625
13,13,1727887686559,-0.4345703,-0.48590088,-0.09210205,18.671875,-10.71875,19.71875
14,14,1727887686599,-0.3701172,-0.33502197,-0.12554932,30.203125,-26.75,19.203125
15,15,1727887686639,-0.6123047,-0.317688,-0.1194458,19.515625,-58.234375,18.640625
16,16,1727887686679,-0.6645508,-0.3435669,-0.06549072,35.8125,-18.21875,14.421875
17,17,1727887686719,-0.642334,-0.4397583,-0.03741455,5.578125,-27.515625,-2.234375
18,18,1727887686759,-0.6315918,-0.4290161,-0.17047119,-38.234375,-13.859375,-11.28125
19,19,1727887686799,-0.5686035,-0.40411377,-0.08404541,-23.40625,12.8125,-7.59375
20,20,1727887686839,-0.44921875,-0.34039307,-0.12823486,8.46875,11.953125,2.234375
21,21,1727887686879,-0.39575195,-0.43634033,-0.1038208,24.46875,27.203125,10.078125
22,22,1727887686919,-0.87060547,-0.9536743,-0.35333252,-64.25,13.578125,-21.515625
23,23,1727887686959,-2.0,-2.0,-0.008850098,38.578125,-64.984375,9.40625
24,24,1727887686999,-1.0266113,-1.190979,0.02557373,-51.28125,38.4375,-7.671875
25,25,1727887687039,-0.81591797,-0.81207275,0.0602417,-28.890625,-59.8125,-12.546875
26,26,1727887687079,-0.60595703,-0.7720337,-0.10235596,4.75,-45.921875,-2.703125
27,27,1727887687119,-0.3803711,-0.54766846,-0.030822754,12.265625,-4.203125,-2.265625
28,28,1727887687159,-0.36132812,-0.3567505,0.10882568,9.046875,-5.859375,1.78125
29,29,1727887687199,-0.49316406,-0.32720947,0.026062012,4.03125,-10.546875,-3.515625
30,30,1727887687239,-0.67626953,-0.38189697,0.12176514,37.3125,-8.40625,6.890625
31,31,1727887687279,-0.49487305,-0.6585083,0.2074585,60.125,11.9375,-10.15625
32,32,1727887687319,-0.41455078,-0.7959595,0.10028076,0.6875,7.4375,-21.125
33,33,1727887687359,-0.5805664,-0.73394775,0.1449585,-13.140625,-2.875,-8.96875
34,34,1727887687399,-0.5461426,-0.5515747,-0.11431885,-9.15625,-8.546875,3.390625
35,35,1727887687439,-0.8503418,-1.2388306,-0.8960571,-31.296875,24.125,-10.140625
36,36,1727887687479,-1.4926758,-1.0217896,-0.86505127,8.8125,-66.71875,24.09375
37,37,1727887687519,-0.8781738,-1.1272583,-0.22491455,-223.64062,6.9375,-14.03125
38,38,1727887687559,-1.1342773,-1.267395,-0.18341064,20.5625,-41.0,9.8125
39,39,1727887687599,-0.8041992,-0.8687134,-0.17144775,-30.234375,-59.578125,-7.0
40,40,1727887687639,-0.53344727,-0.5227661,-0.0335083,-82.859375,-32.328125,-13.28125
41,41,1727887687679,-0.38745117,-0.5911255,-0.0569458,-78.84375,-79.546875,-0.578125
42,42,1727887687719,-0.24243164,-0.56622314,-0.25054932,-58.640625,-48.8125,5.015625
43,43,1727887687759,-0.3322754,-0.3670044,-0.3291626,-33.421875,-91.125,10.046875
44,44,1727887687799,-0.7126465,-0.37799072,-0.4216919,31.140625,-29.5625,12.140625
45,45,1727887687839,-0.7644043,-0.5203247,-0.26739502,11.765625,-43.140625,-2.75
46,46,1727887687879,-0.9995117,-0.6526489,-0.21026611,-20.78125,-41.109375,-7.59375
47,47,1727887687919,-0.9641113,-0.67266846,-0.19122314,-9.171875,-1.875,-0.953125
48,48,1727887687959,-0.80126953,-0.8123169,-0.11993408,-34.53125,9.4375,-6.421875
49,49,1727887687999,-0.8093262,-1.0393677,-0.29351807,-41.40625,21.875,-15.625
50,50,1727887688039,-0.7927246,-1.0986938,-0.5796509,-46.53125,24.515625,-17.59375
51,51,1727887688079,-0.72998047,-0.79815674,-0.27642822,-111.234375,-64.765625,-9.0
52,52,1727887688119,-0.3798828,-1.1223755,0.11907959,-32.578125,-85.84375,13.9375
53,53,1727887688159,0.21069336,-1.1382446,0.024108887,-29.625,-121.78125,14.15625
54,54,1727887688199,0.030761719,-0.99786377,-0.52789307,103.390625,11.8125,13.28125
55,55,1727887688239,-0.5661621,-0.86260986,-0.48516846,-47.3125,99.171875,13.6875
56,56,1727887688279,-1.1625977,-0.71051025,0.34197998,79.953125,-65.0,44.453125
57,57,1727887688319,-1.0471191,-0.71099854,-0.90167236,70.6875,44.65625,-9.0625
58,58,1727887688359,-0.60058594,-0.69903564,-0.11871338,28.09375,-2.890625,-5.484375
59,59,1727887688399,-0.45117188,-0.8545532,-0.09112549,-18.46875,-9.78125,-5.34375
60,60,1727887688439,-0.5341797,-0.8464966,-0.20147705,-22.21875,-0.96875,-4.65625
61,61,1727887688479,-0.57006836,-0.77667236,-0.15386963,-11.59375,4.109375,-4.78125
62,62,1727887688519,-0.517334,-0.7271118,-0.053771973,-4.828125,1.46875,-3.078125
63,63,1727887688559,-0.47583008,-0.6616821,-0.14459229,-20.734375,0.390625,-7.96875
64,64,1727887688599,-0.4650879,-0.6055298,-0.16241455,-33.28125,-4.96875,-14.578125
65,65,1727887688639,-0.47558594,-0.51519775,-0.15167236,-20.171875,0.03125,-14.328125
66,66,1727887688679,-0.4182129,-0.5881958,-0.13775635,-3.75,5.0,-12.671875
67,67,1727887688719,-0.51782227,-0.5549927,-0.03253174,10.390625,-4.03125,-4.5625
