,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1727256626138,-0.73291016,-0.1741333,-0.6536255,-0.328125,-1.484375,0.015625
1,1727256626178,-0.72998047,-0.17608643,-0.6538696,-0.265625,-1.3125,-0.125
2,1727256626218,-0.72924805,-0.1741333,-0.6536255,-1.203125,-0.328125,-0.125
3,1727256626258,-0.7290039,-0.17730713,-0.6502075,-0.453125,-1.046875,-0.03125
4,1727256626298,-0.7307129,-0.17266846,-0.6536255,-0.75,-1.796875,-0.234375
5,1727256626338,-0.7258301,-0.17266846,-0.6565552,-0.75,-1.40625,-0.15625
6,1727256626378,-0.72509766,-0.17510986,-0.6589966,-0.71875,-1.796875,-0.0625
7,1727256626418,-0.7158203,-0.16949463,-0.65631104,-0.90625,-1.5,0.09375
8,1727256626458,-0.7207031,-0.1795044,-0.661438,-0.828125,-1.859375,-0.0625
9,1727256626498,-0.7145996,-0.17266846,-0.66290283,-1.0,-1.578125,-0.09375
10,1727256626538,-0.7128906,-0.17388916,-0.66119385,-0.796875,-1.75,-0.171875
11,1727256626578,-0.7121582,-0.17388916,-0.66656494,-0.5625,-2.09375,-0.234375
12,1727256626618,-0.71606445,-0.1687622,-0.6712036,-0.921875,-1.890625,-0.125
13,1727256626658,-0.70825195,-0.17095947,-0.66729736,-0.96875,-1.84375,-0.0625
14,1727256626698,-0.7092285,-0.17388916,-0.6709595,-1.09375,-1.421875,-0.109375
15,1727256626738,-0.7026367,-0.17364502,-0.6709595,-0.953125,-1.4375,-0.171875
16,1727256626778,-0.7036133,-0.17486572,-0.6692505,-1.109375,-1.25,-0.1875
17,1727256626818,-0.7060547,-0.1765747,-0.66778564,-0.75,-1.21875,-0.25
18,1727256626858,-0.7067871,-0.17071533,-0.66851807,-0.75,-1.375,-0.109375
19,1727256626898,-0.7019043,-0.17584229,-0.6704712,-0.953125,-0.75,-0.09375
20,1727256626938,-0.703125,-0.17828369,-0.68096924,-1.3125,-0.390625,-0.125
21,1727256626978,-0.70581055,-0.175354,-0.6692505,-0.5625,-0.703125,-0.203125
22,1727256627018,-0.70703125,-0.17388916,-0.67755127,-1.203125,-1.109375,-0.203125
23,1727256627058,-0.70092773,-0.17755127,-0.677063,-0.78125,-0.78125,-0.015625
24,1727256627098,-0.70092773,-0.1765747,-0.6765747,-0.4375,-1.296875,-0.140625
25,1727256627138,-0.6972656,-0.17755127,-0.6831665,-0.859375,-0.796875,0.03125
26,1727256627178,-0.6940918,-0.17755127,-0.6724243,-0.46875,-0.734375,0.0
27,1727256627218,-0.6989746,-0.17608643,-0.6848755,-0.609375,-1.203125,-0.234375
28,1727256627258,-0.6960449,-0.17633057,-0.68463135,-0.78125,-1.03125,-0.109375
29,1727256627298,-0.6945801,-0.17559814,-0.677063,-0.71875,-0.953125,-0.078125
