,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0,1727898776385,0.89282227,-0.030822754,0.40570068,-0.9375,0.25,-0.375
1,1,1727898776425,0.8918457,-0.023010254,0.39935303,-0.453125,0.78125,0.046875
2,2,1727898776465,0.90112305,-0.027404785,0.40374756,1.03125,0.828125,0.0625
3,3,1727898776505,0.9003906,-0.038146973,0.41351318,0.265625,0.140625,0.375
4,4,1727898776545,0.89990234,-0.042053223,0.41741943,0.328125,0.265625,0.03125
5,5,1727898776585,0.8991699,-0.04473877,0.41864014,-1.9375,-0.546875,-0.328125
6,6,1727898776625,0.8852539,-0.028869629,0.41815186,-1.515625,0.0625,-0.390625
7,7,1727898776665,0.8937988,-0.02960205,0.42034912,-0.15625,-0.09375,-0.296875
8,8,1727898776705,0.8959961,-0.026428223,0.41522217,0.03125,0.828125,0.015625
9,9,1727898776745,0.89575195,-0.04425049,0.4142456,-1.109375,0.53125,0.09375
10,10,1727898776785,0.89331055,-0.02960205,0.41937256,-0.828125,0.5,-0.140625
11,11,1727898776825,0.892334,-0.038146973,0.41741943,-0.234375,0.546875,-0.1875
12,12,1727898776865,0.8918457,-0.03253174,0.41156006,-0.671875,0.453125,-0.3125
13,13,1727898776905,0.89624023,-0.030090332,0.41229248,-0.4375,-0.390625,-0.265625
14,14,1727898776945,0.8952637,-0.03668213,0.40570068,-1.484375,0.40625,-0.046875
15,15,1727898776985,0.8977051,-0.046203613,0.40911865,-0.171875,0.46875,0.109375
16,16,1727898777025,0.9008789,-0.030578613,0.41644287,-1.5,-0.578125,-0.1875
17,17,1727898777065,0.89038086,-0.030578613,0.41448975,-3.578125,-1.453125,-0.140625
18,18,1727898777105,0.89404297,-0.027893066,0.42669678,0.3125,1.46875,0.515625
19,19,1727898777145,0.8937988,-0.036193848,0.418396,1.40625,0.640625,-0.015625
20,20,1727898777185,0.8996582,-0.02178955,0.4220581,-0.65625,-0.125,0.109375
21,21,1727898777225,0.88720703,-0.03326416,0.41156006,-0.140625,0.328125,0.078125
22,22,1727898777265,0.89453125,-0.0335083,0.4237671,-0.265625,0.203125,0.03125
23,23,1727898777305,0.89624023,-0.026184082,0.42718506,-0.25,-0.015625,-0.1875
24,24,1727898777345,0.8991699,-0.04083252,0.41912842,-1.453125,-0.703125,-0.171875
25,25,1727898777385,0.88793945,-0.02911377,0.4232788,-1.078125,0.40625,-0.140625
26,26,1727898777425,0.8925781,-0.037902832,0.4232788,0.234375,0.34375,0.109375
27,27,1727898777465,0.8964844,-0.032287598,0.42059326,0.234375,0.453125,-0.15625
28,28,1727898777505,0.8898926,-0.030578613,0.41448975,-0.640625,0.03125,0.03125
29,29,1727898777545,0.89941406,-0.024230957,0.41815186,-0.03125,0.640625,0.125
30,30,1727898777585,0.8955078,-0.02911377,0.4179077,-0.234375,0.46875,-0.125
31,31,1727898777625,0.89819336,-0.029846191,0.41741943,-0.109375,0.6875,-0.203125
32,32,1727898777665,0.89086914,-0.02911377,0.42230225,0.375,0.265625,-0.03125
33,33,1727898777705,0.89990234,-0.03643799,0.41033936,-0.484375,0.578125,-0.1875
34,34,1727898777745,0.8979492,-0.03692627,0.4154663,0.328125,0.421875,-0.140625
35,35,1727898777785,0.8918457,-0.024719238,0.42694092,-0.890625,-0.015625,-0.5
36,36,1727898777825,0.89575195,-0.028625488,0.4142456,-2.796875,-1.03125,-0.5625
37,37,1727898777865,0.892334,-0.020080566,0.43426514,1.015625,1.328125,0.25
38,38,1727898777905,0.88964844,-0.04449463,0.4244995,1.515625,0.796875,-0.3125
39,39,1727898777945,0.9001465,-0.0335083,0.41522217,-1.53125,0.0625,-0.109375
40,40,1727898777985,0.8942871,-0.03302002,0.42669678,-1.140625,0.21875,-0.484375
41,41,1727898778025,0.89624023,-0.03375244,0.41400146,-1.4375,-0.28125,-0.1875
42,42,1727898778065,0.89160156,-0.024475098,0.42694092,-1.453125,0.203125,-0.75
