,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0,1727113488448,0.18579102,-0.1182251,-0.9512329,0.390625,0.453125,0.015625
1,1,1727113488488,0.18286133,-0.12579346,-0.9522095,0.53125,0.25,0.140625
2,2,1727113488528,0.18286133,-0.1260376,-0.9573364,0.65625,0.296875,0.171875
3,3,1727113488568,0.1862793,-0.12628174,-0.96881104,0.65625,0.296875,0.140625
4,4,1727113488608,0.18481445,-0.12628174,-0.96051025,0.9375,0.25,0.21875
5,5,1727113488648,0.19360352,-0.1194458,-0.96343994,0.578125,0.484375,0.1875
6,6,1727113488688,0.1821289,-0.121154785,-0.9697876,0.546875,0.734375,0.15625
7,7,1727113488728,0.1887207,-0.12774658,-0.9663696,0.359375,0.4375,0.09375
8,8,1727113488768,0.18457031,-0.12408447,-0.9639282,0.03125,0.4375,0.1875
9,9,1727113488808,0.18554688,-0.11968994,-0.9522095,0.34375,0.671875,0.03125
10,10,1727113488848,0.18139648,-0.12359619,-0.9595337,-0.015625,0.640625,0.0625
11,11,1727113488888,0.18041992,-0.12579346,-0.95269775,0.078125,0.6875,0.03125
12,12,1727113488928,0.18286133,-0.11993408,-0.9561157,0.171875,0.5,0.15625
13,13,1727113488968,0.18554688,-0.12286377,-0.9678345,-0.3125,0.328125,0.203125
14,14,1727113489008,0.1850586,-0.12652588,-0.9678345,-0.1875,0.140625,0.03125
15,15,1727113489048,0.18383789,-0.124572754,-0.9636841,0.8125,0.890625,0.109375
16,16,1727113489088,0.18115234,-0.12530518,-0.95928955,0.5625,0.484375,0.234375
17,17,1727113489128,0.18310547,-0.12310791,-0.96417236,0.53125,0.59375,0.140625
18,18,1727113489168,0.18334961,-0.11431885,-0.9541626,0.328125,0.609375,0.203125
19,19,1727113489208,0.18164062,-0.120910645,-0.9536743,0.171875,0.34375,0.109375
20,20,1727113489248,0.18066406,-0.120910645,-0.9614868,-0.15625,0.171875,0.09375
21,21,1727113489288,0.19116211,-0.13458252,-0.9578247,0.0625,0.515625,0.171875
22,22,1727113489328,0.18432617,-0.11846924,-0.9614868,0.03125,0.421875,0.015625
23,23,1727113489368,0.18017578,-0.12310791,-0.95880127,-0.09375,0.515625,0.15625
24,24,1727113489408,0.17871094,-0.12017822,-0.9702759,0.046875,-0.046875,0.265625
25,25,1727113489448,0.18457031,-0.13043213,-0.956604,0.921875,0.21875,0.234375
26,26,1727113489488,0.18798828,-0.11846924,-0.97052,1.078125,-0.015625,0.5
27,27,1727113489528,0.19335938,-0.12017822,-0.9553833,1.140625,0.5,0.328125
28,28,1727113489568,0.18383789,-0.12335205,-0.9534302,0.390625,0.484375,0.078125
29,29,1727113489608,0.19140625,-0.117492676,-0.9578247,-0.046875,0.265625,0.15625
30,30,1727113489648,0.17919922,-0.12237549,-0.95758057,-0.578125,0.359375,-0.0625
31,31,1727113489688,0.18017578,-0.11968994,-0.9458618,-0.078125,0.421875,-0.0625
32,32,1727113489728,0.1862793,-0.11456299,-0.95758057,-0.09375,0.6875,-0.0625
33,33,1727113489768,0.18334961,-0.12213135,-0.9631958,0.25,0.421875,-0.03125
34,34,1727113489808,0.19067383,-0.12286377,-0.96954346,0.328125,0.625,-0.140625
35,35,1727113489848,0.18334961,-0.12432861,-0.96466064,0.265625,0.1875,0.0
36,36,1727113489888,0.1899414,-0.1194458,-0.9585571,0.40625,0.359375,-0.265625
37,37,1727113489928,0.18457031,-0.12335205,-0.9607544,0.40625,0.546875,-0.109375
38,38,1727113489968,0.18823242,-0.117004395,-0.9639282,0.34375,0.234375,-0.046875
39,39,1727113490008,0.1809082,-0.1194458,-0.9602661,0.421875,0.359375,0.0625
40,40,1727113490048,0.1887207,-0.120666504,-0.9529419,-0.296875,0.0625,0.203125
41,41,1727113490088,0.18896484,-0.12286377,-0.9636841,-0.109375,-0.265625,0.21875
