,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1727180059528,0.5812988,-0.013977051,-0.786438,-3.984375,2.09375,-13.375
1,1727180059568,0.52368164,-0.047424316,-0.7046509,-1.796875,4.65625,-9.921875
2,1727180059608,0.5415039,-0.12408447,-0.7608032,1.1875,15.265625,-12.75
3,1727180059648,0.41455078,-0.11553955,-0.7666626,7.265625,18.875,-14.6875
4,1727180059688,0.33642578,-0.08746338,-0.8394165,7.5,14.640625,-12.859375
5,1727180059728,0.31054688,-0.09503174,-0.88287354,4.046875,3.4375,-12.90625
6,1727180059768,0.33203125,-0.11651611,-0.8887329,0.078125,-0.65625,-12.421875
7,1727180059808,0.43359375,-0.016174316,-0.8245239,-2.40625,-5.21875,-9.890625
8,1727180059848,0.45239258,-0.07501221,-0.82769775,-5.671875,1.328125,-2.90625
9,1727180059888,0.43847656,-0.12945557,-0.80474854,-16.515625,7.53125,2.09375
10,1727180059928,0.43725586,-0.0725708,-0.83062744,-13.078125,6.15625,6.328125
11,1727180059968,0.3930664,-0.10626221,-0.78692627,-13.5625,8.5625,6.171875
12,1727180060008,0.39819336,-0.13726807,-0.815979,-9.796875,10.296875,2.0625
13,1727180060048,0.38867188,-0.097717285,-0.8245239,-10.84375,12.8125,-0.5
14,1727180060088,0.37231445,-0.15264893,-0.833313,-10.390625,12.3125,-0.046875
15,1727180060128,0.36523438,-0.17510986,-0.8171997,-9.046875,9.625,-0.046875
16,1727180060168,0.3618164,-0.17755127,-0.8345337,-5.1875,2.4375,-0.421875
17,1727180060208,0.37280273,-0.19903564,-0.8171997,-9.375,0.515625,-2.375
18,1727180060248,0.36157227,-0.21685791,-0.8237915,-6.46875,-0.765625,-2.546875
19,1727180060288,0.3720703,-0.21392822,-0.8242798,-2.484375,-5.046875,-0.453125
20,1727180060328,0.37524414,-0.20343018,-0.8442993,-2.03125,-5.359375,0.890625
21,1727180060368,0.39404297,-0.20440674,-0.8340454,3.09375,-2.328125,3.0625
22,1727180060408,0.3762207,-0.1885376,-0.83062744,5.59375,1.078125,2.1875
23,1727180060448,0.35058594,-0.15264893,-0.7954712,4.453125,-3.828125,1.453125
24,1727180060488,0.35913086,-0.17999268,-0.80718994,5.65625,-2.71875,-0.046875
25,1727180060528,0.38232422,-0.18634033,-0.84820557,0.828125,1.296875,-0.796875
26,1727180060568,0.37817383,-0.20709229,-0.8484497,0.390625,3.3125,1.9375
27,1727180060608,0.36376953,-0.20147705,-0.8255005,4.75,4.671875,1.859375
28,1727180060648,0.35351562,-0.14703369,-0.84503174,5.546875,4.953125,1.734375
29,1727180060688,0.36083984,-0.13189697,-0.83551025,0.46875,1.125,0.875
