,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0,1727919693147,-0.24633789,-0.92852783,0.39105225,6.609375,-0.21875,2.421875
1,1,1727919693187,-0.21875,-0.88531494,0.35638428,9.65625,0.921875,5.609375
2,2,1727919693227,-0.21166992,-0.85772705,0.3624878,14.34375,3.25,9.796875
3,3,1727919693267,-0.20751953,-0.8648071,0.3012085,17.734375,3.3125,14.359375
4,4,1727919693307,-0.19311523,-0.894104,0.27093506,24.609375,2.3125,18.546875
5,5,1727919693347,-0.14672852,-0.93414307,0.25457764,28.796875,1.109375,21.96875
6,6,1727919693387,-0.12597656,-0.95635986,0.22698975,30.8125,-0.796875,24.75
7,7,1727919693427,-0.103271484,-1.0488892,0.1774292,33.15625,-6.40625,23.84375
8,8,1727919693467,-0.0024414062,-1.1226196,0.13665771,32.15625,-4.8125,23.3125
9,9,1727919693507,0.025146484,-1.1985474,0.09100342,25.671875,-6.140625,19.015625
10,10,1727919693547,0.14624023,-1.2874146,-0.023254395,19.984375,-8.078125,11.8125
11,11,1727919693587,0.13476562,-1.30719,-0.105773926,16.296875,-1.6875,8.859375
12,12,1727919693627,0.11767578,-1.3128052,-0.27716064,8.0625,-1.46875,3.859375
13,13,1727919693667,0.19970703,-1.2893677,-0.26885986,10.859375,2.125,-0.3125
14,14,1727919693707,0.10498047,-1.2771606,-0.11602783,3.171875,4.25,-1.046875
15,15,1727919693747,0.1652832,-1.2175903,-0.13165283,-10.296875,0.109375,-7.125
16,16,1727919693787,0.11010742,-1.1626587,-0.09527588,-12.515625,-1.65625,-11.96875
17,17,1727919693827,0.041748047,-1.1472778,-0.09259033,-18.53125,-0.421875,-14.625
18,18,1727919693867,0.021484375,-1.0706177,-0.07110596,-23.171875,2.5625,-16.90625
19,19,1727919693907,0.025390625,-0.9937134,-0.059143066,-27.015625,-1.796875,-19.421875
20,20,1727919693947,-0.01171875,-0.847229,0.00970459,-34.390625,0.515625,-21.03125
21,21,1727919693987,-0.006591797,-0.7124634,0.027770996,-41.640625,0.09375,-23.453125
22,22,1727919694027,-0.05102539,-0.59747314,0.055114746,-47.984375,0.5625,-26.34375
23,23,1727919694067,-0.07299805,-0.56500244,0.081726074,-47.28125,-2.71875,-29.1875
24,24,1727919694107,-0.111328125,-0.58599854,0.15985107,-42.28125,-2.71875,-30.109375
25,25,1727919694147,-0.11425781,-0.7214966,0.21990967,-36.96875,-3.1875,-27.25
26,26,1727919694187,-0.12451172,-0.8274536,0.28533936,-30.328125,-5.734375,-22.015625
27,27,1727919694227,-0.14233398,-0.90045166,0.3209839,-26.859375,-6.84375,-16.8125
28,28,1727919694267,-0.19335938,-0.8213501,0.34344482,-25.21875,-7.4375,-11.921875
29,29,1727919694307,-0.28222656,-0.77960205,0.3768921,-18.0,-8.328125,-9.046875
30,30,1727919694347,-0.375,-0.79156494,0.4418335,-7.765625,-7.9375,-6.984375
31,31,1727919694387,-0.37768555,-0.89019775,0.49993896,-3.84375,-4.859375,-5.609375
32,32,1727919694427,-0.3466797,-0.87506104,0.5302124,-1.015625,-1.234375,-1.953125
33,33,1727919694467,-0.3178711,-0.7866821,0.42645264,5.015625,4.21875,-0.75
34,34,1727919694507,-0.25439453,-0.7481079,0.37738037,14.84375,-1.03125,3.484375
35,35,1727919694547,-0.25805664,-0.7605591,0.41815186,22.0625,4.140625,10.78125
36,36,1727919694587,-0.33129883,-0.6878052,0.35565186,30.0,6.28125,15.796875
37,37,1727919694627,-0.14770508,-0.6502075,0.13885498,29.34375,4.796875,20.84375
38,38,1727919694667,-0.119384766,-0.57159424,0.18695068,41.953125,-0.34375,24.140625
39,39,1727919694707,-0.07104492,-0.7127075,0.08026123,35.953125,-3.703125,30.359375
40,40,1727919694747,-0.10107422,-0.6536255,0.11248779,44.53125,8.859375,27.265625
41,41,1727919694787,-0.17041016,-0.84576416,0.046081543,31.71875,-0.84375,21.046875
42,42,1727919694827,-0.064697266,-0.8040161,0.031921387,29.71875,5.859375,18.3125
43,43,1727919694867,-0.13476562,-0.88482666,0.1774292,23.5625,-0.515625,11.46875
44,44,1727919694907,-0.026855469,-0.96832275,-0.06402588,18.875,-6.8125,9.125
45,45,1727919694947,-0.09423828,-1.08844,0.055847168,21.03125,-2.0,3.890625
46,46,1727919694987,-0.055419922,-1.2407837,-0.12799072,7.578125,-6.6875,3.53125
47,47,1727919695027,0.013671875,-1.2918091,-0.081848145,7.015625,-6.171875,-0.734375
48,48,1727919695067,-0.013427734,-1.4028931,0.031921387,-5.59375,2.359375,-2.546875
49,49,1727919695107,-0.08496094,-1.4231567,-0.033996582,-13.703125,-0.25,-6.03125
50,50,1727919695147,-0.20727539,-1.4373169,0.1564331,-19.9375,-3.59375,-12.578125
51,51,1727919695187,-0.29541016,-1.4475708,0.18914795,-30.984375,-6.546875,-17.203125
52,52,1727919695227,-0.30859375,-1.3274536,0.17181396,-31.234375,-6.9375,-18.03125
53,53,1727919695267,-0.3010254,-1.0386353,0.23016357,-36.734375,2.640625,-12.5
54,54,1727919695307,-0.28686523,-0.7683716,0.17816162,-36.234375,7.0,-12.96875
55,55,1727919695347,-0.21923828,-0.6380005,0.18353271,-26.078125,3.4375,-17.21875
56,56,1727919695387,-0.24194336,-0.7119751,0.24383545,-14.09375,2.46875,-14.109375
57,57,1727919695427,-0.32861328,-0.8987427,0.2921753,-1.0625,0.46875,-10.078125
58,58,1727919695467,-0.3088379,-0.9998169,0.33953857,0.21875,-0.9375,-6.0
59,59,1727919695507,-0.2668457,-0.9570923,0.32611084,-2.984375,2.3125,1.3125
60,60,1727919695547,-0.2705078,-0.85357666,0.29925537,0.15625,1.609375,6.984375
61,61,1727919695587,-0.28735352,-0.81085205,0.31463623,3.328125,2.15625,8.234375
62,62,1727919695627,-0.32763672,-0.8023071,0.35491943,4.40625,2.875,11.5625
63,63,1727919695667,-0.3017578,-0.848938,0.3287964,11.515625,1.796875,12.734375
64,64,1727919695707,-0.26708984,-0.9089966,0.32122803,14.859375,1.875,16.578125
65,65,1727919695747,-0.21948242,-0.925354,0.2616577,17.34375,1.96875,19.953125
66,66,1727919695787,-0.18676758,-0.93170166,0.25238037,22.0,0.296875,23.078125
67,67,1727919695827,-0.15405273,-1.00177,0.23651123,24.546875,-2.984375,24.421875
68,68,1727919695867,-0.11645508,-1.1126099,0.2189331,27.28125,-5.5625,24.484375
69,69,1727919695907,-0.15478516,-1.1782837,0.19891357,20.34375,-7.859375,21.3125
70,70,1727919695947,0.11694336,-1.3120728,0.16229248,21.8125,-9.375,15.421875
71,71,1727919695987,0.05883789,-1.3403931,-0.021057129,12.71875,-3.0,13.421875
72,72,1727919696027,0.084472656,-1.2349243,-0.026672363,4.578125,-2.703125,10.03125
73,73,1727919696067,0.041015625,-1.1504517,-0.10333252,4.890625,-3.109375,5.609375
74,74,1727919696107,0.028808594,-1.1282349,-0.08770752,4.0625,-2.40625,0.078125
75,75,1727919696147,0.060791016,-1.1372681,-0.06524658,3.765625,-1.953125,-4.546875
76,76,1727919696187,0.067871094,-1.1321411,-0.04425049,-3.125,-0.375,-8.078125
77,77,1727919696227,0.052246094,-1.1514282,-0.026184082,-8.15625,-2.828125,-10.96875
78,78,1727919696267,0.017578125,-1.1160278,0.02557373,-10.640625,-0.96875,-11.234375
79,79,1727919696307,-0.034423828,-1.0491333,0.022399902,-16.21875,-1.171875,-14.703125
80,80,1727919696347,-0.053955078,-0.95977783,0.0524292,-18.734375,0.546875,-17.53125
81,81,1727919696387,-0.05859375,-0.9006958,0.06439209,-25.84375,-0.15625,-19.078125
82,82,1727919696427,-0.08178711,-0.81573486,0.121032715,-28.671875,0.921875,-21.625
83,83,1727919696467,-0.037597656,-0.7637329,0.08319092,-39.59375,-1.078125,-24.765625
84,84,1727919696507,-0.07324219,-0.6704712,0.08856201,-37.703125,-5.03125,-25.640625
85,85,1727919696547,-0.16625977,-0.77008057,0.16595459,-31.5,-2.453125,-27.546875
86,86,1727919696587,-0.21923828,-0.87457275,0.2645874,-30.09375,3.375,-25.578125
87,87,1727919696627,-0.18139648,-0.8731079,0.27996826,-36.75,7.578125,-23.90625
88,88,1727919696667,-0.1730957,-0.73516846,0.24261475,-40.3125,3.046875,-21.984375
89,89,1727919696707,-0.18701172,-0.65411377,0.21356201,-32.21875,-6.671875,-16.703125
90,90,1727919696747,-0.24951172,-0.6865845,0.27288818,-21.515625,-12.359375,-9.59375
91,91,1727919696787,-0.35058594,-0.75909424,0.4052124,-11.375,-6.390625,-3.5625
92,92,1727919696827,-0.40966797,-0.8130493,0.46502686,-0.359375,-2.59375,-1.328125
93,93,1727919696867,-0.4650879,-0.83062744,0.574646,-0.03125,-0.296875,-2.53125
94,94,1727919696907,-0.41235352,-0.8477173,0.555603,-4.546875,1.28125,-4.265625
95,95,1727919696947,-0.3359375,-0.80548096,0.5231323,-5.140625,4.359375,-4.5
96,96,1727919696987,-0.31811523,-0.80596924,0.48529053,-1.0,4.546875,-2.03125
97,97,1727919697027,-0.3310547,-0.79351807,0.465271,4.1875,3.53125,0.484375
98,98,1727919697067,-0.3474121,-0.8220825,0.46844482,8.59375,3.171875,1.453125
99,99,1727919697107,-0.36816406,-0.8206177,0.45550537,10.296875,6.375,3.671875
100,100,1727919697147,-0.35498047,-0.7576294,0.4179077,14.375,7.875,5.484375
101,101,1727919697187,-0.31933594,-0.74346924,0.3895874,19.421875,6.78125,7.25
102,102,1727919697227,-0.3395996,-0.6460571,0.41741943,31.171875,3.765625,10.65625
103,103,1727919697267,-0.099365234,-0.61309814,0.12908936,14.9375,0.71875,15.453125
104,104,1727919697307,-0.09472656,-0.51568604,0.06976318,25.171875,-6.046875,17.46875
105,105,1727919697347,-0.059814453,-0.71099854,-0.028869629,40.015625,-13.453125,16.1875
106,106,1727919697387,-0.25170898,-0.862854,0.15545654,38.46875,-8.03125,21.40625
107,107,1727919697427,-0.13671875,-0.89630127,0.15350342,24.765625,-1.390625,19.90625
108,108,1727919697467,-0.17895508,-0.80352783,0.23114014,16.171875,-0.453125,18.6875
109,109,1727919697507,-0.12133789,-0.86846924,0.12347412,13.03125,-4.75,14.015625
