,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0,1727277243058,-0.2915039,-1.2136841,0.30877686,-0.96875,18.9375,-23.21875
1,1,1727277243098,-0.21313477,-1.2234497,0.22210693,-11.34375,12.28125,-24.109375
2,2,1727277243138,-0.13330078,-1.2886353,0.16619873,-10.75,3.1875,-15.484375
3,3,1727277243178,-0.16040039,-1.0725708,0.057556152,-5.296875,9.1875,-6.640625
4,4,1727277243218,-0.16308594,-0.6826782,-0.032287598,1.578125,26.90625,2.484375
5,5,1727277243258,-0.122558594,-0.44732666,-0.144104,15.078125,23.296875,7.109375
6,6,1727277243298,-0.2109375,-0.75250244,-0.073791504,10.296875,8.578125,-2.953125
7,7,1727277243338,-0.3972168,-1.519104,0.11248779,-4.53125,-8.796875,-5.421875
8,8,1727277243378,-0.2722168,-1.2459106,0.35076904,-6.65625,10.46875,5.6875
9,9,1727277243418,-0.21240234,-0.8242798,0.046569824,-1.90625,6.453125,3.515625
10,10,1727277243458,-0.2770996,-0.6790161,0.04876709,0.421875,-0.8125,2.28125
11,11,1727277243498,-0.26342773,-0.69903564,0.13104248,2.390625,-3.875,5.796875
12,12,1727277243538,-0.32080078,-0.8777466,0.10418701,6.59375,0.734375,9.9375
13,13,1727277243578,-0.3071289,-0.90093994,0.16497803,5.296875,-3.796875,10.984375
14,14,1727277243618,-0.25317383,-0.90826416,0.16741943,-2.953125,-3.953125,8.671875
15,15,1727277243658,-0.31933594,-1.0112915,0.19671631,-5.421875,-9.25,9.90625
16,16,1727277243698,-0.34301758,-1.0476685,0.16448975,-10.875,-10.515625,9.9375
17,17,1727277243738,-0.2915039,-1.0151978,0.21453857,-15.296875,-9.859375,8.109375
18,18,1727277243778,-0.29589844,-1.1116333,0.24066162,-15.078125,-9.25,4.4375
19,19,1727277243818,-0.4416504,-1.2957153,0.085632324,-13.015625,-15.921875,5.0
20,20,1727277243858,-0.17895508,-1.2927856,0.15374756,-18.3125,-11.6875,-6.453125
21,21,1727277243898,0.115478516,-1.0391235,0.2345581,-14.5625,2.484375,-19.140625
22,22,1727277243938,0.04638672,-0.642395,0.12298584,-3.8125,3.0,-11.640625
23,23,1727277243978,0.060302734,-0.5928345,0.050476074,0.3125,-9.921875,6.484375
24,24,1727277244018,-0.009765625,-0.68292236,0.26312256,5.96875,-0.046875,12.109375
25,25,1727277244058,-0.16333008,-1.1975708,0.27264404,-1.203125,-5.890625,8.390625
26,26,1727277244098,-0.1730957,-1.1809692,0.30389404,-6.625,-14.578125,-6.109375
27,27,1727277244138,-0.19873047,-0.96173096,0.32537842,0.53125,11.0625,-16.828125
28,28,1727277244178,-0.07519531,-0.76104736,0.2008667,-1.171875,3.625,-6.578125
29,29,1727277244218,-0.021728516,-0.6814575,0.1552124,3.21875,-2.5,4.09375
30,30,1727277244258,-0.11376953,-0.8081665,0.27752686,9.4375,-8.109375,7.140625
31,31,1727277244298,-0.31176758,-0.9475708,0.39300537,9.921875,-4.125,4.515625
32,32,1727277244338,-0.30126953,-0.8508911,0.31097412,4.0625,6.203125,-6.078125
33,33,1727277244378,-0.26586914,-0.8242798,0.20135498,12.578125,7.625,-10.796875
34,34,1727277244418,-0.23217773,-0.92974854,0.22503662,13.8125,0.8125,-13.625
35,35,1727277244458,-0.24584961,-1.0454712,0.33807373,7.03125,4.53125,-16.578125
36,36,1727277244498,-0.35888672,-1.1182251,0.39105225,-2.015625,22.578125,-22.734375
37,37,1727277244538,-0.43969727,-1.1780396,0.3168335,-2.53125,18.875,-18.46875
38,38,1727277244578,-0.3034668,-1.242981,0.1293335,-10.875,-8.953125,-12.109375
39,39,1727277244618,-0.2368164,-1.1655884,0.16522217,-13.9375,0.671875,-10.765625
40,40,1727277244658,-0.12133789,-0.91119385,0.09906006,-4.3125,25.28125,-6.140625
41,41,1727277244698,-0.0053710938,-0.6416626,0.0368042,16.5,33.90625,9.734375
42,42,1727277244738,-0.107177734,-0.59259033,-0.14312744,26.09375,19.390625,12.484375
43,43,1727277244778,-0.28881836,-1.008606,-0.054016113,3.0625,-9.578125,-6.234375
44,44,1727277244818,-0.5019531,-1.411438,0.2789917,-18.046875,-18.453125,-7.09375
45,45,1727277244858,-0.3005371,-1.0281372,0.33148193,-6.0625,18.515625,9.796875
46,46,1727277244898,-0.2529297,-0.68829346,0.07684326,13.578125,14.9375,11.75
47,47,1727277244938,-0.32006836,-0.61016846,0.018005371,5.484375,8.0,5.4375
48,48,1727277244978,-0.3173828,-0.8587036,0.05682373,-2.453125,-5.0625,3.890625
49,49,1727277245018,-0.25830078,-1.0667114,0.17523193,2.203125,-0.53125,6.296875
