,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0,1728018660021,0.103515625,-0.82110596,0.5795288,-2.1875,-0.3125,-0.484375
1,1,1728018660061,0.10498047,-0.8262329,0.5829468,-3.375,-0.9375,-0.5625
2,2,1728018660101,0.10083008,-0.8074341,0.58709717,-2.34375,-0.453125,-0.671875
3,3,1728018660141,0.099365234,-0.817688,0.5897827,-2.046875,-0.46875,-0.328125
4,4,1728018660181,0.09716797,-0.82281494,0.5910034,-2.890625,-0.03125,-0.4375
5,5,1728018660221,0.099365234,-0.8184204,0.5961304,-2.984375,-0.125,-0.5
6,6,1728018660261,0.09692383,-0.81378174,0.602478,-2.140625,-0.421875,-0.703125
7,7,1728018660301,0.1003418,-0.8140259,0.604187,-2.53125,-0.671875,-0.375
8,8,1728018660341,0.1003418,-0.8045044,0.6022339,-2.46875,-0.1875,-0.234375
9,9,1728018660381,0.09863281,-0.81988525,0.6063843,-0.921875,-0.359375,-0.21875
10,10,1728018660421,0.09667969,-0.8086548,0.6090698,-2.015625,0.015625,-0.484375
11,11,1728018660461,0.091796875,-0.8052368,0.6100464,-2.984375,-0.828125,-0.34375
12,12,1728018660501,0.09399414,-0.798645,0.61639404,-0.78125,-0.46875,0.171875
13,13,1728018660541,0.09716797,-0.8106079,0.61883545,-2.046875,0.296875,-0.15625
14,14,1728018660581,0.1003418,-0.80059814,0.60491943,-2.34375,-0.625,-0.359375
15,15,1728018660621,0.09765625,-0.80010986,0.62054443,-2.140625,-0.25,-0.375
16,16,1728018660661,0.09838867,-0.7971802,0.62615967,-2.578125,-0.375,-0.375
17,17,1728018660701,0.09863281,-0.8015747,0.6227417,-2.390625,-0.9375,-0.09375
18,18,1728018660741,0.099365234,-0.79815674,0.6276245,-2.03125,-0.75,-0.484375
19,19,1728018660781,0.08959961,-0.7962036,0.63446045,-2.0,-0.25,-0.03125
20,20,1728018660821,0.09350586,-0.79522705,0.6317749,-2.140625,-0.546875,-0.09375
21,21,1728018660861,0.08642578,-0.7971802,0.6347046,-1.640625,-0.296875,-0.171875
22,22,1728018660901,0.09692383,-0.79034424,0.6305542,-1.953125,-0.484375,-0.265625
23,23,1728018660941,0.0949707,-0.7942505,0.6359253,-1.953125,-0.375,-0.359375
24,24,1728018660981,0.092285156,-0.7908325,0.63568115,-2.4375,-1.03125,-0.21875
25,25,1728018661021,0.10229492,-0.7817993,0.6400757,-1.515625,-0.421875,-0.4375
26,26,1728018661061,0.09301758,-0.79351807,0.64471436,-1.46875,-0.125,-0.3125
27,27,1728018661101,0.087890625,-0.79034424,0.6403198,-2.8125,-0.671875,-0.046875
28,28,1728018661141,0.08959961,-0.78692627,0.6625366,-2.75,-0.6875,-0.734375
29,29,1728018661181,0.080566406,-0.77349854,0.65545654,-1.46875,-0.859375,0.0625
30,30,1728018661221,0.09716797,-0.7866821,0.65130615,-1.125,-0.75,0.328125
31,31,1728018661261,0.0871582,-0.77960205,0.6498413,-1.1875,0.265625,-0.203125
32,32,1728018661301,0.084228516,-0.7798462,0.65789795,-1.171875,-0.296875,-0.625
33,33,1728018661341,0.08862305,-0.77838135,0.64471436,-1.421875,-0.984375,-0.09375
34,34,1728018661381,0.092041016,-0.77960205,0.6564331,-0.96875,-0.546875,-0.359375
35,35,1728018661421,0.083984375,-0.772522,0.6598511,-1.5,-0.5625,-0.4375
36,36,1728018661461,0.087890625,-0.77130127,0.66156006,-1.125,-0.953125,-0.1875
37,37,1728018661501,0.083496094,-0.7715454,0.6635132,-0.6875,-1.109375,0.0625
38,38,1728018661541,0.087646484,-0.77545166,0.66204834,-0.59375,-0.328125,-0.078125
39,39,1728018661581,0.080566406,-0.7720337,0.66619873,-0.84375,-0.734375,0.3125
40,40,1728018661621,0.083496094,-0.77227783,0.6600952,-0.859375,-0.765625,0.015625
41,41,1728018661661,0.083740234,-0.7764282,0.6600952,-0.8125,-1.078125,0.09375
42,42,1728018661701,0.08178711,-0.76885986,0.65911865,0.109375,-0.78125,0.296875
43,43,1728018661741,0.08300781,-0.77593994,0.65789795,-0.578125,-0.34375,0.3125
44,44,1728018661781,0.076171875,-0.76812744,0.6622925,-1.359375,-0.71875,0.046875
45,45,1728018661821,0.09667969,-0.78082275,0.6696167,0.234375,-1.125,-0.1875
46,46,1728018661861,0.07861328,-0.76446533,0.6720581,-0.046875,-1.234375,0.5
47,47,1728018661901,0.08569336,-0.77471924,0.6642456,0.71875,-0.671875,0.328125
48,48,1728018661941,0.08520508,-0.76812744,0.66326904,0.90625,-0.75,0.28125
49,49,1728018661981,0.0793457,-0.7715454,0.65740967,1.21875,-0.765625,0.484375
50,50,1728018662021,0.08276367,-0.7764282,0.65911865,0.90625,-0.796875,0.515625
51,51,1728018662061,0.084472656,-0.7720337,0.66522217,1.140625,-0.828125,0.515625
52,52,1728018662101,0.0847168,-0.7761841,0.6642456,1.125,-0.890625,0.46875
53,53,1728018662141,0.08178711,-0.7798462,0.6605835,1.078125,-0.8125,0.65625
