,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0,1727283033066,-0.875,-0.009765625,0.13964844,3.0625,-30.53125,27.46875
1,1,1727283033106,-0.80078125,0.099609375,0.1875,7.75,-3.0,25.21875
2,2,1727283033146,-0.9638672,0.12890625,0.24902344,13.25,-23.59375,37.71875
3,3,1727283033186,-0.8378906,0.16894531,0.265625,10.125,-7.84375,21.3125
4,4,1727283033226,-0.9375,0.16992188,0.34277344,6.53125,6.75,1.78125
5,5,1727283033266,-1.1933594,0.13183594,0.08496094,-24.96875,30.90625,-25.15625
6,6,1727283033306,-1.7910156,0.33691406,-0.08691406,-9.15625,32.4375,25.15625
7,7,1727283033346,-0.75878906,0.06933594,-0.13867188,-30.6875,12.5,-6.34375
8,8,1727283033386,-0.75097656,-0.20800781,-0.091796875,1.34375,14.5,-23.0
9,9,1727283033426,-1.1171875,0.1171875,0.0126953125,8.3125,28.1875,-28.875
10,10,1727283033466,-1.015625,0.22851562,0.08300781,-30.03125,3.8125,-30.03125
11,11,1727283033506,-0.76171875,-0.0107421875,0.0107421875,-41.3125,13.15625,-40.15625
12,12,1727283033546,-0.8955078,-0.087890625,-0.030273438,-22.875,28.25,-28.125
13,13,1727283033586,-0.97558594,0.061523438,0.028320312,-16.84375,34.21875,-22.71875
14,14,1727283033626,-0.83203125,0.017578125,0.0078125,-32.96875,35.125,-21.1875
15,15,1727283033666,-0.84375,-0.09667969,-0.034179688,-26.96875,50.21875,-17.6875
16,16,1727283033706,-0.90234375,-0.16113281,-0.0126953125,-13.3125,63.34375,-13.375
17,17,1727283033746,-1.0693359,-0.16210938,0.064453125,-5.5625,46.90625,-11.0
18,18,1727283033786,-1.1884766,-0.23144531,0.10546875,-4.46875,26.21875,-14.09375
19,19,1727283033826,-1.2158203,-0.18066406,-0.08496094,13.5625,20.71875,-2.375
20,20,1727283033866,-1.3261719,-0.018554688,-0.3173828,13.90625,15.0,5.4375
21,21,1727283033906,-1.3583984,0.1484375,-0.4716797,7.1875,2.53125,-2.3125
22,22,1727283033946,-1.0693359,0.01953125,-0.46679688,23.375,-43.59375,7.8125
23,23,1727283033986,-0.9355469,0.13769531,-0.18359375,52.0,-72.46875,25.09375
24,24,1727283034026,-1.0195312,0.07324219,-0.059570312,23.5625,-61.96875,26.90625
25,25,1727283034066,-0.9199219,0.060546875,-0.049804688,24.84375,-54.28125,28.6875
26,26,1727283034106,-0.80566406,0.10449219,0.05078125,21.53125,-48.5,37.78125
27,27,1727283034146,-0.7890625,0.005859375,0.048828125,13.3125,-36.65625,33.5625
28,28,1727283034186,-0.8613281,-0.01953125,0.103515625,4.875,-40.1875,17.8125
29,29,1727283034226,-0.93652344,0.08984375,0.09765625,4.9375,-23.71875,17.15625
30,30,1727283034266,-0.96972656,0.14160156,0.13183594,-1.40625,-15.03125,28.4375
31,31,1727283034306,-0.9814453,0.1015625,0.21972656,6.65625,-22.65625,21.3125
32,32,1727283034346,-0.8857422,0.17871094,0.25976562,10.8125,-10.21875,8.59375
33,33,1727283034386,-1.1572266,0.11230469,0.3623047,-5.90625,17.75,-22.71875
34,34,1727283034426,-1.6738281,0.25683594,-0.05859375,-31.8125,32.875,16.65625
35,35,1727283034466,-0.9111328,0.045898438,-0.115234375,-30.6875,20.375,-5.3125
36,36,1727283034506,-0.6777344,0.036132812,-0.053710938,10.4375,30.125,-17.5
37,37,1727283034546,-1.0771484,0.017578125,-0.030273438,11.84375,37.28125,-29.84375
38,38,1727283034586,-1.0537109,0.024414062,0.07324219,-2.1875,9.625,-24.15625
39,39,1727283034626,-0.8046875,-0.06640625,0.020507812,-13.78125,7.46875,-46.25
40,40,1727283034666,-0.91308594,0.017578125,-0.03515625,6.65625,20.3125,-35.21875
41,41,1727283034706,-0.96777344,0.1484375,-0.04296875,1.65625,28.53125,-21.3125
42,42,1727283034746,-0.9316406,0.052734375,-0.024414062,-16.28125,31.15625,-21.59375
43,43,1727283034786,-0.85839844,-0.13574219,0.03515625,-21.53125,48.75,-22.34375
44,44,1727283034826,-0.97265625,-0.22460938,-0.001953125,-0.90625,49.21875,-16.59375
45,45,1727283034866,-0.9550781,-0.34570312,-0.001953125,20.09375,58.25,-13.375
46,46,1727283034906,-1.2109375,-0.17578125,0.0703125,38.28125,36.0625,-6.40625
47,47,1727283034946,-1.3447266,0.024414062,-0.051757812,17.15625,10.78125,-5.0
48,48,1727283034986,-1.2226562,0.099609375,-0.46972656,-21.78125,-4.53125,-6.71875
49,49,1727283035026,-1.2216797,0.15917969,-0.5576172,-10.0625,-44.03125,2.75
50,50,1727283035066,-0.88378906,0.3154297,-0.18359375,-6.96875,-57.6875,9.34375
51,51,1727283035106,-1.2880859,0.017578125,-0.0703125,-45.78125,-64.65625,24.71875
52,52,1727283035146,-1.0878906,-0.23339844,-0.091796875,-8.375,-42.375,29.53125
53,53,1727283035186,-0.90625,0.11621094,0.028320312,-0.0625,-32.0,31.9375
54,54,1727283035226,-1.0,0.24316406,0.052734375,-21.78125,-41.03125,43.53125
55,55,1727283035266,-0.8955078,-0.064453125,0.080078125,-40.65625,-39.6875,41.4375
56,56,1727283035306,-0.72265625,-0.08984375,0.056640625,-17.75,-36.46875,42.71875
57,57,1727283035346,-0.7158203,0.2607422,0.1875,-13.0,-25.15625,48.40625
58,58,1727283035386,-0.8076172,0.061523438,0.2734375,-40.09375,-16.4375,30.875
59,59,1727283035426,-0.80078125,0.0234375,0.34570312,-22.21875,7.4375,20.8125
60,60,1727283035466,-1.1113281,0.111328125,-0.18164062,3.78125,-17.90625,15.25
61,61,1727283035506,-1.1826172,0.18261719,-0.15039062,-19.71875,-31.21875,31.8125
62,62,1727283035546,-0.87890625,0.16601562,-0.06347656,-55.46875,-49.9375,33.9375
63,63,1727283035586,-0.90527344,-0.07519531,-0.016601562,-57.0625,-52.8125,33.875
64,64,1727283035626,-1.0283203,-0.0546875,0.125,-44.3125,-43.90625,35.28125
65,65,1727283035666,-1.0810547,-0.056640625,0.095703125,-46.75,-44.875,37.0625
66,66,1727283035706,-0.91308594,-0.030273438,0.1328125,-23.125,-24.0,53.28125
67,67,1727283035746,-0.82714844,0.1328125,0.24414062,0.5,-39.625,57.5625
68,68,1727283035786,-0.8515625,0.20898438,0.2783203,4.15625,-28.78125,34.5625
69,69,1727283035826,-0.9472656,0.20410156,0.41601562,3.84375,0.71875,13.25
70,70,1727283035866,-1.0322266,0.13476562,0.0078125,-29.84375,0.40625,-8.3125
71,71,1727283035906,-1.3896484,0.17773438,-0.14160156,18.25,26.21875,22.34375
72,72,1727283035946,-0.86035156,0.061523438,-0.26757812,-6.03125,23.53125,-3.84375
73,73,1727283035986,-1.0195312,0.0625,-0.18847656,-0.25,23.59375,-14.28125
74,74,1727283036026,-1.1142578,0.19238281,-0.051757812,-16.90625,13.21875,-19.40625
75,75,1727283036066,-1.0048828,0.038085938,0.0107421875,-40.28125,7.90625,-23.9375
76,76,1727283036106,-0.79589844,-0.14160156,-0.044921875,-26.6875,19.9375,-25.8125
77,77,1727283036146,-0.81933594,-0.01171875,0.0009765625,7.9375,31.46875,-19.71875
78,78,1727283036186,-0.8066406,0.06933594,-0.021484375,7.4375,33.96875,-21.1875
79,79,1727283036226,-0.8359375,0.024414062,-0.0234375,0.71875,45.21875,-22.8125
80,80,1727283036266,-0.87109375,-0.06542969,-0.056640625,-8.53125,52.84375,-21.71875
81,81,1727283036306,-1.0351562,-0.12597656,0.026367188,-8.59375,54.40625,-11.46875
82,82,1727283036346,-1.1435547,-0.24609375,0.171875,-5.0625,30.0,-12.6875
83,83,1727283036386,-1.1201172,-0.17871094,0.09667969,4.15625,6.15625,-9.28125
84,84,1727283036426,-1.1435547,-0.25585938,-0.16113281,10.125,-4.96875,-6.15625
85,85,1727283036466,-1.3085938,0.046875,-0.53808594,40.09375,-10.875,-7.3125
86,86,1727283036506,-1.3007812,0.38671875,-0.33496094,35.65625,-39.4375,1.78125
87,87,1727283036546,-1.0458984,0.0390625,-0.14355469,20.1875,-57.28125,26.0625
88,88,1727283036586,-1.1210938,-0.19140625,-0.10546875,29.65625,-57.59375,19.28125
89,89,1727283036626,-1.1005859,-0.051757812,-0.005859375,51.40625,-43.71875,24.40625
90,90,1727283036666,-0.8955078,0.16796875,-0.029296875,41.125,-42.625,33.03125
91,91,1727283036706,-0.734375,0.111328125,0.026367188,29.71875,-43.59375,39.96875
92,92,1727283036746,-0.73339844,0.021484375,0.06738281,25.28125,-48.1875,33.28125
93,93,1727283036786,-0.8574219,-0.030273438,0.107421875,24.96875,-33.46875,30.65625
94,94,1727283036826,-0.8857422,0.140625,0.15625,26.3125,-9.96875,28.3125
95,95,1727283036866,-1.078125,0.29003906,0.19238281,24.34375,-11.6875,41.75
96,96,1727283036906,-1.0449219,0.20507812,0.31640625,2.625,-24.5,29.125
97,97,1727283036946,-0.73828125,0.06347656,0.37402344,5.4375,-15.03125,4.40625
98,98,1727283036986,-0.9638672,-0.053710938,0.14257812,-24.90625,50.5,-37.0
99,99,1727283037026,-1.7167969,0.50097656,-0.09765625,28.25,25.96875,31.0
100,100,1727283037066,-0.9707031,-0.0087890625,-0.0107421875,-35.71875,9.5,-9.8125
101,101,1727283037106,-0.73339844,-0.09863281,-0.123046875,8.0,6.09375,-19.90625
102,102,1727283037146,-1.0166016,0.29296875,-0.033203125,3.59375,31.84375,-20.8125
103,103,1727283037186,-1.0800781,0.15917969,0.07421875,-32.34375,6.625,-16.78125
104,104,1727283037226,-0.9248047,-0.0625,0.0078125,-41.9375,3.15625,-36.875
105,105,1727283037266,-0.84472656,-0.041015625,-0.021484375,-7.8125,20.90625,-32.40625
106,106,1727283037306,-0.8964844,0.12109375,-0.036132812,-1.53125,34.09375,-26.0625
107,107,1727283037346,-0.8388672,0.08886719,-0.064453125,-12.34375,42.6875,-24.03125
108,108,1727283037386,-0.8623047,0.029296875,-0.01953125,-17.8125,57.78125,-20.6875
109,109,1727283037426,-0.93652344,-0.10546875,-0.00390625,-21.25,56.8125,-19.96875
110,110,1727283037466,-1.0751953,-0.20507812,0.09082031,-6.09375,50.03125,-25.4375
111,111,1727283037506,-1.1982422,-0.21289062,0.1328125,1.78125,17.8125,-21.40625
112,112,1727283037546,-1.2333984,-0.09472656,0.09277344,-2.1875,-4.1875,-9.65625
113,113,1727283037586,-1.203125,-0.12597656,-0.29589844,-3.125,-6.8125,-6.84375
114,114,1727283037626,-1.3730469,0.33203125,-0.36621094,10.6875,-10.09375,-7.875
115,115,1727283037666,-1.0976562,0.23925781,-0.3310547,-8.65625,-33.78125,15.8125
116,116,1727283037706,-1.0712891,-0.001953125,-0.06738281,0.375,-68.6875,15.0625
117,117,1727283037746,-1.1142578,-0.08984375,0.00390625,9.65625,-61.375,13.84375
118,118,1727283037786,-1.0566406,-0.0068359375,-0.005859375,29.65625,-38.28125,30.53125
119,119,1727283037826,-0.8095703,0.123046875,0.0,30.21875,-44.46875,41.3125
120,120,1727283037866,-0.7763672,0.046875,0.046875,21.46875,-52.6875,37.96875
121,121,1727283037906,-0.7441406,0.013671875,0.11425781,10.125,-44.9375,30.15625
122,122,1727283037946,-0.8095703,0.060546875,0.125,12.75,-16.8125,33.3125
123,123,1727283037986,-0.82910156,0.21386719,0.21972656,11.90625,5.96875,40.15625
124,124,1727283038026,-0.9423828,0.107421875,0.32226562,15.9375,-15.28125,39.75
125,125,1727283038066,-0.9082031,0.08691406,0.359375,18.90625,-21.09375,11.28125
126,126,1727283038106,-0.98535156,0.13574219,0.47851562,23.75,-0.625,-11.0
127,127,1727283038146,-1.3867188,0.34277344,-0.28125,-9.71875,29.09375,-15.9375
128,128,1727283038186,-1.6396484,0.28710938,0.1796875,-9.28125,15.90625,17.09375
129,129,1727283038226,-0.64453125,-0.099609375,-0.13378906,-9.46875,12.625,-9.40625
130,130,1727283038266,-0.89746094,0.12792969,-0.14746094,19.65625,38.625,-23.9375
131,131,1727283038306,-0.9980469,0.31640625,0.04296875,-13.84375,29.21875,-24.34375
132,132,1727283038346,-0.88378906,0.07714844,0.038085938,-50.21875,-0.9375,-41.625
133,133,1727283038386,-0.74902344,-0.12402344,0.018554688,-39.125,7.96875,-48.15625
134,134,1727283038426,-0.91796875,-0.12109375,0.038085938,-6.78125,35.3125,-37.15625
135,135,1727283038466,-0.8886719,0.068359375,0.009765625,0.96875,44.53125,-30.5625
136,136,1727283038506,-0.9169922,0.06347656,0.052734375,-16.40625,43.625,-26.0
137,137,1727283038546,-1.0009766,-0.12402344,0.04296875,-18.75,48.5,-27.90625
138,138,1727283038586,-0.9970703,-0.22167969,-0.018554688,-5.1875,45.21875,-19.28125
139,139,1727283038626,-1.0888672,-0.25097656,0.0703125,0.375,29.09375,-11.09375
140,140,1727283038666,-1.1152344,-0.18359375,-0.028320312,6.78125,16.75,-6.90625
141,141,1727283038706,-1.2304688,-0.022460938,-0.0390625,-2.3125,11.15625,1.84375
142,142,1727283038746,-1.3857422,-0.08496094,-0.37402344,-8.96875,-0.375,-10.75
143,143,1727283038786,-1.2490234,0.25390625,-0.35839844,-6.40625,-12.0,-19.28125
144,144,1727283038826,-0.94921875,0.16699219,-0.2939453,-13.6875,-28.34375,17.59375
145,145,1727283038866,-1.0644531,0.034179688,-0.07421875,-7.5625,-56.59375,22.78125
146,146,1727283038906,-1.1201172,-0.043945312,-0.030273438,0.625,-56.84375,20.8125
147,147,1727283038946,-0.94921875,0.030273438,-0.0126953125,12.5,-37.875,27.40625
148,148,1727283038986,-0.85253906,0.15722656,0.05859375,14.21875,-39.03125,43.65625
149,149,1727283039026,-0.8564453,0.022460938,0.07324219,2.0625,-47.03125,43.875
150,150,1727283039066,-0.9140625,-0.06933594,0.11035156,-7.09375,-41.28125,41.625
151,151,1727283039106,-0.7871094,0.05078125,0.13574219,3.125,-21.5625,40.09375
152,152,1727283039146,-0.765625,0.234375,0.1953125,-4.8125,-3.0,31.75
153,153,1727283039186,-0.91503906,0.18066406,0.24707031,-18.3125,0.65625,19.71875
154,154,1727283039226,-1.0146484,0.08691406,0.33691406,-3.71875,14.9375,13.375
155,155,1727283039266,-1.2294922,0.11425781,0.3564453,-9.71875,76.46875,-12.5625
