,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1727372934885,-1.671875,-0.3828125,-0.3935547,-5.5625,57.59375,10.8125
1,1727372934925,-0.82910156,-0.41796875,0.10644531,-29.78125,-3.15625,-2.375
2,1727372934965,-0.62402344,-0.3544922,-0.5371094,14.21875,48.0625,1.59375
3,1727372935005,-0.83203125,-0.22753906,-0.09667969,21.0625,72.40625,-3.53125
4,1727372935045,-0.9980469,-0.22949219,-0.119140625,-26.96875,35.78125,-4.3125
5,1727372935085,-1.1494141,-0.5234375,0.22558594,2.0,6.125,5.9375
6,1727372935125,-0.9267578,-0.44433594,0.083984375,-17.65625,-24.9375,-6.34375
7,1727372935165,-0.8310547,-0.5986328,-0.0625,18.5625,-29.875,-11.03125
8,1727372935205,-0.73828125,-0.30273438,0.052734375,29.53125,-48.6875,-22.375
9,1727372935245,-0.71484375,-0.15234375,-0.24121094,-11.90625,-38.3125,-13.15625
10,1727372935285,-0.7480469,-0.22753906,-0.09082031,-7.375,-27.0,4.40625
11,1727372935325,-0.70703125,-0.34765625,-0.0029296875,-47.25,-68.09375,-12.3125
12,1727372935365,-0.7421875,-0.3173828,-0.23144531,-11.40625,-53.0625,-14.03125
13,1727372935405,-0.9482422,-0.625,0.03125,-15.09375,-31.90625,-6.5625
14,1727372935445,-0.8808594,-0.4794922,0.032226562,0.71875,-22.4375,-1.5
15,1727372935485,-0.9628906,-0.55859375,0.09667969,32.84375,-6.9375,8.0
16,1727372935525,-1.2128906,-0.6953125,0.203125,54.25,-8.875,5.15625
17,1727372935565,-1.4970703,-0.82910156,0.15625,113.46875,-22.9375,-14.25
18,1727372935605,-1.3173828,-0.3876953,0.08984375,118.03125,-47.75,-38.1875
19,1727372935645,-1.7138672,-0.25585938,0.20996094,3.84375,-77.4375,-61.09375
20,1727372935685,-0.92285156,-0.24316406,0.037109375,29.78125,-51.78125,-40.9375
21,1727372935725,-0.82421875,-0.32910156,0.12988281,84.78125,-31.90625,-12.5
22,1727372935765,-0.8408203,-0.1015625,0.08105469,85.1875,-27.3125,3.6875
23,1727372935805,-0.67285156,0.0009765625,0.02734375,56.75,-10.34375,11.96875
24,1727372935845,-0.7949219,-0.0625,0.1875,-15.25,5.34375,14.71875
25,1727372935885,-0.6982422,-0.26464844,0.1640625,-69.59375,26.5,16.4375
26,1727372935925,-0.6503906,-0.39257812,0.18652344,-87.28125,50.4375,33.65625
27,1727372935965,-0.7060547,-0.47851562,0.12207031,-49.0625,59.78125,41.875
28,1727372936005,-0.6484375,-0.4609375,0.057617188,26.5,77.46875,31.375
29,1727372936045,-0.86816406,-0.33398438,0.18554688,8.90625,81.375,17.15625
30,1727372936085,-0.9355469,-0.23242188,0.61035156,-57.625,25.59375,-1.8125
31,1727372936125,-0.8779297,-0.19726562,0.16992188,-51.15625,-24.75,-4.25
32,1727372936165,-0.84375,-0.32617188,0.16015625,1.65625,5.46875,10.5
