,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0,1727871277097,-0.9433594,-0.020507812,0.25976562,-3.25,3.78125,5.625
1,1,1727871277137,-0.89160156,0.051757812,0.30371094,-14.1875,-3.78125,11.5
2,2,1727871277177,-0.75390625,0.00390625,0.1953125,15.4375,-21.90625,27.0
3,3,1727871277217,-0.7626953,0.04296875,0.24316406,-11.96875,-26.0,36.09375
4,4,1727871277257,-0.7783203,-0.055664062,0.23730469,-27.71875,-22.90625,27.375
5,5,1727871277297,-0.7626953,-0.072265625,0.15820312,-19.5,-19.84375,27.1875
6,6,1727871277337,-0.8730469,-0.10546875,0.33398438,-4.34375,-22.96875,16.5
7,7,1727871277377,-0.96875,0.0048828125,0.40527344,-0.25,-42.1875,3.8125
8,8,1727871277417,-1.1611328,0.14941406,0.41503906,9.5,-76.4375,0.0625
9,9,1727871277457,-1.3173828,-0.060546875,0.34277344,28.71875,-93.40625,11.78125
10,10,1727871277497,-1.296875,0.14453125,0.55078125,103.5,-150.34375,8.625
11,11,1727871277537,-1.4707031,0.58203125,0.7265625,106.1875,-174.375,5.15625
12,12,1727871277577,-0.9794922,0.46289062,0.6826172,-2.09375,-71.53125,2.09375
13,13,1727871277617,-0.7763672,0.07910156,0.53808594,5.15625,-61.15625,12.46875
14,14,1727871277657,-0.7451172,0.24902344,0.4404297,44.96875,-30.90625,11.625
15,15,1727871277697,-0.31445312,0.3798828,0.5058594,16.59375,19.65625,1.375
16,16,1727871277737,-0.31445312,0.23632812,0.3173828,-7.34375,80.0,-8.65625
17,17,1727871277777,-0.43066406,0.15039062,0.39453125,-11.5,82.4375,4.78125
18,18,1727871277817,-0.6064453,0.0546875,0.45117188,-12.46875,87.34375,-16.40625
19,19,1727871277857,-0.58691406,0.06542969,0.44726562,-15.53125,80.125,-29.53125
20,20,1727871277897,-0.93359375,0.19824219,0.6171875,-11.3125,106.4375,-53.5
21,21,1727871277937,-1.0634766,0.15429688,0.37597656,-17.78125,77.03125,-33.5625
22,22,1727871277977,-0.96191406,0.15136719,0.49902344,30.5625,38.375,-30.6875
23,23,1727871278017,-0.7792969,0.2607422,0.28515625,6.4375,35.40625,-27.5625
24,24,1727871278057,-0.88378906,0.38378906,0.30078125,11.75,33.25,-22.125
25,25,1727871278097,-1.4667969,0.21386719,0.37695312,9.6875,-3.96875,4.96875
26,26,1727871278137,-1.3798828,0.001953125,0.020507812,13.71875,-23.4375,1.1875
27,27,1727871278177,-1.4599609,0.0859375,0.43847656,-24.0,-20.15625,-1.03125
28,28,1727871278217,-1.0751953,0.06738281,0.26757812,-76.25,7.6875,-0.84375
29,29,1727871278257,-1.0839844,-0.030273438,0.29785156,-56.46875,18.4375,-5.71875
30,30,1727871278297,-1.0849609,-0.123046875,0.23046875,-35.25,24.46875,-0.21875
31,31,1727871278337,-0.94628906,-0.11035156,0.10449219,-14.90625,56.21875,-15.1875
32,32,1727871278377,-0.78125,-0.047851562,0.16308594,-23.6875,44.4375,-18.65625
33,33,1727871278417,-0.7832031,-0.0048828125,0.20019531,0.96875,25.9375,-2.125
34,34,1727871278457,-0.92285156,-0.059570312,0.21875,-0.875,8.0,11.0
35,35,1727871278497,-1.0351562,-0.047851562,0.33203125,-17.46875,7.4375,9.0625
36,36,1727871278537,-1.0048828,-0.03515625,0.25878906,-9.78125,-6.34375,15.09375
37,37,1727871278577,-0.8984375,-0.080078125,0.115234375,12.8125,-16.90625,23.03125
