,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1727269003047,-0.203125,0.84765625,0.5078125,-0.09375,-0.28125,0.0625
1,1727269003103,-0.19335938,0.8544922,0.515625,-0.375,-0.28125,0.0
2,1727269003145,-0.20898438,0.84375,0.52246094,-0.375,0.53125,0.1875
3,1727269003162,-0.19824219,0.83691406,0.5107422,-0.25,0.59375,0.5625
4,1727269003193,-0.19628906,0.8378906,0.5029297,-0.03125,-0.03125,0.75
5,1727269003260,-0.18554688,0.83984375,0.52734375,0.46875,0.09375,0.0625
6,1727269003281,-0.19433594,0.8417969,0.51464844,0.46875,-0.09375,0.0625
7,1727269003312,-0.1953125,0.8359375,0.5097656,0.53125,-0.21875,0.25
8,1727269003377,-0.20214844,0.84375,0.5126953,0.46875,-0.03125,0.125
9,1727269003404,-0.19824219,0.8466797,0.51464844,0.15625,-0.03125,0.0625
10,1727269003433,-0.19921875,0.84765625,0.51464844,0.09375,-0.03125,0.125
11,1727269003522,-0.203125,0.8515625,0.51171875,0.09375,0.28125,0.25
12,1727269003554,-0.19921875,0.8486328,0.50683594,0.03125,0.09375,0.375
13,1727269003584,-0.20605469,0.84765625,0.5175781,0.03125,0.09375,0.375
14,1727269003616,-0.19238281,0.83984375,0.5185547,-0.09375,0.15625,-0.0625
15,1727269003644,-0.20605469,0.8515625,0.49804688,-0.09375,-0.03125,-0.125
16,1727269003675,-0.18945312,0.8457031,0.5214844,-1.0,0.40625,-0.3125
17,1727269003738,-0.18066406,0.8408203,0.5078125,-1.59375,0.53125,0.4375
18,1727269003762,-0.20019531,0.83203125,0.5097656,-0.125,0.09375,0.375
19,1727269003799,-0.20410156,0.83496094,0.50878906,0.46875,0.28125,-0.25
20,1727269003852,-0.20800781,0.8466797,0.5097656,0.46875,-0.03125,0.0
21,1727269003888,-0.20117188,0.8486328,0.5175781,0.03125,-0.15625,0.125
22,1727269003914,-0.19726562,0.84765625,0.5107422,-0.1875,-0.21875,0.125
23,1727269003972,-0.20410156,0.8388672,0.51171875,-0.6875,-0.28125,0.0625
24,1727269004032,-0.19628906,0.8496094,0.5136719,-0.1875,-0.40625,0.1875
25,1727269004092,-0.19628906,0.8378906,0.5078125,-0.3125,-0.09375,0.375
26,1727269004122,-0.18945312,0.8457031,0.5078125,-0.125,-0.03125,0.0625
27,1727269004152,-0.20019531,0.84375,0.5136719,-0.4375,-0.09375,0.3125
28,1727269004212,-0.19433594,0.84375,0.5078125,-0.4375,-0.09375,0.3125
29,1727269004242,-0.20214844,0.83691406,0.5185547,0.03125,-0.09375,0.0
30,1727269004274,-0.20410156,0.83984375,0.5205078,0.46875,0.34375,0.125
31,1727269004302,-0.1953125,0.85546875,0.52246094,0.03125,0.40625,0.4375
32,1727269004332,-0.20019531,0.84375,0.5107422,0.15625,0.09375,0.5625
33,1727269004366,-0.18945312,0.8466797,0.5078125,0.71875,-0.03125,0.0
34,1727269004392,-0.20019531,0.8486328,0.5107422,0.40625,-0.03125,-0.125
35,1727269004456,-0.20214844,0.8466797,0.5175781,0.46875,-0.03125,0.25
36,1727269004483,-0.19628906,0.85253906,0.5136719,0.09375,-0.09375,0.25
37,1727269004513,-0.19335938,0.8408203,0.51171875,0.03125,0.28125,0.125
38,1727269004607,-0.19726562,0.8466797,0.5136719,-0.1875,0.09375,0.125
39,1727269004632,-0.18945312,0.8466797,0.5214844,-0.125,0.03125,0.3125
40,1727269004663,-0.19140625,0.84375,0.5107422,-0.09375,-0.09375,0.25
