,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0,1727897762130,0.072265625,1.0068359,-0.10644531,-0.53125,0.28125,-0.28125
1,1,1727897762170,0.06933594,0.99902344,-0.10058594,-0.53125,0.21875,-0.09375
2,2,1727897762210,0.06640625,0.9921875,-0.10058594,-1.5,0.15625,-0.09375
3,3,1727897762250,0.06542969,0.9951172,-0.099609375,-0.78125,0.5,0.21875
4,4,1727897762290,0.06347656,0.99902344,-0.09863281,-0.59375,0.75,0.03125
5,5,1727897762330,0.068359375,0.99609375,-0.11230469,-0.65625,0.5625,0.21875
6,6,1727897762370,0.07519531,0.9873047,-0.09082031,-0.78125,0.21875,0.03125
7,7,1727897762410,0.06542969,0.9980469,-0.09863281,-0.21875,0.15625,-0.15625
8,8,1727897762450,0.06933594,0.9902344,-0.10644531,-0.09375,0.03125,0.03125
9,9,1727897762490,0.06640625,0.9902344,-0.10058594,-0.03125,0.15625,0.15625
10,10,1727897762530,0.06933594,0.9863281,-0.095703125,-0.96875,0.625,-0.15625
11,11,1727897762570,0.072265625,0.9902344,-0.09472656,-0.15625,0.4375,0.15625
12,12,1727897762610,0.06933594,0.99121094,-0.08496094,-0.65625,0.375,-0.09375
13,13,1727897762650,0.06738281,0.99316406,-0.111328125,-0.53125,0.15625,-0.03125
14,14,1727897762690,0.06933594,0.9941406,-0.09472656,0.15625,0.09375,-0.09375
15,15,1727897762730,0.07324219,0.9951172,-0.08886719,0.3125,0.15625,-0.21875
16,16,1727897762770,0.06738281,1.0029297,-0.10644531,-0.40625,0.03125,0.03125
17,17,1727897762810,0.06640625,0.98828125,-0.09277344,-0.53125,0.3125,0.03125
18,18,1727897762850,0.06640625,0.9902344,-0.087890625,-0.03125,0.375,-0.03125
19,19,1727897762890,0.06738281,0.9980469,-0.09375,0.4375,0.5625,-0.21875
20,20,1727897762930,0.0703125,0.99316406,-0.111328125,-0.40625,0.28125,-0.34375
21,21,1727897762970,0.06640625,1.0009766,-0.10253906,-0.53125,0.03125,-0.28125
22,22,1727897763010,0.07128906,0.9902344,-0.09765625,-0.21875,0.3125,0.03125
23,23,1727897763050,0.06542969,0.99121094,-0.095703125,-0.34375,0.3125,0.03125
24,24,1727897763090,0.07519531,0.99121094,-0.091796875,-0.28125,0.21875,0.15625
25,25,1727897763130,0.059570312,0.9951172,-0.10546875,-0.53125,0.15625,0.15625
26,26,1727897763170,0.0625,0.9863281,-0.1015625,-0.46875,0.15625,0.15625
27,27,1727897763210,0.06542969,1.0,-0.10058594,-0.53125,0.28125,-0.09375
28,28,1727897763250,0.06542969,0.9902344,-0.095703125,-0.09375,0.09375,-0.09375
29,29,1727897763290,0.072265625,0.99609375,-0.09082031,0.09375,0.28125,0.03125
30,30,1727897763330,0.06640625,0.9824219,-0.103515625,0.15625,0.4375,-0.09375
31,31,1727897763370,0.0703125,0.99609375,-0.09667969,-0.09375,0.28125,-0.09375
32,32,1727897763410,0.06542969,0.9970703,-0.09277344,-0.09375,0.21875,-0.09375
33,33,1727897763450,0.072265625,0.9892578,-0.111328125,-0.21875,-0.03125,-0.15625
34,34,1727897763490,0.0703125,0.9951172,-0.09472656,-0.28125,-0.15625,-0.15625
35,35,1727897763530,0.06738281,0.9863281,-0.099609375,-0.78125,0.21875,0.03125
36,36,1727897763570,0.07128906,0.9902344,-0.09277344,-0.84375,0.03125,0.03125
37,37,1727897763610,0.06933594,0.99121094,-0.091796875,-0.28125,0.09375,-0.03125
38,38,1727897763650,0.06640625,0.9980469,-0.08691406,-0.65625,0.28125,-0.03125
39,39,1727897763690,0.0703125,0.9951172,-0.09863281,0.09375,0.15625,-0.28125
40,40,1727897763730,0.06347656,0.9951172,-0.08886719,-0.40625,-0.03125,-0.09375
41,41,1727897763770,0.06933594,0.9951172,-0.08105469,-1.8125,0.09375,0.03125
42,42,1727897763810,0.06640625,1.0019531,-0.09472656,-1.375,0.21875,-0.09375
43,43,1727897763850,0.07128906,0.9970703,-0.10644531,-0.46875,0.4375,-0.03125
44,44,1727897763890,0.06542969,0.98828125,-0.099609375,-0.84375,0.15625,0.09375
45,45,1727897763930,0.06933594,0.98828125,-0.10253906,-0.09375,-0.03125,-0.21875
46,46,1727897763970,0.06640625,0.9902344,-0.1015625,-0.28125,0.09375,-0.21875
47,47,1727897764010,0.07128906,0.99902344,-0.09863281,0.09375,0.09375,-0.09375
48,48,1727897764050,0.06640625,0.9941406,-0.111328125,0.03125,0.03125,-0.09375
49,49,1727897764090,0.06738281,0.99121094,-0.08496094,-0.21875,-0.03125,-0.09375
50,50,1727897764130,0.07714844,0.99316406,-0.10058594,-0.53125,0.15625,0.03125
51,51,1727897764170,0.07324219,0.9951172,-0.083984375,-1.03125,-0.09375,-0.15625
52,52,1727897764210,0.06640625,0.99609375,-0.09667969,-0.65625,-0.03125,-0.09375
53,53,1727897764250,0.06933594,1.0009766,-0.09082031,-0.34375,0.03125,-0.09375
54,54,1727897764290,0.07128906,1.0009766,-0.0859375,-0.71875,0.03125,-0.15625
55,55,1727897764330,0.07324219,0.9892578,-0.09472656,-0.03125,-0.03125,-0.21875
56,56,1727897764370,0.06640625,0.99316406,-0.080078125,0.09375,0.15625,-0.03125
57,57,1727897764410,0.06933594,0.9970703,-0.1015625,-0.46875,0.09375,-0.15625
58,58,1727897764450,0.06347656,0.99902344,-0.08691406,0.15625,0.15625,-0.21875
59,59,1727897764490,0.08105469,0.99316406,-0.08984375,0.09375,0.21875,-0.15625
60,60,1727897764530,0.0625,0.99902344,-0.08203125,-0.15625,0.09375,-0.09375
61,61,1727897764570,0.072265625,0.9941406,-0.107421875,-0.09375,0.15625,0.09375
62,62,1727897764610,0.0546875,0.99121094,-0.09863281,-0.40625,0.09375,-0.09375
63,63,1727897764650,0.06640625,0.9892578,-0.07910156,-0.34375,0.3125,-0.09375
64,64,1727897764690,0.068359375,1.0019531,-0.09277344,0.03125,0.21875,0.03125
65,65,1727897764730,0.068359375,0.98828125,-0.1015625,-0.15625,-0.03125,-0.03125
66,66,1727897764770,0.064453125,0.99316406,-0.08691406,-0.34375,0.09375,-0.15625
67,67,1727897764810,0.064453125,0.9921875,-0.08105469,-0.09375,0.09375,-0.15625
68,68,1727897764850,0.06542969,0.99902344,-0.07910156,-0.21875,0.15625,-0.03125
69,69,1727897764890,0.06640625,0.9980469,-0.072265625,-0.09375,-0.03125,0.09375
70,70,1727897764930,0.068359375,0.99316406,-0.08691406,-0.03125,0.03125,-0.09375
71,71,1727897764970,0.07128906,0.99316406,-0.095703125,-0.03125,0.28125,-0.03125
72,72,1727897765010,0.06542969,1.0009766,-0.087890625,-0.09375,0.15625,-0.21875
73,73,1727897765050,0.06542969,0.9970703,-0.08984375,0.03125,0.21875,-0.09375
74,74,1727897765090,0.06542969,0.9941406,-0.09667969,0.25,-0.09375,-0.28125
75,75,1727897765130,0.06640625,1.0009766,-0.10644531,-0.09375,0.09375,-0.21875
76,76,1727897765170,0.068359375,1.0,-0.10253906,-0.28125,0.21875,-0.21875
77,77,1727897765210,0.06640625,0.99609375,-0.09667969,-0.03125,0.28125,0.03125
78,78,1727897765250,0.06738281,0.9951172,-0.09863281,-0.03125,0.09375,-0.03125
79,79,1727897765290,0.0703125,0.9951172,-0.087890625,-0.34375,0.15625,-0.09375
80,80,1727897765330,0.06640625,0.99316406,-0.07421875,0.25,0.21875,-0.15625
81,81,1727897765370,0.068359375,0.9941406,-0.09082031,0.21875,0.15625,-0.28125
82,82,1727897765410,0.06542969,0.9941406,-0.08496094,-0.21875,0.21875,-0.15625
83,83,1727897765450,0.061523438,1.0,-0.083984375,-0.65625,0.15625,-0.03125
84,84,1727897765490,0.06933594,0.9814453,-0.09667969,0.03125,0.375,-0.15625
85,85,1727897765530,0.06542969,1.0,-0.08203125,0.09375,0.3125,-0.03125
86,86,1727897765570,0.068359375,0.9980469,-0.09667969,-0.03125,0.03125,-0.09375
87,87,1727897765610,0.07128906,0.99316406,-0.09082031,-0.03125,0.09375,-0.21875
88,88,1727897765650,0.068359375,0.9980469,-0.09375,-0.40625,-0.09375,-0.21875
89,89,1727897765690,0.06738281,0.99316406,-0.08105469,-0.65625,0.03125,-0.03125
90,90,1727897765730,0.057617188,0.99121094,-0.07910156,-0.34375,0.03125,-0.03125
91,91,1727897765770,0.05859375,0.99121094,-0.08691406,-0.78125,0.3125,0.28125
92,92,1727897765810,0.07519531,0.99609375,-0.07714844,-1.0625,0.21875,0.21875
93,93,1727897765850,0.07421875,0.9941406,-0.091796875,-1.03125,0.15625,0.09375
94,94,1727897765890,0.0703125,0.99121094,-0.07519531,-0.65625,0.15625,-0.03125
95,95,1727897765930,0.07324219,1.0029297,-0.07714844,-0.15625,-0.15625,-0.15625
96,96,1727897765970,0.06640625,0.9951172,-0.07519531,0.15625,0.15625,-0.03125
97,97,1727897766010,0.068359375,0.9941406,-0.06933594,-0.03125,0.3125,0.03125
98,98,1727897766050,0.07324219,0.9980469,-0.08300781,-0.03125,0.09375,-0.09375
99,99,1727897766090,0.0703125,0.9980469,-0.091796875,0.3125,0.28125,-0.21875
100,100,1727897766130,0.06933594,1.0,-0.09082031,0.3125,0.28125,-0.09375
101,101,1727897766170,0.0625,0.9941406,-0.083984375,0.09375,0.21875,-0.21875
102,102,1727897766210,0.059570312,0.99609375,-0.09082031,0.3125,0.21875,-0.21875
