,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0,1727276469065,-0.09667969,0.8691406,-0.46191406,0.1875,1.03125,0.46875
1,1,1727276469105,-0.0859375,0.88671875,-0.4658203,-0.125,1.125,0.6875
2,2,1727276469145,-0.0859375,0.8886719,-0.4560547,-0.1875,0.90625,0.75
3,3,1727276469185,-0.080078125,0.89453125,-0.46972656,-0.6875,0.84375,2.09375
4,4,1727276469225,-0.083984375,0.8935547,-0.4794922,-0.96875,0.65625,1.96875
5,5,1727276469265,-0.08300781,0.8964844,-0.47851562,-0.96875,0.46875,1.0625
6,6,1727276469305,-0.080078125,0.8925781,-0.4580078,-0.90625,0.03125,-0.03125
7,7,1727276469345,-0.078125,0.8886719,-0.46777344,-0.96875,0.03125,0.09375
8,8,1727276469385,-0.078125,0.89453125,-0.47753906,-0.0625,-0.09375,0.09375
9,9,1727276469425,-0.07128906,0.8857422,-0.46875,-0.0625,-0.15625,0.03125
10,10,1727276469465,-0.078125,0.8925781,-0.46972656,0.0,-0.25,0.03125
11,11,1727276469505,-0.0859375,0.8857422,-0.46484375,0.125,-0.25,0.09375
12,12,1727276469545,-0.07324219,0.8876953,-0.4580078,-0.0625,-0.3125,0.15625
13,13,1727276469585,-0.07324219,0.8857422,-0.47070312,0.125,-0.15625,0.09375
14,14,1727276469625,-0.07910156,0.890625,-0.4638672,0.0,0.09375,0.09375
15,15,1727276469665,-0.080078125,0.8935547,-0.4638672,0.0625,0.03125,0.21875
16,16,1727276469705,-0.08300781,0.8876953,-0.46972656,-0.0625,0.03125,0.03125
17,17,1727276469745,-0.078125,0.89453125,-0.4638672,-0.125,-0.15625,0.15625
18,18,1727276469785,-0.07910156,0.890625,-0.47265625,-0.125,-0.21875,0.09375
19,19,1727276469825,-0.080078125,0.8828125,-0.4580078,0.0625,-0.15625,0.03125
20,20,1727276469865,-0.07910156,0.8847656,-0.4716797,-0.0625,-0.09375,0.09375
21,21,1727276469905,-0.07714844,0.8886719,-0.46777344,-0.0625,-0.09375,-0.09375
22,22,1727276469945,-0.08203125,0.8828125,-0.46289062,-0.125,-0.15625,0.03125
23,23,1727276469985,-0.08496094,0.89160156,-0.46875,-0.125,-0.09375,0.15625
