,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0,1727710186420,-0.8310547,-0.11621094,0.8095703,-8.84375,-2.3125,-6.625
1,1,1727710186460,-0.8544922,0.00390625,0.671875,-14.90625,5.75,-12.84375
2,2,1727710186500,-0.8261719,0.025390625,0.625,-3.90625,16.0,-6.75
3,3,1727710186540,-0.7402344,-0.18847656,0.7470703,-3.96875,10.53125,-3.09375
4,4,1727710186580,-0.6826172,0.032226562,0.64941406,-7.375,3.5,-6.3125
5,5,1727710186620,-1.1914062,-0.11035156,0.8251953,-6.21875,-14.6875,2.65625
6,6,1727710186660,-0.7578125,-0.09375,0.83496094,0.1875,-143.21875,-6.25
7,7,1727710186700,-0.6591797,0.00390625,0.82128906,1.15625,-6.15625,-3.75
8,8,1727710186740,-0.6796875,-0.13671875,0.82910156,9.15625,27.4375,8.15625
9,9,1727710186780,-0.80371094,-0.04296875,0.9160156,-5.5625,100.84375,12.71875
10,10,1727710186820,-1.0527344,0.001953125,0.61816406,3.71875,33.65625,14.25
11,11,1727710186860,-0.88183594,-0.095703125,0.79003906,15.5625,-9.6875,11.5625
12,12,1727710186900,-0.8535156,-0.021484375,0.71777344,8.53125,11.1875,15.40625
13,13,1727710186940,-0.81347656,0.060546875,0.68359375,15.625,0.5625,15.71875
14,14,1727710186980,-0.7919922,-0.041015625,0.76953125,16.84375,2.59375,21.5625
15,15,1727710187020,-0.8515625,0.059570312,0.6230469,11.71875,9.90625,20.90625
16,16,1727710187060,-0.71777344,0.0390625,0.66503906,18.875,-0.28125,22.84375
17,17,1727710187100,-0.7792969,0.051757812,0.6669922,14.15625,2.59375,22.6875
18,18,1727710187140,-0.71777344,0.15625,0.6298828,17.03125,-3.03125,20.28125
19,19,1727710187180,-0.81933594,0.020507812,0.6357422,15.5625,0.5,24.09375
20,20,1727710187220,-0.7216797,0.20898438,0.5878906,12.875,-4.5,17.96875
21,21,1727710187260,-0.67285156,0.06347656,0.56640625,16.84375,-3.875,23.65625
22,22,1727710187300,-0.7441406,0.31445312,0.6533203,11.21875,-6.21875,18.09375
23,23,1727710187340,-0.6435547,0.14160156,0.6484375,14.09375,-10.21875,13.46875
24,24,1727710187380,-0.72753906,0.12597656,0.57421875,14.84375,-0.40625,18.59375
25,25,1727710187420,-0.6171875,0.2529297,0.61621094,8.25,-13.78125,7.40625
26,26,1727710187460,-0.65625,0.22851562,0.6308594,6.96875,-11.34375,6.3125
27,27,1727710187500,-0.6582031,0.21582031,0.5625,12.875,-0.15625,7.96875
28,28,1727710187540,-0.671875,0.14648438,0.6669922,7.15625,-0.84375,4.5625
29,29,1727710187580,-0.7763672,0.21777344,0.5410156,-0.4375,16.0,8.625
30,30,1727710187620,-0.6123047,0.1796875,0.57421875,2.9375,7.90625,4.65625
31,31,1727710187660,-0.54589844,0.22460938,0.6171875,-3.59375,2.875,1.6875
32,32,1727710187700,-0.70703125,0.31640625,0.58203125,-5.0625,-7.78125,-0.21875
33,33,1727710187740,-0.78027344,0.33007812,0.6044922,1.09375,0.03125,-1.375
34,34,1727710187780,-0.71972656,0.234375,0.65722656,2.125,-1.6875,-2.40625
35,35,1727710187820,-0.7060547,0.3095703,0.64160156,-0.96875,-4.5625,-2.03125
36,36,1727710187860,-0.70703125,0.2607422,0.6386719,-2.125,-1.625,-1.90625
37,37,1727710187900,-0.6855469,0.25976562,0.60546875,-4.09375,3.4375,-5.9375
38,38,1727710187940,-0.6279297,0.21386719,0.54785156,-5.25,0.5,-6.125
39,39,1727710187980,-0.6357422,0.20214844,0.6152344,-8.25,0.25,-5.9375
40,40,1727710188020,-0.6640625,0.25390625,0.5576172,-11.0,-0.21875,-12.3125
41,41,1727710188060,-0.6308594,0.19433594,0.609375,-8.1875,0.4375,-15.96875
42,42,1727710188100,-0.62890625,0.15722656,0.625,-10.6875,-5.53125,-16.03125
43,43,1727710188140,-0.72265625,0.17089844,0.61035156,-14.71875,-2.84375,-17.4375
44,44,1727710188180,-0.70410156,0.21386719,0.67578125,-15.0625,4.0,-18.21875
45,45,1727710188220,-0.7236328,0.09472656,0.5966797,-14.9375,5.09375,-20.21875
46,46,1727710188260,-0.59472656,0.12597656,0.6953125,-15.0,-3.03125,-20.71875
47,47,1727710188300,-0.7392578,0.08105469,0.6689453,-18.96875,-6.625,-18.59375
48,48,1727710188340,-0.7871094,0.14648438,0.6923828,-18.5625,0.15625,-22.0625
49,49,1727710188380,-0.8457031,0.0625,0.63378906,-14.28125,-3.28125,-21.09375
50,50,1727710188420,-0.7607422,-0.009765625,0.71777344,-14.71875,0.6875,-18.9375
51,51,1727710188460,-0.859375,0.049804688,0.7109375,-15.375,-2.71875,-17.125
52,52,1727710188500,-0.9326172,-0.0107421875,0.72753906,-13.4375,11.625,-16.9375
53,53,1727710188540,-0.73046875,-0.047851562,0.66796875,-11.59375,6.5,-18.03125
54,54,1727710188580,-0.7558594,-0.059570312,0.7636719,-10.375,-0.90625,-12.96875
55,55,1727710188620,-0.89746094,0.0234375,0.7089844,-13.78125,5.15625,-10.59375
56,56,1727710188660,-0.85839844,-0.005859375,0.6621094,-5.1875,6.0625,-9.84375
57,57,1727710188700,-0.6376953,0.08691406,0.38183594,22.875,-110.6875,11.5
58,58,1727710188740,-0.62890625,0.018554688,0.8066406,12.5,-120.59375,-4.65625
59,59,1727710188780,-0.5908203,0.00390625,0.81152344,9.21875,-104.53125,-9.6875
60,60,1727710188820,-0.5078125,-0.022460938,0.9316406,3.65625,-53.03125,-0.15625
61,61,1727710188860,-0.578125,0.024414062,0.8125,1.28125,-11.75,-1.375
62,62,1727710188900,-0.515625,-0.0234375,0.91308594,0.6875,-1.03125,-1.96875
63,63,1727710188940,-0.5576172,0.018554688,0.88183594,-4.34375,58.3125,-2.46875
64,64,1727710188980,-0.6113281,0.0048828125,0.7939453,-8.0625,78.375,-7.15625
65,65,1727710189020,-0.6748047,-0.00390625,0.92578125,-9.8125,115.75,-1.875
66,66,1727710189060,-1.1318359,-0.109375,0.8222656,-5.25,110.875,30.4375
67,67,1727710189100,-0.96777344,0.026367188,0.5986328,3.40625,13.625,14.25
