,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1727185303044,-0.6484375,0.32128906,-0.0859375,-166.96875,61.78125,10.1875
1,1727185303084,-0.6796875,0.35546875,-0.40625,-66.6875,13.625,15.90625
2,1727185303124,-0.9873047,-0.22167969,-0.54589844,-112.625,-1.8125,47.21875
3,1727185303164,-1.4306641,-0.23535156,-0.6933594,28.90625,123.53125,100.09375
4,1727185303204,-1.1582031,-0.4921875,-0.0703125,114.0625,61.96875,27.15625
5,1727185303244,-0.9658203,-0.06738281,0.2841797,-40.125,82.90625,-44.1875
6,1727185303284,-0.94140625,0.08691406,-0.2841797,-166.09375,39.25,-48.71875
7,1727185303324,-0.8486328,0.26171875,-0.2529297,-78.21875,46.5625,-15.34375
8,1727185303364,-0.88378906,-0.17285156,-0.25585938,-31.40625,45.65625,20.875
9,1727185303404,-0.93359375,0.07910156,-0.23535156,-42.4375,46.75,19.15625
10,1727185303444,-1.0761719,0.12597656,-0.0859375,-19.125,64.9375,31.71875
11,1727185303484,-1.1425781,-0.15429688,-0.08300781,-23.09375,27.15625,23.65625
12,1727185303524,-1.2050781,-0.23925781,-0.15332031,-45.5625,-2.0,1.75
13,1727185303564,-1.40625,-0.10449219,-0.11328125,-24.375,-20.25,-11.71875
14,1727185303604,-1.6660156,-0.45898438,0.3310547,49.46875,-55.46875,-5.1875
15,1727185303644,-1.1445312,-0.3388672,0.1328125,122.96875,-129.5,-23.75
16,1727185303684,-1.2226562,0.4189453,-0.30566406,206.6875,-228.09375,4.375
17,1727185303724,-1.6533203,0.15820312,-0.7138672,180.15625,-129.875,-18.125
18,1727185303764,-1.0917969,-0.27734375,-0.24023438,98.90625,-188.46875,-25.9375
19,1727185303804,-1.1445312,-0.059570312,-0.11328125,-17.96875,-154.84375,-16.5
20,1727185303844,-0.9140625,0.0146484375,-0.37304688,55.15625,-127.375,-32.0625
21,1727185303884,-0.4638672,-0.09667969,-0.2939453,95.25,-97.84375,-41.4375
22,1727185303924,-0.1875,0.08105469,-0.26367188,75.0,-54.6875,-44.8125
23,1727185303964,-0.41796875,0.08203125,-0.19628906,54.84375,30.15625,-22.96875
24,1727185304004,-0.44433594,0.1015625,-0.026367188,19.5625,104.125,-11.90625
25,1727185304044,-1.5136719,0.03515625,1.0595703,14.875,124.21875,-29.1875
26,1727185304084,-1.3095703,0.0234375,0.9082031,-45.625,22.96875,-44.03125
27,1727185304124,-0.9033203,0.32226562,0.5810547,-20.34375,38.03125,-11.96875
28,1727185304164,-1.2490234,-0.19921875,-0.13476562,-17.78125,7.8125,15.0625
29,1727185304204,-1.2763672,-0.022460938,-0.17382812,-222.375,38.09375,16.46875
30,1727185304244,-0.609375,0.32714844,-0.2783203,-172.5,62.5,28.90625
31,1727185304284,-0.70410156,0.2734375,-0.56152344,-47.21875,52.3125,29.46875
32,1727185304324,-0.9902344,-0.12207031,-0.5234375,3.15625,34.0625,50.65625
33,1727185304364,-1.3076172,-0.18457031,-0.42871094,-33.59375,136.71875,85.6875
34,1727185304404,-1.1484375,-0.53125,-0.11230469,51.78125,113.28125,29.28125
35,1727185304444,-0.89941406,-0.032226562,-0.001953125,-12.78125,61.34375,-37.84375
36,1727185304484,-0.94140625,0.2685547,-0.09472656,-120.875,54.375,-48.15625
37,1727185304524,-0.8828125,0.05859375,-0.20410156,-89.03125,58.40625,-6.53125
38,1727185304564,-0.86328125,0.043945312,-0.10449219,-87.0,75.6875,10.1875
39,1727185304604,-0.96875,-0.01953125,-0.22363281,-65.625,58.21875,35.15625
40,1727185304644,-1.1933594,-0.13476562,-0.08886719,-18.09375,45.28125,34.34375
41,1727185304684,-1.0917969,-0.33496094,-0.30664062,-34.5,6.21875,9.9375
42,1727185304724,-1.1542969,-0.1171875,-0.18554688,-41.59375,-2.0625,-11.53125
43,1727185304764,-1.7333984,-0.20214844,0.12988281,16.5625,-27.9375,-12.65625
44,1727185304804,-1.4863281,-0.5234375,0.2529297,56.96875,-89.21875,-23.3125
45,1727185304844,-1.1386719,0.28222656,0.35351562,144.03125,-177.25,-14.0625
46,1727185304884,-1.4023438,0.4375,-0.5878906,136.4375,-236.6875,13.53125
47,1727185304924,-1.4941406,0.08886719,-0.53125,92.6875,-111.1875,-37.84375
48,1727185304964,-1.1845703,-0.50683594,-0.18652344,53.0625,-164.0,-56.09375
49,1727185305004,-1.1123047,-0.095703125,-0.28320312,63.8125,-161.5625,-22.53125
50,1727185305044,-0.6933594,-0.0146484375,-0.34472656,76.5625,-116.6875,-31.6875
51,1727185305084,-0.3623047,0.051757812,-0.28710938,109.21875,-72.03125,-39.0625
52,1727185305124,-0.3310547,0.11621094,-0.30566406,85.1875,-6.84375,-41.03125
53,1727185305164,-0.42578125,0.16894531,-0.29296875,35.5625,46.8125,-26.5
