,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0,1727971313433,-1.1064453,0.10449219,-0.109375,22.40625,25.46875,16.8125
1,1,1727971313473,-1.0507812,0.0146484375,-0.045898438,19.0625,23.09375,15.53125
2,2,1727971313513,-0.94433594,0.0234375,-0.0625,-18.5,6.1875,5.21875
3,3,1727971313553,-0.96191406,0.061523438,-0.11230469,-51.125,-10.65625,-1.875
4,4,1727971313593,-0.96484375,0.037109375,-0.20996094,-49.84375,-15.46875,9.0
5,5,1727971313633,-1.0263672,-0.076171875,-0.28515625,-18.84375,-20.5,25.53125
6,6,1727971313673,-0.97265625,0.001953125,-0.36914062,5.375,-8.03125,22.0
7,7,1727971313713,-0.97265625,0.15039062,-0.3486328,-43.625,6.4375,17.125
8,8,1727971313753,-0.94921875,0.1875,-0.21972656,-40.59375,14.4375,17.15625
9,9,1727971313793,-1.0,0.125,-0.16601562,-24.90625,7.78125,11.25
10,10,1727971313833,-0.97265625,-0.033203125,-0.15527344,-13.125,-5.21875,11.1875
11,11,1727971313873,-1.0429688,-0.11816406,-0.23144531,-15.25,-11.9375,14.1875
12,12,1727971313913,-1.0400391,-0.07910156,-0.27734375,-26.78125,-7.71875,2.21875
13,13,1727971313953,-1.1259766,0.037109375,-0.23828125,-42.84375,1.375,-4.6875
14,14,1727971313993,-1.1699219,-0.0068359375,-0.123046875,9.90625,9.53125,16.375
15,15,1727971314033,-1.0224609,-0.14453125,-0.049804688,103.90625,-13.84375,41.9375
16,16,1727971314073,-0.8574219,-0.30371094,0.009765625,102.5625,-29.46875,43.59375
17,17,1727971314113,-0.72558594,-0.703125,0.20117188,-61.6875,-97.9375,-3.6875
18,18,1727971314153,-0.54003906,-1.0302734,-0.07421875,32.25,-107.65625,-81.28125
19,19,1727971314193,-1.3535156,0.013671875,-0.22167969,-110.21875,-63.21875,-203.46875
20,20,1727971314233,-2.0029297,0.22753906,-0.5498047,-83.375,20.84375,-192.375
21,21,1727971314273,-1.9873047,-0.24121094,-0.73535156,207.84375,106.65625,-103.8125
22,22,1727971314313,-1.71875,-0.72753906,0.39257812,-95.4375,41.03125,-98.3125
23,23,1727971314353,-1.3203125,-0.1953125,0.1171875,217.53125,-49.78125,-35.875
24,24,1727971314393,-0.3408203,0.52734375,-0.15234375,152.09375,-44.59375,2.40625
25,25,1727971314433,-0.21972656,0.7050781,-0.140625,64.875,-11.6875,29.9375
26,26,1727971314473,0.11816406,0.4794922,-0.3076172,-73.40625,84.4375,84.0625
27,27,1727971314513,0.5253906,0.123046875,0.06933594,-153.125,125.75,111.40625
28,28,1727971314553,0.47265625,-0.91796875,-0.6591797,31.9375,38.59375,25.09375
29,29,1727971314593,-2.0029297,-0.5410156,0.09863281,57.25,-81.03125,-116.4375
30,30,1727971314633,-0.9267578,0.38476562,-0.0390625,-298.03125,-7.78125,-12.90625
31,31,1727971314673,-0.7675781,0.5175781,-0.21289062,-14.6875,-94.15625,42.3125
32,32,1727971314713,-2.0029297,0.60839844,-0.4560547,-158.0,-193.875,158.03125
33,33,1727971314753,-1.2636719,-0.14746094,-0.9433594,311.71875,61.125,243.4375
34,34,1727971314793,-0.90722656,-0.8144531,1.9228516,421.03125,159.75,295.6875
35,35,1727971314833,-0.6855469,-0.7216797,-0.21191406,-28.8125,-104.09375,44.21875
36,36,1727971314873,0.095703125,-0.7558594,0.18945312,8.8125,11.90625,-4.875
37,37,1727971314913,0.26660156,-0.6640625,0.24707031,-19.34375,-30.4375,-55.40625
38,38,1727971314953,-0.27734375,-0.39257812,0.048828125,109.09375,-51.3125,-194.25
39,39,1727971314993,-2.0029297,-0.20898438,-0.359375,241.28125,-181.1875,-284.03125
40,40,1727971315033,-2.0029297,0.23925781,-0.5673828,-451.40625,52.09375,-253.59375
41,41,1727971315073,-0.78027344,0.11425781,-0.38671875,66.53125,195.15625,-25.90625
42,42,1727971315113,-1.1083984,-0.3671875,0.20898438,110.59375,16.75,-17.5
43,43,1727971315153,-0.6074219,0.36132812,-0.14648438,194.90625,-18.0625,22.1875
44,44,1727971315193,0.54003906,0.76171875,-0.22460938,18.625,62.6875,27.4375
45,45,1727971315233,1.0322266,0.9472656,0.2529297,-185.65625,10.09375,70.28125
46,46,1727971315273,0.11621094,-0.42285156,0.515625,-23.84375,-17.0,28.875
47,47,1727971315313,-2.0029297,0.030273438,-0.3203125,99.375,-72.6875,-26.65625
48,48,1727971315353,-1.7431641,-0.0107421875,-0.5048828,-248.65625,-62.40625,16.625
49,49,1727971315393,-0.87109375,0.31054688,-0.35351562,-2.4375,-10.96875,83.34375
50,50,1727971315433,-2.0029297,0.125,-0.7753906,-135.1875,-142.375,243.6875
51,51,1727971315473,-1.2724609,-0.3466797,-0.54296875,257.9375,98.40625,213.15625
52,52,1727971315513,-0.71972656,-0.8642578,1.7119141,134.78125,142.90625,174.59375
53,53,1727971315553,-0.32910156,-0.6542969,-0.4482422,80.8125,-71.6875,6.78125
54,54,1727971315593,0.21582031,-0.66308594,0.42578125,-113.9375,12.78125,-3.28125
55,55,1727971315633,0.40722656,-0.484375,0.45214844,-167.71875,14.96875,-97.5
56,56,1727971315673,-0.34960938,-0.18457031,-0.15527344,84.71875,-17.5,-238.625
57,57,1727971315713,-2.0029297,-0.21777344,-0.8027344,251.46875,-223.5,-295.5
58,58,1727971315753,-0.9111328,-0.018554688,0.17773438,-264.625,297.1875,-181.875
59,59,1727971315793,-0.9892578,-0.13378906,0.31445312,89.84375,-37.03125,-51.84375
60,60,1727971315833,-0.90527344,-0.1875,-0.03515625,157.125,-4.8125,24.1875
61,61,1727971315873,0.021484375,0.58984375,-0.064453125,88.3125,15.21875,43.59375
62,62,1727971315913,0.7294922,0.66308594,-0.38378906,-102.40625,30.09375,53.1875
63,63,1727971315953,0.13769531,0.45214844,0.5654297,-119.75,66.4375,78.875
64,64,1727971315993,-0.02734375,-0.7626953,0.19335938,71.65625,-50.59375,22.90625
65,65,1727971316033,-2.0029297,0.19042969,-0.8828125,175.96875,-193.03125,-14.125
66,66,1727971316073,-0.23730469,0.38964844,-0.13574219,-101.0625,109.53125,-70.15625
67,67,1727971316113,-0.47070312,0.68359375,-0.16894531,-53.75,2.21875,64.09375
68,68,1727971316153,-2.0029297,0.5205078,-0.53222656,-440.375,-329.75,198.3125
69,69,1727971316193,-1.2626953,-0.26171875,-0.6513672,373.0,91.21875,194.65625
70,70,1727971316233,-0.8691406,-0.8701172,2.006836,458.625,213.53125,362.875
71,71,1727971316273,-0.421875,-1.2949219,-0.051757812,-56.5,-136.6875,74.71875
72,72,1727971316313,0.4873047,-1.1201172,0.13769531,51.53125,38.53125,-15.0625
73,73,1727971316353,0.3017578,-0.53027344,0.3779297,-134.09375,-54.84375,-154.09375
74,74,1727971316393,-0.67578125,-0.20703125,-0.1953125,211.5,-98.0,-255.21875
75,75,1727971316433,-2.0029297,0.56933594,-0.81152344,356.75,-287.15625,-519.03125
76,76,1727971316473,-1.2685547,0.22070312,-0.6855469,-547.0625,147.40625,-184.3125
77,77,1727971316513,-0.75097656,0.390625,1.0839844,29.4375,155.78125,-54.65625
78,78,1727971316553,-0.9589844,-0.68652344,0.24414062,255.5,21.1875,59.84375
79,79,1727971316593,-0.203125,0.62597656,0.005859375,83.6875,7.34375,42.1875
80,80,1727971316633,0.42578125,0.7988281,-0.10058594,-42.34375,68.5,69.34375
81,81,1727971316673,0.4111328,0.2109375,0.107421875,-188.53125,68.0625,166.09375
82,82,1727971316713,-0.22851562,-0.4326172,0.5732422,98.21875,20.96875,10.875
83,83,1727971316753,-2.0029297,0.14355469,-0.390625,213.6875,-228.25,-94.9375
84,84,1727971316793,-0.9082031,0.3388672,-0.30078125,-212.21875,14.65625,-67.1875
85,85,1727971316833,-1.2089844,0.65234375,-0.234375,54.40625,-30.3125,116.84375
86,86,1727971316873,-2.0029297,0.39746094,-0.5576172,-416.3125,-78.78125,197.34375
87,87,1727971316913,-1.4003906,-0.34570312,-0.7363281,367.5625,14.96875,219.625
88,88,1727971316953,-1.5205078,-0.4267578,1.8466797,287.4375,414.375,282.90625
89,89,1727971316993,-0.09472656,-1.0507812,-0.044921875,-114.8125,-126.15625,106.46875
90,90,1727971317033,0.4189453,-1.078125,0.091796875,-64.75,54.46875,10.46875
91,91,1727971317073,0.16699219,-0.5595703,0.33496094,-58.09375,-38.4375,-176.75
92,92,1727971317113,-1.1962891,-0.123046875,-0.016601562,22.53125,-147.75,-357.03125
93,93,1727971317153,-2.0029297,0.73046875,-0.47265625,-75.4375,-35.3125,-367.90625
94,94,1727971317193,-0.5185547,0.2841797,0.39746094,-124.5,299.40625,-106.96875
95,95,1727971317233,-1.0898438,-0.07910156,0.048828125,115.78125,-54.59375,-15.90625
96,96,1727971317273,-0.7109375,0.078125,0.12890625,169.125,-13.21875,38.71875
97,97,1727971317313,-0.13769531,0.68066406,-0.057617188,61.53125,-24.53125,50.375
98,98,1727971317353,0.5234375,0.4482422,-0.36914062,-90.1875,62.53125,103.46875
99,99,1727971317393,0.20507812,0.16992188,0.67578125,-180.09375,132.21875,110.875
100,100,1727971317433,-0.03125,-0.69433594,-0.08886719,79.65625,-22.5,52.75
101,101,1727971317473,-2.0029297,0.24609375,-0.82714844,-36.375,-140.96875,-75.53125
102,102,1727971317513,-0.36621094,0.4169922,-0.07128906,-37.03125,138.5625,-107.34375
103,103,1727971317553,-0.9628906,0.4794922,-0.33007812,-44.59375,-37.53125,72.53125
104,104,1727971317593,-2.0029297,0.21972656,-0.4970703,-300.46875,-186.1875,161.8125
105,105,1727971317633,-1.0097656,-0.3251953,-0.5732422,356.9375,7.78125,180.875
106,106,1727971317673,-0.9814453,-0.71777344,1.25,127.15625,256.1875,255.9375
107,107,1727971317713,-0.34277344,-1.0332031,0.07421875,-48.03125,-104.40625,-3.34375
108,108,1727971317753,0.21875,-0.6894531,0.013671875,-32.875,-27.09375,-97.6875
109,109,1727971317793,0.48242188,-0.7236328,0.01171875,28.375,-31.15625,-152.5
110,110,1727971317833,-0.20019531,-0.17578125,-0.19824219,255.125,-57.96875,-228.8125
111,111,1727971317873,-2.0029297,0.0029296875,-1.0869141,74.84375,-377.0625,-44.46875
112,112,1727971317913,-1.0898438,-0.3564453,-0.29785156,159.75,425.5,-213.0
113,113,1727971317953,-0.45996094,0.65722656,0.5966797,-127.0,58.90625,-112.15625
114,114,1727971317993,-0.9169922,0.35546875,-0.083984375,380.25,-74.3125,39.6875
115,115,1727971318033,-0.58496094,0.4111328,-0.5703125,376.03125,-90.8125,61.96875
116,116,1727971318073,0.2578125,0.24121094,-0.55859375,162.3125,28.34375,118.5625
117,117,1727971318113,0.36035156,-0.4326172,1.2265625,137.9375,-208.0,94.625
118,118,1727971318153,-0.23144531,-1.3378906,-0.5654297,635.4375,22.71875,-60.53125
119,119,1727971318193,-0.5283203,0.31054688,-0.33691406,53.21875,45.125,-40.375
120,120,1727971318233,-2.0029297,1.8603516,-1.4316406,-722.9375,2.875,-175.28125
121,121,1727971318273,-1.4013672,-0.12011719,0.08300781,360.0,307.625,115.375
122,122,1727971318313,-0.5205078,-0.024414062,-0.31445312,319.65625,-158.1875,27.71875
123,123,1727971318353,-2.0029297,-0.984375,-1.0869141,202.28125,-101.125,48.375
124,124,1727971318393,-1.5712891,-0.66308594,-0.48242188,450.5,90.03125,84.3125
125,125,1727971318433,-1.2685547,0.038085938,0.15625,-147.5625,288.03125,94.5
126,126,1727971318473,-1.0117188,-0.27539062,-0.111328125,-151.34375,6.65625,105.90625
127,127,1727971318513,-0.5126953,-0.2861328,-0.02734375,403.625,-63.15625,107.1875
128,128,1727971318553,-0.36035156,-0.60546875,-0.2705078,354.125,-109.34375,29.625
129,129,1727971318593,-0.43359375,-0.6230469,-0.5546875,244.9375,-165.3125,7.09375
130,130,1727971318633,-0.17089844,-0.81152344,-0.66015625,200.375,-136.15625,-94.78125
131,131,1727971318673,-1.0830078,0.099609375,-0.6669922,114.8125,-86.46875,-198.09375
132,132,1727971318713,-2.0029297,0.36621094,-0.7158203,-122.65625,118.84375,-284.84375
133,133,1727971318753,-2.0029297,0.56640625,1.2109375,194.84375,467.5,-121.4375
134,134,1727971318793,-2.0029297,-0.44335938,-0.11328125,186.65625,89.5,-24.34375
135,135,1727971318833,-1.4414062,-0.3486328,0.1953125,118.46875,50.875,-22.3125
136,136,1727971318873,-0.78222656,0.30664062,-0.16210938,194.15625,-37.53125,23.03125
137,137,1727971318913,0.21191406,0.7216797,-0.12011719,14.78125,57.75,37.5
