,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0,1727887595146,0.5986328,0.35351562,-0.39746094,-17.84375,93.8125,-39.40625
1,1,1727887595186,0.890625,0.31445312,-0.34765625,-4.90625,78.03125,-28.4375
2,2,1727887595226,0.8886719,0.41015625,-0.3515625,8.84375,81.625,-20.3125
3,3,1727887595266,0.859375,0.3828125,-0.36621094,27.375,108.78125,-21.59375
4,4,1727887595306,0.7675781,0.24902344,-0.25976562,33.25,88.9375,-37.40625
5,5,1727887595346,0.7128906,0.22753906,-0.15039062,33.0625,109.9375,-39.1875
6,6,1727887595386,0.8496094,0.3232422,-0.17285156,17.75,89.375,-22.15625
7,7,1727887595426,0.70214844,0.30859375,-0.1484375,0.34375,65.375,-8.15625
8,8,1727887595466,0.8642578,0.3642578,-0.23339844,-25.28125,44.625,-6.21875
9,9,1727887595506,0.8339844,0.3203125,-0.234375,-15.625,37.65625,-0.34375
10,10,1727887595546,0.98339844,0.33007812,-0.24609375,-2.28125,26.25,-8.21875
11,11,1727887595586,0.9716797,0.29296875,-0.26660156,-7.59375,12.21875,-2.5625
12,12,1727887595626,0.96191406,0.25878906,-0.28808594,-3.3125,11.65625,-3.15625
13,13,1727887595666,0.9404297,0.3466797,-0.23925781,-7.28125,12.15625,-6.53125
14,14,1727887595706,1.0244141,0.5048828,-0.16894531,2.65625,19.71875,-19.46875
15,15,1727887595746,1.2675781,0.7470703,-0.11328125,27.375,37.25,-23.78125
16,16,1727887595786,1.3271484,0.5390625,-0.1640625,12.9375,39.5625,-32.21875
17,17,1727887595826,1.015625,0.5576172,-0.046875,35.375,6.78125,-15.96875
18,18,1727887595866,0.9111328,0.5810547,-0.087890625,26.0,-42.46875,-5.59375
19,19,1727887595906,0.9941406,0.4892578,-0.30371094,3.84375,-78.21875,-3.15625
20,20,1727887595946,1.0068359,0.5126953,-0.25195312,34.28125,-125.65625,17.96875
21,21,1727887595986,0.81640625,0.63671875,-0.22851562,51.5,-131.625,39.25
22,22,1727887596026,0.6064453,0.5830078,-0.091796875,23.96875,-65.46875,59.03125
23,23,1727887596066,0.8955078,0.5,-0.46777344,40.75,-87.5,32.90625
24,24,1727887596106,0.74316406,0.30371094,-0.13867188,46.5,-123.21875,44.125
25,25,1727887596146,0.4169922,0.18847656,-0.33496094,30.3125,-105.53125,27.90625
26,26,1727887596186,0.43652344,0.06640625,-0.33496094,5.1875,-92.875,11.0625
27,27,1727887596226,0.3095703,0.0390625,-0.4970703,-24.90625,-51.5625,12.15625
28,28,1727887596266,0.4716797,0.12402344,-0.6855469,-37.78125,-18.0,19.78125
29,29,1727887596306,0.5126953,0.28027344,-0.76464844,-37.0625,1.34375,34.25
30,30,1727887596346,0.64746094,0.14648438,-0.8935547,-37.84375,28.9375,42.375
31,31,1727887596386,1.2529297,0.5527344,-1.0117188,-24.5625,9.15625,49.875
32,32,1727887596426,1.3789062,0.61621094,-1.0214844,-66.96875,4.15625,8.5625
33,33,1727887596466,0.5078125,0.37695312,-0.5888672,-22.34375,86.9375,-15.375
34,34,1727887596506,0.87402344,0.30273438,-0.33984375,-9.59375,74.59375,-35.75
35,35,1727887596546,0.83496094,0.45703125,-0.41992188,3.15625,85.34375,-33.0625
36,36,1727887596586,0.8154297,0.3232422,-0.36621094,11.03125,93.15625,-29.84375
37,37,1727887596626,0.9199219,0.26953125,-0.27148438,19.53125,79.84375,-23.375
38,38,1727887596666,0.74902344,0.29785156,-0.16601562,18.90625,80.875,-34.90625
