,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1727269276197,-0.4267578,-0.8925781,-0.01171875,-1.1875,0.53125,-1.21875
1,1727269276227,-0.41503906,-0.9199219,-0.022460938,-1.59375,2.0,-1.53125
2,1727269276296,-0.4189453,-0.91796875,-0.022460938,-1.1875,-0.3125,-0.3125
3,1727269276316,-0.41210938,-0.91308594,-0.0107421875,0.21875,0.15625,0.65625
4,1727269276347,-0.40234375,-0.92578125,-0.0146484375,0.34375,-1.25,2.375
5,1727269276412,-0.42382812,-0.9091797,-0.0068359375,1.125,-1.0,2.6875
6,1727269276439,-0.4345703,-0.91308594,-0.0146484375,0.84375,-1.375,1.875
7,1727269276471,-0.4326172,-0.9160156,-0.009765625,1.8125,-1.65625,1.03125
8,1727269276528,-0.41601562,-0.92089844,-0.0068359375,2.53125,-1.0625,1.28125
9,1727269276556,-0.4267578,-0.9003906,0.0009765625,0.84375,-0.5,0.3125
10,1727269276587,-0.42382812,-0.9003906,-0.0107421875,-2.15625,1.375,-2.03125
11,1727269276651,-0.4375,-0.91308594,-0.0126953125,-2.78125,1.125,-1.90625
12,1727269276677,-0.4326172,-0.9189453,-0.0126953125,-1.53125,1.03125,-2.6875
13,1727269276707,-0.40625,-0.9199219,-0.018554688,-0.5,-0.5625,-2.5
14,1727269276767,-0.42382812,-0.89941406,-0.0048828125,1.125,0.03125,-1.40625
15,1727269276797,-0.40820312,-0.9160156,-0.0107421875,0.90625,0.09375,-0.78125
16,1727269276831,-0.40625,-0.89746094,-0.020507812,-0.09375,-0.75,-0.4375
17,1727269276947,-0.41015625,-0.91503906,-0.0078125,-0.6875,0.59375,0.5625
18,1727269276977,-0.41503906,-0.9033203,-0.0126953125,0.03125,-0.03125,1.34375
19,1727269277043,-0.42285156,-0.92578125,-0.015625,0.03125,-0.09375,1.15625
20,1727269277070,-0.42382812,-0.9082031,-0.018554688,0.09375,-0.25,0.5
21,1727269277097,-0.42578125,-0.9189453,-0.021484375,0.34375,-0.4375,0.5625
22,1727269277127,-0.42871094,-0.9160156,-0.024414062,0.96875,-0.21875,0.96875
23,1727269277157,-0.42089844,-0.9160156,-0.009765625,0.53125,-0.15625,-0.375
24,1727269277217,-0.4189453,-0.9121094,0.0009765625,0.03125,0.15625,0.0625
25,1727269277247,-0.42089844,-0.90625,-0.0068359375,-0.6875,-0.03125,0.59375
26,1727269277277,-0.4189453,-0.9091797,-0.013671875,-1.4375,1.4375,1.28125
27,1727269277306,-0.4169922,-0.91015625,-0.015625,-1.0,0.53125,0.78125
28,1727269277338,-0.4345703,-0.91015625,-0.022460938,0.71875,-0.25,1.46875
29,1727269277397,-0.4326172,-0.91503906,-0.0146484375,0.71875,0.46875,1.34375
30,1727269277427,-0.42089844,-0.91503906,-0.025390625,1.625,-1.125,1.03125
31,1727269277456,-0.43066406,-0.9121094,-0.005859375,1.9375,-0.5,1.15625
32,1727269277486,-0.4267578,-0.9160156,-0.0068359375,-0.09375,-0.09375,-0.25
33,1727269277517,-0.41503906,-0.90527344,-0.005859375,-1.3125,0.28125,-0.3125
34,1727269277548,-0.4267578,-0.91015625,-0.0009765625,-1.25,0.40625,-0.1875
35,1727269277607,-0.42773438,-0.9082031,-0.01171875,-0.625,0.34375,-0.5
36,1727269277637,-0.4189453,-0.93847656,-0.020507812,0.15625,-0.375,-0.0625
37,1727269277667,-0.4267578,-0.90527344,-0.005859375,0.28125,-0.875,-1.40625
38,1727269277726,-0.41796875,-0.9140625,-0.022460938,1.125,-1.90625,-0.78125
39,1727269277757,-0.42578125,-0.90527344,-0.00390625,1.375,-1.84375,0.4375
40,1727269277787,-0.4189453,-0.9199219,0.0009765625,0.96875,-1.4375,0.0625
41,1727269277846,-0.41992188,-0.9013672,-0.00390625,0.46875,-2.34375,0.65625
42,1727269277877,-0.4375,-0.91308594,-0.0048828125,-1.1875,1.625,1.28125
