,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0,1727996547318,-0.20019531,-0.62109375,-0.80371094,0.03125,-0.0625,0.0
1,1,1727996547358,-0.19824219,-0.6113281,-0.80859375,0.03125,0.125,-0.0625
2,2,1727996547398,-0.19238281,-0.6191406,-0.8027344,0.0,0.0,-0.0625
3,3,1727996547438,-0.20019531,-0.6074219,-0.7949219,-0.0625,-0.0625,-0.0625
4,4,1727996547478,-0.18847656,-0.609375,-0.7998047,-0.125,-0.125,-0.0625
5,5,1727996547518,-0.19726562,-0.6064453,-0.80078125,-0.125,0.0,0.0625
6,6,1727996547558,-0.20898438,-0.6113281,-0.81347656,-0.0625,-0.0625,-0.0625
7,7,1727996547598,-0.20019531,-0.61035156,-0.7910156,0.09375,0.125,-0.0625
8,8,1727996547638,-0.19921875,-0.6201172,-0.8017578,-0.1875,0.0,-0.0625
9,9,1727996547678,-0.18945312,-0.609375,-0.8017578,0.09375,-0.125,-0.125
10,10,1727996547718,-0.20019531,-0.6191406,-0.7919922,-0.1875,0.0,0.0
11,11,1727996547758,-0.19238281,-0.61621094,-0.8027344,0.03125,0.1875,-0.0625
12,12,1727996547798,-0.19628906,-0.6015625,-0.81640625,0.03125,0.0,0.0
13,13,1727996547838,-0.20507812,-0.6064453,-0.7988281,0.03125,0.125,-0.125
14,14,1727996547878,-0.1953125,-0.6123047,-0.81347656,-0.0625,0.0,0.0
15,15,1727996547918,-0.19433594,-0.6064453,-0.8076172,-0.125,0.0,0.0
16,16,1727996547958,-0.19921875,-0.60546875,-0.80078125,-0.125,-0.125,-0.0625
17,17,1727996547998,-0.203125,-0.6142578,-0.7949219,-0.0625,-0.0625,-0.0625
18,18,1727996548038,-0.19921875,-0.61816406,-0.80371094,0.03125,0.125,-0.125
19,19,1727996548078,-0.1953125,-0.6171875,-0.79785156,0.03125,0.0625,0.0
20,20,1727996548118,-0.20019531,-0.6064453,-0.8095703,-0.0625,0.0625,-0.0625
21,21,1727996548158,-0.20507812,-0.61328125,-0.80371094,-0.125,-0.0625,-0.0625
22,22,1727996548198,-0.20117188,-0.6113281,-0.79785156,-0.0625,0.0,0.0
23,23,1727996548238,-0.1953125,-0.61816406,-0.8017578,0.0,0.0,-0.125
24,24,1727996548278,-0.18945312,-0.609375,-0.7910156,0.0,-0.0625,0.0625
25,25,1727996548318,-0.20019531,-0.60839844,-0.80371094,0.03125,0.0625,0.0625
26,26,1727996548358,-0.19726562,-0.6142578,-0.8105469,-0.0625,0.0,-0.0625
27,27,1727996548398,-0.19921875,-0.61035156,-0.80078125,-0.0625,-0.125,0.0
28,28,1727996548438,-0.20117188,-0.60839844,-0.81347656,-0.125,0.0,0.0
29,29,1727996548478,-0.20019531,-0.6142578,-0.7998047,-0.25,-0.0625,0.0
30,30,1727996548518,-0.18945312,-0.6074219,-0.80859375,0.0,0.0,-0.125
31,31,1727996548558,-0.19238281,-0.6171875,-0.7988281,0.0,-0.0625,0.0
32,32,1727996548598,-0.20800781,-0.6191406,-0.7949219,-0.0625,0.125,-0.1875
33,33,1727996548638,-0.1953125,-0.61035156,-0.8027344,-0.125,-0.125,-0.0625
34,34,1727996548678,-0.1953125,-0.609375,-0.80859375,0.0,-0.125,-0.0625
35,35,1727996548718,-0.19824219,-0.60839844,-0.8076172,0.03125,0.0625,0.125
36,36,1727996548758,-0.20214844,-0.61035156,-0.7988281,0.0,0.0,-0.0625
37,37,1727996548798,-0.19238281,-0.6074219,-0.80078125,0.0,0.125,-0.0625
38,38,1727996548838,-0.19335938,-0.61621094,-0.80078125,0.0,0.125,-0.1875
39,39,1727996548878,-0.19726562,-0.60839844,-0.8046875,-0.1875,0.125,-0.0625
40,40,1727996548918,-0.19921875,-0.6074219,-0.8017578,0.03125,0.0625,-0.0625
41,41,1727996548958,-0.19921875,-0.6113281,-0.7939453,0.0,0.0,-0.125
42,42,1727996548998,-0.1953125,-0.6035156,-0.8027344,0.0,-0.125,-0.0625
43,43,1727996549038,-0.19140625,-0.6171875,-0.828125,0.03125,-0.125,0.0
44,44,1727996549078,-0.20410156,-0.6201172,-0.80371094,0.21875,-0.375,0.0625
45,45,1727996549118,-0.19140625,-0.61035156,-0.8095703,0.46875,-0.375,-0.125
46,46,1727996549158,-0.19238281,-0.60546875,-0.80078125,0.34375,-0.5625,-0.1875
47,47,1727996549198,-0.203125,-0.6123047,-0.80078125,0.21875,-0.4375,-0.0625
48,48,1727996549238,-0.19238281,-0.6220703,-0.7988281,0.21875,0.0,-0.0625
49,49,1727996549278,-0.18847656,-0.62109375,-0.8066406,0.28125,-0.0625,-0.0625
50,50,1727996549318,-0.19335938,-0.61035156,-0.79003906,-0.125,0.1875,-0.125
51,51,1727996549358,-0.19335938,-0.6074219,-0.79589844,-0.25,0.53125,-0.1875
52,52,1727996549398,-0.20410156,-0.6074219,-0.7988281,-0.25,0.25,-0.0625
53,53,1727996549438,-0.19238281,-0.6064453,-0.7998047,-0.0625,0.25,-0.125
54,54,1727996549478,-0.19726562,-0.61621094,-0.7861328,0.09375,0.0,-0.125
55,55,1727996549518,-0.19921875,-0.61816406,-0.80371094,0.15625,-0.0625,0.0625
56,56,1727996549558,-0.19140625,-0.6113281,-0.8027344,0.03125,0.0,0.0
57,57,1727996549598,-0.19335938,-0.6152344,-0.7871094,0.03125,0.0625,-0.125
58,58,1727996549638,-0.18164062,-0.61621094,-0.8095703,0.0,0.0625,-0.125
59,59,1727996549678,-0.19726562,-0.609375,-0.8066406,-0.0625,0.0,0.0625
60,60,1727996549718,-0.19921875,-0.61816406,-0.8125,0.15625,0.0625,-0.125
61,61,1727996549758,-0.19628906,-0.6142578,-0.8066406,0.03125,0.1875,-0.0625
62,62,1727996549798,-0.19921875,-0.6123047,-0.8203125,-0.125,0.0,0.0625
63,63,1727996549838,-0.19335938,-0.6191406,-0.80371094,-0.125,-0.0625,0.0
64,64,1727996549878,-0.20410156,-0.61328125,-0.79296875,-0.0625,0.0625,-0.0625
65,65,1727996549918,-0.19726562,-0.609375,-0.7939453,-0.125,0.125,0.0625
66,66,1727996549958,-0.19921875,-0.6074219,-0.79785156,-0.25,0.125,-0.0625
67,67,1727996549998,-0.18066406,-0.6113281,-0.7910156,-0.0625,0.125,-0.0625
68,68,1727996550038,-0.20117188,-0.61035156,-0.79589844,0.03125,0.0,0.0
69,69,1727996550078,-0.19335938,-0.6113281,-0.7910156,0.0,-0.3125,0.0625
70,70,1727996550118,-0.20214844,-0.609375,-0.8017578,-0.125,-0.375,0.1875
71,71,1727996550158,-0.19824219,-0.6064453,-0.80078125,-0.3125,0.0,0.0625
72,72,1727996550198,-0.1953125,-0.625,-0.7939453,-0.4375,0.46875,-0.125
73,73,1727996550238,-0.1953125,-0.61328125,-0.8076172,-0.375,0.40625,0.0
74,74,1727996550278,-0.19238281,-0.61035156,-0.7998047,-0.5,0.65625,0.0
75,75,1727996550318,-0.20019531,-0.60546875,-0.81640625,-0.5,0.375,0.0
76,76,1727996550358,-0.19433594,-0.6123047,-0.8017578,-0.25,0.3125,0.0
77,77,1727996550398,-0.19335938,-0.6123047,-0.80371094,-0.125,0.0625,0.0
