,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1727269037278,-0.19433594,0.8564453,0.51464844,0.0625,0.03125,0.0625
1,1727269037302,-0.19433594,0.84765625,0.51953125,0.0625,-0.09375,-0.03125
2,1727269037332,-0.19042969,0.84375,0.51464844,-0.125,-0.09375,-0.03125
3,1727269037363,-0.19335938,0.84375,0.5126953,-0.25,-0.03125,0.03125
4,1727269037393,-0.19433594,0.84472656,0.5019531,-0.0625,-0.03125,-0.09375
5,1727269037424,-0.18554688,0.83984375,0.50390625,-0.125,-0.09375,-0.15625
6,1727269037513,-0.19335938,0.84472656,0.51171875,-0.125,-0.15625,-0.15625
7,1727269037543,-0.19140625,0.85058594,0.51464844,-0.3125,0.21875,0.0625
8,1727269037573,-0.18945312,0.83496094,0.51171875,-0.3125,0.21875,0.375
9,1727269037609,-0.18945312,0.84472656,0.5097656,0.125,-0.09375,-0.15625
10,1727269037641,-0.20019531,0.8457031,0.5175781,-0.0625,-0.15625,-0.34375
11,1727269037663,-0.20117188,0.83984375,0.50878906,-0.0625,0.15625,0.125
12,1727269037724,-0.19335938,0.8408203,0.5185547,-0.0625,0.09375,0.0625
13,1727269037753,-0.20214844,0.84277344,0.52246094,0.125,-0.03125,-0.15625
14,1727269037783,-0.18359375,0.8535156,0.51660156,0.0625,-0.09375,-0.03125
15,1727269037844,-0.18457031,0.84765625,0.51171875,-0.1875,-0.09375,0.03125
16,1727269037881,-0.19140625,0.8486328,0.5058594,-0.125,-0.03125,-0.03125
17,1727269037903,-0.1875,0.84472656,0.51464844,-0.25,-0.03125,-0.03125
18,1727269037963,-0.20117188,0.8466797,0.5136719,-0.125,0.03125,-0.15625
19,1727269037993,-0.19726562,0.8515625,0.51464844,-0.1875,-0.03125,0.0625
20,1727269038023,-0.1953125,0.84472656,0.5175781,-0.1875,0.03125,0.0625
21,1727269038082,-0.18945312,0.8486328,0.5126953,-0.3125,0.03125,0.03125
22,1727269038113,-0.18554688,0.8496094,0.5136719,-0.125,-0.03125,-0.21875
23,1727269038143,-0.20019531,0.84765625,0.5097656,-0.125,-0.09375,-0.09375
24,1727269038202,-0.1953125,0.8457031,0.50683594,-0.0625,0.21875,0.1875
25,1727269038233,-0.1953125,0.84472656,0.53515625,-0.3125,0.28125,0.1875
26,1727269038262,-0.19824219,0.8486328,0.50683594,0.3125,-0.03125,-0.03125
27,1727269038357,-0.18847656,0.8515625,0.51464844,-0.25,-0.28125,-0.15625
28,1727269038383,-0.18554688,0.8378906,0.5048828,-0.125,-0.03125,0.1875
29,1727269038412,-0.1953125,0.8466797,0.515625,-0.125,0.15625,0.125
30,1727269038442,-0.20214844,0.83984375,0.5214844,0.25,0.15625,-0.21875
31,1727269038475,-0.19433594,0.84765625,0.52441406,-0.25,-0.28125,-0.21875
32,1727269038503,-0.18164062,0.8457031,0.50878906,-0.4375,-0.21875,0.0625
33,1727269038565,-0.19335938,0.8339844,0.5048828,-0.375,0.03125,-0.03125
34,1727269038623,-0.19628906,0.85058594,0.5029297,-0.1875,0.03125,-0.03125
35,1727269038653,-0.1953125,0.84765625,0.5097656,-0.3125,0.09375,-0.03125
36,1727269038683,-0.18945312,0.8496094,0.51660156,-0.53125,0.03125,-0.03125
37,1727269038774,-0.1875,0.8486328,0.51464844,-0.46875,0.03125,0.03125
38,1727269038803,-0.20019531,0.8457031,0.5253906,-0.0625,0.15625,-0.03125
39,1727269038833,-0.18652344,0.86035156,0.5097656,-0.0625,0.09375,-0.09375
40,1727269038863,-0.18847656,0.85058594,0.51660156,-0.3125,-0.09375,-0.09375
41,1727269038893,-0.19726562,0.84375,0.5214844,-0.3125,0.46875,0.0625
42,1727269038922,-0.18457031,0.84765625,0.52246094,-0.71875,0.40625,0.25
43,1727269038953,-0.19238281,0.83984375,0.5205078,-0.375,0.03125,0.125
