,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0,1727218097854,0.08203125,0.9628906,0.23046875,0.6875,-0.0625,-0.4375
1,1,1727218097894,0.08691406,0.96191406,0.22167969,0.625,0.0,-0.25
2,2,1727218097934,0.078125,0.95703125,0.22851562,0.4375,0.0625,-0.125
3,3,1727218097974,0.080078125,0.9589844,0.22070312,0.28125,0.125,-0.125
4,4,1727218098014,0.08300781,0.9667969,0.21582031,0.28125,0.0625,-0.25
5,5,1727218098054,0.07714844,0.9580078,0.22460938,0.15625,0.0625,-0.125
6,6,1727218098094,0.09082031,0.9667969,0.21875,0.15625,0.0625,-0.1875
7,7,1727218098134,0.07910156,0.9589844,0.21679688,0.09375,0.0,-0.1875
8,8,1727218098174,0.083984375,0.9550781,0.23828125,0.21875,0.0625,-0.125
9,9,1727218098214,0.07714844,0.9580078,0.23925781,-0.03125,-0.25,-0.1875
10,10,1727218098254,0.07910156,0.96875,0.22167969,0.09375,0.125,-0.1875
11,11,1727218098294,0.0703125,0.96484375,0.22949219,-0.15625,-0.0625,-0.1875
12,12,1727218098334,0.08496094,0.95410156,0.23144531,-0.15625,0.0,-0.125
13,13,1727218098374,0.08105469,0.96191406,0.23242188,-0.09375,0.0625,0.0625
14,14,1727218098414,0.083984375,0.9628906,0.234375,-0.21875,0.0,-0.0625
15,15,1727218098454,0.08203125,0.95214844,0.23730469,-0.28125,0.0,0.0
16,16,1727218098494,0.083984375,0.9550781,0.2421875,-0.09375,0.125,0.0625
17,17,1727218098534,0.08496094,0.96484375,0.23632812,-0.28125,-0.1875,0.125
18,18,1727218098574,0.06933594,0.96191406,0.22460938,-0.34375,-0.0625,0.0
19,19,1727218098614,0.08496094,0.9589844,0.24121094,0.03125,0.0,-0.0625
20,20,1727218098654,0.07910156,0.95996094,0.2265625,-0.15625,-0.0625,0.125
21,21,1727218098694,0.091796875,0.95703125,0.23046875,0.21875,-0.125,0.0
22,22,1727218098734,0.07519531,0.96777344,0.22949219,-0.15625,0.0,0.0625
23,23,1727218098774,0.07714844,0.9628906,0.22949219,0.03125,-0.0625,0.25
24,24,1727218098814,0.08105469,0.9550781,0.2421875,0.5625,-0.125,0.0625
25,25,1727218098854,0.07324219,0.9580078,0.23925781,0.34375,0.0,0.0
26,26,1727218098894,0.087890625,0.96875,0.22558594,0.15625,-0.0625,0.125
27,27,1727218098934,0.08496094,0.96972656,0.23632812,-0.03125,-0.0625,0.125
28,28,1727218098974,0.08984375,0.96191406,0.23828125,0.03125,0.0,0.0625
29,29,1727218099014,0.083984375,0.96484375,0.21972656,-0.15625,0.15625,0.1875
30,30,1727218099054,0.08300781,0.9609375,0.22753906,-0.28125,0.0625,0.25
31,31,1727218099094,0.08886719,0.95214844,0.23144531,-0.53125,-0.0625,0.25
32,32,1727218099134,0.087890625,0.96191406,0.22363281,-0.28125,0.125,0.3125
33,33,1727218099174,0.07910156,0.9638672,0.23242188,-0.59375,-0.0625,0.125
34,34,1727218099214,0.083984375,0.9511719,0.23144531,-0.65625,0.0625,0.1875
35,35,1727218099254,0.087890625,0.9638672,0.24023438,-0.46875,0.0625,0.375
36,36,1727218099294,0.076171875,0.9580078,0.23144531,-0.65625,0.0625,0.375
37,37,1727218099334,0.08203125,0.9658203,0.23046875,-0.46875,0.125,0.125
38,38,1727218099374,0.083984375,0.9609375,0.24023438,-0.59375,0.125,0.25
39,39,1727218099414,0.087890625,0.96484375,0.23144531,-0.59375,0.0625,0.25
40,40,1727218099454,0.08203125,0.96484375,0.24902344,-0.78125,0.15625,0.125
41,41,1727218099494,0.09765625,0.9638672,0.23046875,-0.59375,0.15625,0.375
42,42,1727218099534,0.083984375,0.953125,0.234375,-0.46875,0.125,0.3125
43,43,1727218099574,0.08496094,0.953125,0.24023438,-0.34375,0.15625,0.125
44,44,1727218099614,0.078125,0.9609375,0.23925781,-0.40625,0.15625,0.25
45,45,1727218099654,0.08691406,0.9580078,0.22753906,-0.40625,0.21875,0.25
46,46,1727218099694,0.08691406,0.96191406,0.23046875,0.03125,-0.0625,0.0
47,47,1727218099734,0.07910156,0.953125,0.25097656,-0.09375,0.28125,0.125
48,48,1727218099774,0.08886719,0.96777344,0.23730469,0.03125,-0.0625,0.3125
49,49,1727218099814,0.0859375,0.96191406,0.24121094,0.03125,0.0,0.125
50,50,1727218099854,0.083984375,0.94921875,0.24414062,0.03125,0.125,0.1875
51,51,1727218099894,0.08203125,0.9589844,0.25585938,-0.03125,0.0625,0.125
52,52,1727218099934,0.08691406,0.9550781,0.23242188,-0.03125,0.125,-0.0625
53,53,1727218099974,0.09472656,0.95996094,0.24609375,0.03125,0.0625,0.0625
54,54,1727218100014,0.09472656,0.9628906,0.24414062,-0.03125,-0.1875,0.0
55,55,1727218100054,0.080078125,0.9589844,0.22949219,-0.09375,0.0,0.0
56,56,1727218100094,0.095703125,0.95703125,0.25195312,0.03125,-0.125,-0.0625
57,57,1727218100134,0.0859375,0.96484375,0.24511719,0.21875,-0.1875,-0.375
58,58,1727218100174,0.083984375,0.953125,0.23925781,-0.03125,-0.125,-0.3125
59,59,1727218100214,0.08691406,0.95996094,0.23242188,-0.03125,-0.25,-0.3125
60,60,1727218100254,0.08203125,0.95703125,0.234375,0.03125,-0.25,-0.1875
61,61,1727218100294,0.0859375,0.9707031,0.23535156,0.15625,-0.25,-0.1875
62,62,1727218100334,0.08984375,0.9638672,0.24316406,0.15625,-0.0625,-0.25
63,63,1727218100374,0.087890625,0.94921875,0.24121094,0.03125,-0.125,-0.25
64,64,1727218100414,0.091796875,0.9482422,0.2421875,0.03125,-0.1875,-0.1875
65,65,1727218100454,0.08203125,0.9580078,0.24023438,0.09375,-0.0625,-0.25
66,66,1727218100494,0.083984375,0.95410156,0.24609375,0.34375,-0.375,-0.3125
67,67,1727218100534,0.09082031,0.9580078,0.24121094,0.15625,-0.0625,-0.3125
68,68,1727218100574,0.08300781,0.9580078,0.24121094,0.40625,-0.0625,-0.1875
69,69,1727218100614,0.08691406,0.96484375,0.22851562,0.625,-0.375,-0.4375
70,70,1727218100654,0.083984375,0.9609375,0.25097656,0.34375,0.0,-0.375
71,71,1727218100694,0.083984375,0.96484375,0.24707031,0.625,-0.3125,-0.25
72,72,1727218100734,0.076171875,0.96484375,0.22949219,0.625,-0.3125,-0.53125
73,73,1727218100774,0.08105469,0.95703125,0.24414062,0.40625,-0.25,-0.46875
74,74,1727218100814,0.08105469,0.9560547,0.24316406,0.5,-0.1875,-0.46875
75,75,1727218100854,0.08203125,0.9501953,0.22949219,0.28125,-0.125,-0.25
76,76,1727218100894,0.087890625,0.9589844,0.22167969,0.21875,-0.125,-0.375
77,77,1727218100934,0.083984375,0.9667969,0.22265625,0.03125,-0.25,-0.375
78,78,1727218100974,0.08105469,0.95703125,0.234375,0.03125,-0.125,-0.3125
79,79,1727218101014,0.09375,0.9511719,0.234375,0.15625,-0.1875,-0.25
80,80,1727218101054,0.08300781,0.95410156,0.22558594,0.09375,-0.25,-0.3125
81,81,1727218101094,0.08691406,0.9609375,0.23046875,0.15625,-0.25,-0.4375
82,82,1727218101134,0.09082031,0.9501953,0.20605469,0.40625,-0.1875,-0.84375
83,83,1727218101174,0.07910156,0.9609375,0.23730469,0.4375,-0.0625,-0.53125
84,84,1727218101214,0.07910156,0.96191406,0.234375,0.21875,0.0625,-0.25
85,85,1727218101254,0.080078125,0.95996094,0.24609375,0.03125,-0.0625,-0.46875
86,86,1727218101294,0.08300781,0.9560547,0.23144531,0.15625,-0.125,-0.3125
87,87,1727218101334,0.08691406,0.9550781,0.24414062,0.28125,-0.25,-0.375
88,88,1727218101374,0.08105469,0.9580078,0.23730469,0.15625,-0.125,-0.59375
89,89,1727218101414,0.08203125,0.95410156,0.23144531,0.15625,-0.25,-0.4375
90,90,1727218101454,0.08105469,0.95703125,0.24609375,0.4375,0.125,-0.25
91,91,1727218101494,0.07910156,0.96777344,0.24511719,0.625,0.0,-0.1875
92,92,1727218101534,0.08496094,0.9589844,0.24121094,0.28125,0.0625,-0.3125
93,93,1727218101574,0.08496094,0.94921875,0.22460938,0.6875,-0.1875,-0.375
94,94,1727218101614,0.076171875,0.9667969,0.2265625,0.4375,-0.1875,-0.71875
95,95,1727218101654,0.08203125,0.95996094,0.234375,0.875,-0.1875,-0.84375
96,96,1727218101694,0.08496094,0.95996094,0.23242188,0.8125,-0.5625,-0.25
97,97,1727218101734,0.07910156,0.95703125,0.22460938,0.8125,-0.125,-0.375
98,98,1727218101774,0.078125,0.96875,0.23144531,0.625,-0.0625,-0.3125
99,99,1727218101814,0.09082031,0.9746094,0.24414062,0.40625,0.0625,-0.125
100,100,1727218101854,0.08203125,0.9550781,0.24023438,0.15625,0.125,-0.1875
101,101,1727218101894,0.080078125,0.9628906,0.22753906,-0.15625,-0.1875,-0.125
102,102,1727218101934,0.08300781,0.9638672,0.24023438,-0.15625,0.0625,-0.1875
103,103,1727218101974,0.07519531,0.9589844,0.22558594,-0.21875,0.125,-0.0625
104,104,1727218102014,0.07714844,0.95410156,0.23046875,-0.15625,-0.125,-0.0625
105,105,1727218102054,0.078125,0.96777344,0.22949219,-0.46875,-0.125,-0.125
106,106,1727218102094,0.07324219,0.9550781,0.23632812,-0.40625,-0.125,0.0
107,107,1727218102134,0.07714844,0.9667969,0.23242188,-0.34375,-0.125,0.0625
108,108,1727218102174,0.0859375,0.9667969,0.24023438,-0.28125,0.0625,0.0
109,109,1727218102214,0.08203125,0.9560547,0.23828125,-0.34375,-0.1875,0.125
110,110,1727218102254,0.08691406,0.96777344,0.22851562,-0.34375,-0.0625,-0.0625
111,111,1727218102294,0.07519531,0.9667969,0.24121094,-0.15625,0.0625,0.125
112,112,1727218102334,0.08203125,0.9628906,0.23046875,-0.21875,0.0,0.125
113,113,1727218102374,0.07324219,0.96191406,0.23535156,-0.03125,0.0,0.0
114,114,1727218102414,0.076171875,0.9589844,0.23925781,0.03125,-0.0625,0.0
115,115,1727218102454,0.07421875,0.9560547,0.23339844,0.21875,-0.0625,-0.125
116,116,1727218102494,0.078125,0.9560547,0.23632812,0.09375,0.0625,-0.3125
117,117,1727218102534,0.0859375,0.9609375,0.234375,0.09375,-0.1875,0.0
118,118,1727218102574,0.091796875,0.95703125,0.21679688,0.15625,0.0,-0.0625
119,119,1727218102614,0.076171875,0.95996094,0.24707031,0.34375,0.0,-0.25
120,120,1727218102654,0.083984375,0.9628906,0.23046875,0.28125,-0.1875,-0.125
121,121,1727218102694,0.07910156,0.9589844,0.23046875,0.15625,-0.125,-0.125
122,122,1727218102734,0.07910156,0.96191406,0.23046875,-0.03125,-0.0625,-0.25
123,123,1727218102774,0.07714844,0.9609375,0.23339844,-0.09375,-0.125,0.0625
124,124,1727218102814,0.07714844,0.95214844,0.22949219,-0.09375,0.0625,0.0625
125,125,1727218102854,0.07128906,0.9609375,0.23339844,-0.09375,0.0,-0.125
126,126,1727218102894,0.08203125,0.9609375,0.23925781,-0.09375,0.0625,-0.1875
127,127,1727218102934,0.083984375,0.95703125,0.234375,0.03125,0.0625,-0.0625
128,128,1727218102974,0.078125,0.9638672,0.24121094,-0.21875,-0.125,0.0
129,129,1727218103014,0.07421875,0.9628906,0.22949219,-0.21875,0.0,-0.0625
130,130,1727218103054,0.07519531,0.9589844,0.23925781,-0.03125,0.0,-0.0625
131,131,1727218103094,0.07519531,0.96777344,0.234375,-0.03125,0.0,0.0
132,132,1727218103134,0.07910156,0.9638672,0.2265625,0.09375,0.0,-0.1875
133,133,1727218103174,0.080078125,0.96191406,0.23925781,-0.09375,-0.1875,-0.0625
134,134,1727218103214,0.080078125,0.9560547,0.234375,-0.03125,0.0625,-0.0625
135,135,1727218103254,0.08105469,0.96191406,0.23046875,-0.03125,0.0625,-0.0625
136,136,1727218103294,0.08300781,0.9609375,0.24609375,-0.03125,0.0,0.0
137,137,1727218103334,0.07519531,0.9667969,0.24609375,-0.03125,-0.0625,0.0
138,138,1727218103374,0.08300781,0.9589844,0.22265625,0.15625,0.0625,0.0625
139,139,1727218103414,0.0859375,0.9589844,0.23242188,0.28125,0.0,0.0625
140,140,1727218103454,0.078125,0.9589844,0.24023438,0.03125,-0.125,0.1875
141,141,1727218103494,0.07714844,0.953125,0.22949219,0.09375,0.0625,0.25
142,142,1727218103534,0.072265625,0.95703125,0.23339844,0.03125,-0.0625,0.375
143,143,1727218103574,0.07714844,0.96875,0.22949219,0.03125,-0.125,0.5
144,144,1727218103614,0.076171875,0.9667969,0.23242188,0.03125,0.0,0.375
145,145,1727218103654,0.087890625,0.96972656,0.23144531,0.21875,-0.1875,0.625
146,146,1727218103694,0.083984375,0.9658203,0.23242188,-0.28125,-0.0625,0.5625
147,147,1727218103734,0.08496094,0.9560547,0.23730469,-0.28125,0.21875,0.625
148,148,1727218103774,0.072265625,0.96484375,0.24023438,-0.21875,-0.0625,0.4375
149,149,1727218103814,0.076171875,0.9638672,0.24414062,-0.40625,0.0,0.4375
150,150,1727218103854,0.07910156,0.9609375,0.24316406,-0.28125,-0.125,0.375
151,151,1727218103894,0.076171875,0.9560547,0.23632812,-0.09375,-0.4375,0.1875
152,152,1727218103934,0.08105469,0.9560547,0.23242188,-0.09375,-0.1875,0.125
153,153,1727218103974,0.078125,0.96191406,0.234375,-0.03125,0.0,0.4375
154,154,1727218104014,0.08496094,0.95214844,0.2265625,-0.09375,0.125,0.5625
155,155,1727218104054,0.07421875,0.9609375,0.2421875,-0.03125,0.125,0.25
156,156,1727218104094,0.083984375,0.9580078,0.24414062,-0.09375,0.0,0.5625
157,157,1727218104134,0.08496094,0.9638672,0.24121094,0.03125,-0.0625,0.3125
158,158,1727218104174,0.08203125,0.9560547,0.23828125,-0.15625,0.0,0.0625
159,159,1727218104214,0.07714844,0.95410156,0.23925781,-0.15625,0.21875,0.3125
160,160,1727218104254,0.07910156,0.96484375,0.22363281,-0.15625,0.0625,0.5
161,161,1727218104294,0.0859375,0.9628906,0.24023438,-0.03125,0.15625,0.1875
162,162,1727218104334,0.080078125,0.9658203,0.24121094,0.03125,0.0625,0.4375
163,163,1727218104374,0.07421875,0.9550781,0.22363281,-0.15625,0.0,0.4375
164,164,1727218104414,0.083984375,0.96777344,0.24609375,0.03125,0.0625,0.25
165,165,1727218104454,0.080078125,0.94628906,0.23046875,-0.03125,0.0625,0.3125
166,166,1727218104494,0.08886719,0.96191406,0.22558594,0.03125,-0.0625,0.125
167,167,1727218104534,0.083984375,0.9550781,0.23828125,-0.34375,0.15625,0.3125
168,168,1727218104574,0.080078125,0.9667969,0.23535156,0.15625,0.15625,0.4375
169,169,1727218104614,0.08691406,0.95996094,0.234375,0.09375,0.0,0.3125
170,170,1727218104654,0.087890625,0.96191406,0.24414062,-0.15625,0.0,0.125
171,171,1727218104694,0.078125,0.9560547,0.24902344,-0.28125,0.0625,0.25
172,172,1727218104734,0.0859375,0.95214844,0.22949219,-0.34375,0.15625,0.1875
173,173,1727218104774,0.08496094,0.96875,0.22363281,-0.21875,0.15625,0.1875
174,174,1727218104814,0.07519531,0.9609375,0.22558594,-0.40625,0.0,0.125
175,175,1727218104854,0.08203125,0.95703125,0.23925781,-0.28125,0.0625,0.125
176,176,1727218104894,0.091796875,0.9560547,0.24804688,-0.03125,-0.125,0.0625
177,177,1727218104934,0.083984375,0.9707031,0.23242188,-0.21875,-0.1875,0.0625
178,178,1727218104974,0.083984375,0.9609375,0.22851562,-0.03125,-0.0625,-0.0625
179,179,1727218105014,0.08105469,0.953125,0.23632812,-0.03125,-0.125,0.0
180,180,1727218105054,0.07714844,0.9628906,0.24121094,0.03125,-0.25,0.0625
181,181,1727218105094,0.08203125,0.9589844,0.23925781,0.03125,0.0,-0.0625
182,182,1727218105134,0.08300781,0.9609375,0.23730469,0.15625,-0.25,-0.0625
183,183,1727218105174,0.087890625,0.9501953,0.24316406,0.21875,0.0,-0.1875
184,184,1727218105214,0.08105469,0.95703125,0.22460938,0.34375,-0.0625,-0.125
185,185,1727218105254,0.091796875,0.96191406,0.24414062,0.28125,-0.125,0.0
186,186,1727218105294,0.08886719,0.9609375,0.23632812,0.28125,-0.1875,-0.25
187,187,1727218105334,0.083984375,0.9550781,0.24023438,0.34375,0.0,-0.3125
188,188,1727218105374,0.0859375,0.95996094,0.22363281,0.40625,-0.0625,-0.1875
189,189,1727218105414,0.07421875,0.96191406,0.24316406,0.4375,-0.3125,-0.3125
190,190,1727218105454,0.07324219,0.9511719,0.2421875,0.09375,-0.125,-0.375
191,191,1727218105494,0.09667969,0.96972656,0.24414062,0.625,-0.25,-0.3125
192,192,1727218105534,0.08496094,0.9580078,0.22460938,0.75,-0.25,-0.4375
193,193,1727218105574,0.083984375,0.96191406,0.24023438,0.40625,-0.25,-0.3125
194,194,1727218105614,0.0859375,0.9638672,0.22949219,0.28125,-0.3125,-0.1875
195,195,1727218105654,0.083984375,0.96484375,0.23144531,0.09375,-0.0625,-0.3125
196,196,1727218105694,0.07714844,0.95703125,0.24023438,0.28125,0.0,-0.1875
197,197,1727218105734,0.08496094,0.96484375,0.23144531,-0.03125,-0.125,-0.25
198,198,1727218105774,0.08300781,0.95703125,0.22851562,0.03125,-0.1875,-0.125
199,199,1727218105814,0.07421875,0.9628906,0.23242188,0.03125,-0.375,-0.375
200,200,1727218105854,0.08300781,0.9638672,0.22460938,-0.03125,-0.125,-0.25
201,201,1727218105894,0.083984375,0.953125,0.23144531,-0.09375,-0.1875,-0.0625
202,202,1727218105934,0.087890625,0.9658203,0.23828125,0.03125,-0.125,-0.25
203,203,1727218105974,0.072265625,0.9628906,0.24121094,0.21875,-0.0625,-0.1875
204,204,1727218106014,0.078125,0.95996094,0.234375,0.03125,-0.0625,-0.25
205,205,1727218106054,0.08496094,0.9638672,0.23339844,0.15625,-0.0625,-0.25
206,206,1727218106094,0.078125,0.9589844,0.23046875,0.15625,-0.0625,0.0
207,207,1727218106134,0.07714844,0.9580078,0.23730469,0.40625,0.0,0.0
208,208,1727218106174,0.08300781,0.9628906,0.24707031,0.28125,-0.0625,-0.25
209,209,1727218106214,0.08984375,0.96484375,0.22949219,0.21875,0.0,0.0
210,210,1727218106254,0.087890625,0.9589844,0.21875,0.15625,-0.125,-0.125
211,211,1727218106294,0.07714844,0.96875,0.23925781,0.21875,0.15625,-0.125
212,212,1727218106334,0.07714844,0.95703125,0.24804688,0.09375,0.0625,0.0625
213,213,1727218106374,0.080078125,0.9736328,0.22949219,0.09375,0.0,0.0
214,214,1727218106414,0.076171875,0.96191406,0.22949219,0.15625,-0.3125,-0.3125
215,215,1727218106454,0.08105469,0.9580078,0.23828125,-0.15625,-0.1875,-0.0625
216,216,1727218106494,0.08105469,0.9580078,0.23632812,0.15625,-0.1875,-0.0625
217,217,1727218106534,0.083984375,0.9580078,0.22265625,0.21875,-0.25,-0.25
218,218,1727218106574,0.08105469,0.9560547,0.22851562,0.03125,-0.125,-0.125
219,219,1727218106614,0.08300781,0.9589844,0.23632812,-0.03125,-0.125,0.0
220,220,1727218106654,0.07519531,0.9609375,0.23730469,-0.03125,-0.125,-0.25
221,221,1727218106694,0.080078125,0.9560547,0.22949219,-0.09375,-0.125,-0.25
222,222,1727218106734,0.078125,0.9667969,0.22753906,-0.09375,-0.0625,-0.0625
223,223,1727218106774,0.08105469,0.9628906,0.22265625,-0.03125,0.0,-0.1875
224,224,1727218106814,0.080078125,0.9589844,0.2265625,-0.09375,-0.1875,0.0
225,225,1727218106854,0.08105469,0.9560547,0.23242188,0.03125,-0.0625,0.0625
226,226,1727218106894,0.06933594,0.9589844,0.23046875,0.03125,-0.25,-0.0625
227,227,1727218106934,0.078125,0.9550781,0.21875,0.09375,-0.1875,-0.0625
228,228,1727218106974,0.07910156,0.9589844,0.22949219,0.03125,-0.0625,0.0
229,229,1727218107014,0.08105469,0.95996094,0.23144531,0.03125,0.0,-0.125
230,230,1727218107054,0.08300781,0.9589844,0.25,-0.21875,0.0,0.0625
231,231,1727218107094,0.078125,0.9589844,0.22265625,-0.40625,-0.125,-0.0625
232,232,1727218107134,0.080078125,0.9609375,0.22949219,-0.21875,-0.0625,0.0625
233,233,1727218107174,0.07519531,0.9580078,0.24316406,-0.21875,0.0625,-0.0625
234,234,1727218107214,0.083984375,0.9580078,0.23632812,-0.15625,-0.1875,0.0625
235,235,1727218107254,0.07910156,0.96191406,0.2265625,-0.09375,-0.1875,0.0625
236,236,1727218107294,0.08300781,0.9667969,0.23339844,0.15625,-0.125,0.0
237,237,1727218107334,0.07324219,0.9550781,0.23242188,0.03125,-0.125,-0.0625
238,238,1727218107374,0.078125,0.96484375,0.23242188,0.09375,-0.0625,0.125
239,239,1727218107414,0.080078125,0.97265625,0.22753906,0.09375,-0.0625,0.1875
240,240,1727218107454,0.08496094,0.95214844,0.2421875,0.34375,0.0625,0.125
241,241,1727218107494,0.078125,0.9609375,0.23535156,0.15625,0.15625,0.1875
242,242,1727218107534,0.08300781,0.9501953,0.23339844,0.28125,-0.0625,0.25
