,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0,1727973959140,-0.0107421875,-0.92285156,-0.4267578,0.125,-0.03125,-0.09375
1,1,1727973959180,-0.017578125,-0.9199219,-0.4345703,0.1875,-0.03125,0.15625
2,2,1727973959220,-0.018554688,-0.9248047,-0.41796875,-0.09375,-0.09375,-0.03125
3,3,1727973959260,-0.0234375,-0.9199219,-0.43652344,-0.34375,-0.03125,-0.15625
4,4,1727973959300,-0.016601562,-0.92578125,-0.44335938,-0.21875,-0.09375,-0.09375
5,5,1727973959340,-0.009765625,-0.9199219,-0.4326172,-0.15625,-0.15625,-0.03125
6,6,1727973959380,-0.015625,-0.91796875,-0.43652344,0.0625,0.03125,-0.15625
7,7,1727973959420,-0.01953125,-0.9238281,-0.42089844,-0.21875,-0.09375,-0.09375
8,8,1727973959460,-0.0107421875,-0.9345703,-0.43164062,0.03125,0.03125,-0.09375
9,9,1727973959500,-0.018554688,-0.91796875,-0.4267578,0.4375,0.03125,-0.03125
10,10,1727973959540,-0.0146484375,-0.9267578,-0.4140625,0.125,-0.09375,0.09375
11,11,1727973959580,-0.015625,-0.9199219,-0.4345703,0.0625,0.03125,0.03125
12,12,1727973959620,-0.026367188,-0.9248047,-0.4267578,0.125,0.03125,0.03125
13,13,1727973959660,-0.01953125,-0.93066406,-0.4189453,-0.78125,0.09375,-0.15625
14,14,1727973959700,-0.0146484375,-0.9199219,-0.4248047,-0.84375,-0.09375,-0.15625
15,15,1727973959740,-0.017578125,-0.9189453,-0.43066406,-1.4375,-0.09375,-0.21875
16,16,1727973959780,-0.021484375,-0.9248047,-0.43359375,-0.71875,-0.15625,-0.03125
17,17,1727973959820,-0.018554688,-0.92285156,-0.43945312,-0.03125,0.03125,0.03125
18,18,1727973959860,-0.02734375,-0.92285156,-0.43652344,-0.46875,-0.09375,-0.09375
19,19,1727973959900,-0.013671875,-0.9238281,-0.44433594,-0.09375,-0.09375,0.03125
20,20,1727973959940,-0.020507812,-0.92285156,-0.43652344,-0.03125,-0.09375,-0.15625
21,21,1727973959980,-0.013671875,-0.9248047,-0.43652344,-0.21875,-0.15625,0.03125
22,22,1727973960020,-0.018554688,-0.92871094,-0.4248047,0.25,-0.09375,0.15625
23,23,1727973960060,-0.0146484375,-0.92578125,-0.4169922,-0.46875,-0.21875,-0.15625
24,24,1727973960100,-0.015625,-0.92578125,-0.43359375,-0.90625,-0.15625,-0.15625
25,25,1727973960140,-0.013671875,-0.92089844,-0.42773438,-0.15625,-0.21875,-0.09375
26,26,1727973960180,-0.016601562,-0.9248047,-0.4326172,-0.09375,-0.03125,-0.15625
27,27,1727973960220,-0.015625,-0.92089844,-0.43847656,-0.15625,-0.03125,-0.09375
28,28,1727973960260,-0.020507812,-0.921875,-0.43164062,0.4375,0.03125,0.15625
29,29,1727973960300,-0.013671875,-0.92089844,-0.41308594,0.625,-0.15625,0.03125
30,30,1727973960340,-0.0146484375,-0.9199219,-0.43164062,0.375,-0.03125,-0.09375
31,31,1727973960380,-0.0146484375,-0.9248047,-0.44140625,0.1875,-0.15625,0.03125
32,32,1727973960420,-0.015625,-0.92089844,-0.4267578,0.03125,-0.09375,0.09375
33,33,1727973960460,-0.0146484375,-0.92285156,-0.4423828,-0.71875,-0.15625,-0.21875
34,34,1727973960500,-0.018554688,-0.9248047,-0.44726562,-1.15625,-0.09375,-0.34375
35,35,1727973960540,-0.009765625,-0.92871094,-0.43847656,-1.3125,-0.15625,-0.15625
36,36,1727973960580,-0.0107421875,-0.92871094,-0.44335938,-0.65625,-0.03125,-0.09375
37,37,1727973960620,-0.013671875,-0.9199219,-0.4326172,-0.59375,-0.09375,-0.15625
38,38,1727973960660,-0.016601562,-0.92578125,-0.44628906,0.375,-0.03125,0.15625
39,39,1727973960700,-0.018554688,-0.9160156,-0.42773438,0.1875,0.15625,-0.03125
40,40,1727973960740,-0.016601562,-0.9160156,-0.43164062,-0.46875,-0.09375,-0.15625
41,41,1727973960780,-0.013671875,-0.9199219,-0.4423828,0.03125,0.03125,-0.03125
42,42,1727973960820,-0.026367188,-0.9248047,-0.43164062,0.1875,-0.09375,0.03125
43,43,1727973960860,-0.022460938,-0.9238281,-0.41992188,-0.09375,-0.03125,0.15625
44,44,1727973960900,-0.017578125,-0.9199219,-0.4345703,0.0625,-0.03125,-0.03125
45,45,1727973960940,-0.016601562,-0.92285156,-0.43847656,0.8125,0.09375,-0.03125
46,46,1727973960980,-0.016601562,-0.9238281,-0.42871094,0.5,0.03125,-0.15625
47,47,1727973961020,-0.0234375,-0.9267578,-0.42871094,0.375,0.03125,-0.03125
48,48,1727973961060,-0.016601562,-0.9199219,-0.42871094,-0.09375,-0.03125,-0.09375
49,49,1727973961100,-0.022460938,-0.9277344,-0.42382812,0.03125,0.03125,0.15625
50,50,1727973961140,-0.017578125,-0.9296875,-0.43066406,0.03125,-0.09375,0.09375
51,51,1727973961180,-0.013671875,-0.92578125,-0.42285156,-0.84375,-0.03125,-0.15625
52,52,1727973961220,-0.0146484375,-0.9267578,-0.4345703,-1.21875,-0.15625,-0.28125
53,53,1727973961260,-0.016601562,-0.92285156,-0.45117188,-0.84375,-0.03125,-0.15625
54,54,1727973961300,-0.0126953125,-0.9160156,-0.43652344,-0.78125,-0.15625,-0.21875
55,55,1727973961340,-0.009765625,-0.92285156,-0.43652344,-0.71875,-0.15625,0.03125
