,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0,1727299462989,-0.9902344,-0.21875,0.001953125,-0.84375,0.21875,-0.5
1,1,1727299463029,-0.98828125,-0.20117188,0.0146484375,7.65625,2.375,-1.0
2,2,1727299463069,-0.98828125,-0.18945312,0.038085938,7.21875,0.21875,0.15625
3,3,1727299463109,-0.9892578,-0.20214844,0.021484375,-4.875,-2.28125,0.0
4,4,1727299463149,-0.99316406,-0.18847656,-0.0029296875,-3.28125,-2.875,-0.5625
5,5,1727299463189,-0.984375,-0.19238281,-0.0087890625,1.65625,-0.6875,0.0625
6,6,1727299463229,-0.9902344,-0.20214844,0.0068359375,2.53125,0.21875,0.125
7,7,1727299463269,-0.9765625,-0.18945312,-0.0068359375,7.84375,-0.3125,0.40625
8,8,1727299463309,-0.9628906,-0.16894531,0.00390625,4.84375,-3.25,1.9375
9,9,1727299463349,-0.9550781,-0.17285156,0.0029296875,8.5625,-6.25,3.65625
10,10,1727299463389,-0.9785156,-0.11328125,-0.0087890625,4.71875,-10.4375,6.03125
11,11,1727299463429,-0.94921875,-0.10546875,-0.00390625,12.09375,-14.65625,11.21875
12,12,1727299463469,-0.9794922,-0.16992188,0.01171875,15.75,-15.59375,13.96875
13,13,1727299463509,-0.91503906,-0.15917969,0.08300781,27.25,-34.25,14.5
14,14,1727299463549,-0.9716797,-0.109375,0.2109375,27.375,-68.0,17.3125
15,15,1727299463589,-0.85253906,-0.041015625,0.12109375,21.0,-53.65625,20.6875
16,16,1727299463629,-0.73828125,-0.03125,0.0009765625,24.90625,-37.4375,27.34375
17,17,1727299463669,-0.7890625,-0.0048828125,0.029296875,72.46875,-36.8125,35.4375
18,18,1727299463709,-0.9482422,-0.07714844,0.2734375,78.5625,-61.40625,30.875
19,19,1727299463749,-0.7910156,-0.1953125,0.32421875,-58.6875,-113.25,25.5625
20,20,1727299463789,-1.0380859,-0.12695312,0.45410156,-31.21875,-90.03125,12.3125
21,21,1727299463829,-0.8925781,0.060546875,0.51171875,-71.15625,-130.25,32.65625
22,22,1727299463869,-0.8701172,0.14550781,0.625,-46.125,-121.15625,41.84375
23,23,1727299463909,-0.8027344,0.06738281,0.4638672,-10.0,-72.15625,55.90625
24,24,1727299463949,-0.8535156,-0.051757812,0.64453125,-51.0625,-104.1875,44.78125
25,25,1727299463989,-0.71972656,-0.1640625,0.74902344,-18.71875,-78.125,21.09375
26,26,1727299464029,-0.67578125,-0.040039062,0.6357422,1.46875,-77.40625,10.65625
27,27,1727299464069,-0.6533203,0.0703125,0.70214844,-33.75,-74.21875,8.96875
28,28,1727299464109,-0.6777344,-0.13671875,0.703125,14.78125,-83.6875,-7.65625
29,29,1727299464149,-0.67089844,-0.026367188,0.84472656,8.375,-95.65625,-9.34375
30,30,1727299464189,-0.61328125,0.034179688,0.921875,-14.3125,-83.9375,-27.53125
31,31,1727299464229,-0.68359375,0.08886719,0.7763672,1.0625,-95.15625,-14.0
32,32,1727299464269,-0.5126953,0.07128906,1.0302734,-5.15625,-78.6875,-7.75
33,33,1727299464309,-0.27441406,0.040039062,1.0068359,5.4375,-69.90625,-16.1875
34,34,1727299464349,-0.2607422,0.013671875,0.95410156,-15.84375,-53.90625,-19.0
35,35,1727299464389,-0.0087890625,0.056640625,1.0732422,1.53125,-79.0,-2.9375
36,36,1727299464429,-0.037109375,-0.01953125,1.0097656,-34.34375,-63.375,15.625
37,37,1727299464469,-0.2841797,-0.234375,1.0830078,-18.0625,-43.65625,18.96875
38,38,1727299464509,-0.037109375,-0.14160156,1.1455078,-10.90625,-52.03125,9.21875
39,39,1727299464549,-0.043945312,-0.11230469,1.1386719,-26.53125,-26.5,7.96875
40,40,1727299464589,-0.140625,-0.095703125,1.1992188,-10.46875,-14.3125,7.3125
41,41,1727299464629,-0.16503906,-0.14941406,1.1621094,-6.03125,-5.75,-0.6875
42,42,1727299464669,-0.14160156,-0.17089844,1.0439453,1.59375,-7.875,-3.625
43,43,1727299464709,-0.11425781,-0.13085938,0.9433594,-4.875,-2.625,-5.25
44,44,1727299464749,-0.08203125,-0.11816406,0.9267578,-7.4375,1.9375,-6.3125
45,45,1727299464789,-0.10839844,-0.09667969,0.9814453,-3.78125,5.0,-3.96875
46,46,1727299464829,-0.13183594,-0.06542969,1.0371094,-3.84375,4.875,-2.5
47,47,1727299464869,-0.16015625,-0.07421875,1.0576172,-0.53125,-1.71875,-0.3125
48,48,1727299464909,-0.15039062,-0.095703125,1.0292969,0.875,-6.1875,0.0625
49,49,1727299464949,-0.12695312,-0.09375,0.9951172,-0.03125,-4.90625,2.375
50,50,1727299464989,-0.095703125,-0.09375,0.9892578,1.125,-5.6875,3.28125
51,51,1727299465029,-0.09277344,-0.0859375,0.98046875,3.25,-5.75,5.53125
52,52,1727299465069,-0.072265625,-0.09667969,0.99609375,3.0,-3.4375,5.90625
53,53,1727299465109,-0.087890625,-0.123046875,0.9941406,1.53125,-1.3125,4.9375
54,54,1727299465149,-0.06738281,-0.14453125,0.9746094,-0.28125,-0.3125,2.78125
55,55,1727299465189,-0.0546875,-0.15820312,0.9921875,6.5,1.8125,3.59375
56,56,1727299465229,-0.099609375,-0.099609375,1.0205078,1.125,6.28125,2.125
57,57,1727299465269,-0.17285156,-0.07128906,1.0527344,-1.375,4.0625,-0.4375
58,58,1727299465309,-0.12890625,-0.09765625,0.9794922,-3.21875,7.375,-5.4375
59,59,1727299465349,-0.119140625,-0.123046875,0.9785156,2.40625,7.5625,-4.03125
60,60,1727299465389,-0.12109375,-0.12402344,1.0556641,4.34375,5.71875,-5.75
61,61,1727299465429,-0.1640625,-0.09082031,1.0644531,7.28125,12.9375,-7.875
62,62,1727299465469,-0.09765625,-0.05859375,0.98535156,1.71875,16.78125,-12.53125
63,63,1727299465509,-0.068359375,-0.11035156,1.0869141,2.40625,22.6875,-14.46875
64,64,1727299465549,-0.13867188,-0.2109375,1.0527344,17.15625,36.84375,-18.4375
65,65,1727299465589,-0.14355469,-0.08886719,1.0605469,4.53125,35.15625,-23.75
66,66,1727299465629,-0.16308594,-0.11328125,1.1777344,27.46875,31.71875,-13.625
67,67,1727299465669,-0.26464844,-0.15625,1.1162109,27.53125,28.65625,-24.71875
68,68,1727299465709,-0.23535156,-0.041992188,1.0546875,14.59375,38.875,-16.25
69,69,1727299465749,-0.32617188,0.0078125,1.0263672,13.09375,43.625,-0.875
70,70,1727299465789,-0.30273438,0.038085938,1.0068359,-4.4375,43.75,4.625
71,71,1727299465829,-0.40039062,-0.041015625,1.0351562,-15.3125,61.5625,10.65625
72,72,1727299465869,-0.41308594,-0.038085938,1.0390625,-12.8125,70.0,23.90625
73,73,1727299465909,-0.5175781,-0.044921875,0.9716797,-19.5625,77.9375,23.78125
74,74,1727299465949,-0.58984375,-0.091796875,0.9423828,-24.75,82.5625,18.40625
75,75,1727299465989,-0.65625,-0.05859375,0.90234375,-18.53125,93.375,23.5625
76,76,1727299466029,-0.6484375,-0.056640625,0.8017578,-3.21875,96.84375,7.25
77,77,1727299466069,-0.7060547,-0.08203125,0.73339844,-3.59375,103.4375,9.625
78,78,1727299466109,-0.71972656,-0.064453125,0.65722656,-6.5625,112.28125,7.75
79,79,1727299466149,-0.76660156,-0.14453125,0.6298828,16.1875,104.78125,7.1875
80,80,1727299466189,-0.7080078,-0.103515625,0.5878906,37.0625,105.8125,16.59375
81,81,1727299466229,-1.1113281,0.12695312,0.70410156,55.25,102.875,-4.21875
82,82,1727299466269,-1.1152344,-0.07421875,0.62109375,43.21875,166.78125,-77.78125
83,83,1727299466309,-0.7714844,-0.20996094,0.27441406,92.0625,147.8125,-81.625
84,84,1727299466349,-0.625,-0.14257812,0.1171875,-15.71875,156.125,-35.21875
85,85,1727299466389,-0.70703125,-0.18652344,0.09765625,-163.5625,16.78125,-31.25
86,86,1727299466429,-0.45507812,-0.00390625,0.09082031,-19.21875,53.375,-39.25
87,87,1727299466469,-0.6542969,-0.15136719,0.02734375,13.09375,36.59375,-31.5
88,88,1727299466509,-0.74609375,-0.21679688,-0.0390625,-16.34375,3.34375,-22.15625
89,89,1727299466549,-0.9873047,-0.0625,-0.10546875,-18.65625,21.59375,-16.6875
90,90,1727299466589,-1.2763672,-0.08105469,-0.0546875,-19.625,13.46875,-4.53125
91,91,1727299466629,-1.0253906,-0.2529297,0.029296875,70.6875,-3.1875,2.3125
92,92,1727299466669,-0.8613281,-0.43847656,0.06933594,52.25,1.625,-1.53125
93,93,1727299466709,-0.98828125,-0.42773438,0.06347656,5.5625,14.21875,0.96875
94,94,1727299466749,-0.99121094,-0.2109375,0.04296875,-5.84375,20.5625,1.09375
95,95,1727299466789,-0.9609375,-0.19824219,0.038085938,8.75,7.625,3.03125
96,96,1727299466829,-0.9589844,-0.1875,0.078125,-29.46875,-9.21875,9.875
97,97,1727299466869,-0.98828125,-0.24121094,0.06640625,-64.0625,-16.625,17.875
98,98,1727299466909,-0.98339844,-0.25,0.03515625,-59.0625,-28.21875,26.71875
99,99,1727299466949,-0.89160156,-0.21191406,0.0048828125,-72.0,-39.1875,26.0
100,100,1727299466989,-0.98339844,-0.34277344,0.037109375,-33.78125,-36.46875,24.875
101,101,1727299467029,-1.0371094,-0.26660156,0.00390625,-42.34375,-35.78125,10.4375
102,102,1727299467069,-1.0771484,-0.078125,0.25976562,4.09375,-28.75,5.59375
103,103,1727299467109,-0.9658203,-0.09375,0.28515625,32.1875,-45.25,15.375
104,104,1727299467149,-0.9638672,-0.055664062,0.15820312,-99.34375,-31.03125,13.34375
105,105,1727299467189,-1.0224609,-0.032226562,0.10546875,-57.21875,-33.21875,16.34375
106,106,1727299467229,-0.9404297,-0.109375,0.13476562,-35.25,-28.6875,19.15625
107,107,1727299467269,-0.9091797,-0.2939453,0.2109375,-20.0,-27.59375,17.75
108,108,1727299467309,-0.7832031,-0.36816406,0.17285156,-49.125,-11.1875,8.84375
109,109,1727299467349,-0.68652344,-0.23730469,0.15820312,-11.09375,-9.84375,0.65625
110,110,1727299467389,-0.7128906,-0.15917969,0.11816406,-10.90625,5.96875,-11.78125
111,111,1727299467429,-0.8691406,-0.3515625,0.16894531,-18.46875,-8.1875,-23.5625
112,112,1727299467469,-0.9375,-0.40625,0.18164062,-29.71875,-1.1875,-31.8125
113,113,1727299467509,-0.9794922,0.0107421875,0.3515625,-4.6875,-29.75,-17.40625
114,114,1727299467549,-1.0058594,-0.16503906,0.111328125,-116.5625,-30.96875,-11.375
115,115,1727299467589,-0.87890625,-0.028320312,0.31347656,-50.53125,-69.28125,24.65625
116,116,1727299467629,-0.7392578,-0.27929688,0.5878906,87.3125,-136.3125,49.5625
117,117,1727299467669,-0.68066406,-0.15625,0.026367188,-76.09375,-31.625,59.75
118,118,1727299467709,-0.8828125,-0.047851562,0.24804688,26.5,-102.875,65.1875
119,119,1727299467749,-0.95410156,-0.20703125,0.5214844,48.59375,-169.8125,67.25
120,120,1727299467789,-0.90527344,-0.125,0.6748047,70.34375,-117.6875,114.90625
121,121,1727299467829,-0.9277344,-0.07324219,0.7861328,66.125,-117.6875,67.125
122,122,1727299467869,-0.9091797,0.10449219,0.85839844,18.6875,-55.25,50.59375
123,123,1727299467909,-0.81933594,0.35546875,0.87402344,30.59375,-50.3125,48.75
124,124,1727299467949,-0.80371094,0.39453125,0.6542969,18.75,-61.65625,83.0625
125,125,1727299467989,-0.4814453,0.19335938,0.8466797,68.8125,-73.75,98.75
126,126,1727299468029,-0.23242188,0.2607422,0.96875,71.0625,-85.59375,93.0
127,127,1727299468069,-0.19335938,0.2109375,0.8691406,100.71875,-83.15625,107.03125
128,128,1727299468109,-0.2919922,0.5283203,0.5263672,74.0625,-28.65625,59.5625
129,129,1727299468149,-0.19140625,1.1210938,0.6816406,113.53125,-43.84375,57.84375
130,130,1727299468189,-0.35839844,1.3095703,0.69433594,177.8125,2.3125,58.34375
131,131,1727299468229,-0.5566406,1.3398438,0.7138672,173.40625,26.53125,37.90625
132,132,1727299468269,-0.4482422,1.2597656,0.8857422,170.5625,57.65625,30.375
133,133,1727299468309,-0.43359375,1.3212891,0.83984375,50.84375,23.71875,33.1875
134,134,1727299468349,-0.3720703,0.65527344,0.71191406,62.21875,11.65625,2.90625
135,135,1727299468389,-0.36523438,0.63378906,0.4248047,8.25,44.53125,-33.40625
136,136,1727299468429,-0.07714844,0.5439453,0.41796875,57.625,14.03125,12.125
137,137,1727299468469,0.053710938,0.4736328,0.27148438,46.71875,12.0,8.34375
138,138,1727299468509,-0.047851562,0.6621094,0.2265625,26.75,21.84375,38.5625
139,139,1727299468549,-0.11425781,0.5214844,0.28125,40.0625,17.4375,59.75
140,140,1727299468589,-0.4091797,0.5810547,0.24707031,-22.375,25.0,43.125
141,141,1727299468629,-0.36328125,0.8388672,0.09082031,-46.8125,9.3125,30.75
142,142,1727299468669,-0.3251953,0.96875,0.080078125,-5.34375,8.90625,170.9375
143,143,1727299468709,0.43847656,1.8085938,0.25976562,80.21875,78.78125,353.375
144,144,1727299468749,0.7636719,1.4501953,0.38867188,80.53125,-29.8125,12.4375
145,145,1727299468789,-0.0048828125,1.0458984,0.45117188,16.5625,-53.90625,11.34375
146,146,1727299468829,0.0703125,0.8222656,0.2607422,30.03125,-23.625,17.875
147,147,1727299468869,0.18261719,0.76464844,0.15039062,40.25,-43.09375,5.0
148,148,1727299468909,0.125,0.6513672,0.0703125,61.78125,-57.5,-3.1875
149,149,1727299468949,0.14453125,0.68652344,0.07910156,48.25,-32.84375,-25.90625
150,150,1727299468989,0.17773438,0.9394531,0.07519531,48.125,-26.03125,-43.90625
151,151,1727299469029,0.28320312,1.0087891,0.0546875,50.5625,-30.46875,-45.0625
152,152,1727299469069,0.123046875,1.0576172,-0.057617188,50.75,-30.59375,-45.3125
153,153,1727299469109,0.1484375,0.98339844,-0.34960938,-18.0625,-11.84375,-24.71875
154,154,1727299469149,-0.068359375,0.8515625,-0.29101562,-25.625,23.1875,-41.5625
155,155,1727299469189,-0.15234375,1.015625,-0.3017578,-11.21875,18.84375,-34.25
156,156,1727299469229,-0.049804688,1.2099609,-0.14453125,1.78125,18.0625,-27.65625
157,157,1727299469269,-0.21289062,1.171875,-0.24902344,17.71875,-21.5,-9.78125
158,158,1727299469309,-0.103515625,0.9765625,-0.25097656,-1.75,10.40625,-6.90625
159,159,1727299469349,-0.21289062,0.9160156,0.033203125,19.71875,-0.4375,-8.25
160,160,1727299469389,-0.11425781,1.0263672,-0.140625,39.375,-27.0625,-1.40625
161,161,1727299469429,-0.12109375,0.984375,-0.07714844,24.375,-6.96875,4.1875
162,162,1727299469469,-0.06347656,0.94921875,-0.055664062,16.8125,-11.1875,2.5625
163,163,1727299469509,-0.056640625,1.0039062,-0.08300781,10.5625,-3.75,4.5
164,164,1727299469549,-0.0546875,1.0068359,-0.10839844,2.59375,-3.90625,6.28125
165,165,1727299469589,-0.059570312,0.97265625,-0.14941406,1.0,-4.96875,5.53125
166,166,1727299469629,-0.0625,0.94628906,-0.22265625,-0.28125,-2.03125,1.09375
167,167,1727299469669,-0.06640625,0.98535156,-0.18945312,18.5625,-4.40625,-3.5625
168,168,1727299469709,-0.053710938,1.0146484,-0.14453125,21.25,-12.21875,-3.5
169,169,1727299469749,-0.03515625,0.94433594,-0.16210938,26.5,-11.3125,-3.75
170,170,1727299469789,-0.056640625,0.9550781,-0.17382812,14.59375,-1.65625,-12.53125
171,171,1727299469829,-0.038085938,1.0107422,-0.22558594,11.625,-0.0625,-13.0625
172,172,1727299469869,-0.072265625,0.984375,-0.19335938,17.65625,-0.75,-8.0
173,173,1727299469909,-0.14648438,1.0087891,-0.19726562,0.25,12.5625,-9.46875
