,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0,1729186540928,-0.6699219,-0.018554688,-0.17089844,117.34375,-65.25,-36.8125
1,1,1729186540968,-0.6826172,0.3466797,-0.3203125,164.90625,-48.96875,-31.03125
2,2,1729186541008,-0.3984375,0.5488281,0.0625,71.21875,-4.96875,-14.96875
3,3,1729186541048,-0.6982422,0.09863281,0.3466797,-13.1875,22.125,-13.125
4,4,1729186541088,-0.9902344,0.22167969,0.6982422,-16.5625,45.46875,-32.0625
5,5,1729186541128,-1.5068359,-0.22851562,1.2412109,7.75,-5.375,-25.21875
6,6,1729186541168,-0.7783203,0.21679688,0.49121094,3.65625,1.625,3.46875
7,7,1729186541208,-1.2128906,0.29589844,0.22753906,41.125,4.375,4.5625
8,8,1729186541248,-1.2949219,1.1054688,-0.25,-110.375,37.03125,14.6875
9,9,1729186541288,-0.5527344,0.32128906,-0.06738281,17.625,53.6875,17.9375
10,10,1729186541328,-0.95703125,-0.20214844,-0.7246094,-152.71875,161.84375,10.1875
11,11,1729186541368,-1.453125,-0.77734375,-0.37597656,-22.28125,97.21875,-1.53125
12,12,1729186541408,-0.95703125,0.15136719,-0.21386719,75.71875,11.75,-19.65625
13,13,1729186541448,-0.8232422,0.4267578,0.049804688,21.34375,57.96875,-20.28125
14,14,1729186541488,-0.84375,0.13964844,0.052734375,-107.0,60.34375,-24.125
15,15,1729186541528,-0.9980469,-0.26757812,-0.115234375,-47.9375,16.09375,-12.96875
16,16,1729186541568,-0.8876953,-0.037109375,-0.07519531,-29.9375,61.6875,-25.46875
17,17,1729186541608,-0.9501953,0.052734375,-0.123046875,-39.9375,55.34375,1.3125
18,18,1729186541648,-1.0,0.1171875,-0.111328125,13.96875,67.0,17.4375
19,19,1729186541688,-1.1083984,-0.0009765625,0.25195312,36.25,48.5,28.71875
20,20,1729186541728,-1.2011719,-0.025390625,0.026367188,-98.46875,14.09375,-3.625
21,21,1729186541768,-1.1054688,0.23828125,0.3544922,-53.78125,3.15625,4.125
22,22,1729186541808,-1.1494141,-0.078125,0.072265625,-51.53125,-45.125,30.5625
23,23,1729186541848,-1.1884766,0.13378906,0.09472656,10.375,-85.71875,50.03125
24,24,1729186541888,-1.4560547,-0.5341797,-0.09765625,30.8125,-173.21875,36.71875
