,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0,1727290554719,-0.7421875,-0.5576172,-0.24023438,-127.21875,-94.28125,-5.65625
1,1,1727290554759,-2.0,-1.8496094,-0.7480469,124.625,170.78125,-22.0625
2,2,1727290554799,-0.97558594,-0.3701172,-0.46777344,-226.15625,-49.5625,61.0625
3,3,1727290554839,-1.1103516,-1.2460938,-1.3359375,102.15625,-87.03125,103.09375
4,4,1727290554879,-1.0693359,-1.1210938,-1.1083984,-6.21875,224.4375,144.78125
5,5,1727290554919,-1.0820312,-1.2900391,-0.39257812,-127.6875,132.03125,118.59375
6,6,1727290554959,-0.49316406,-1.3388672,0.3798828,42.40625,-33.0,65.4375
7,7,1727290554999,-0.2626953,-0.8691406,0.50390625,-4.78125,41.4375,29.875
8,8,1727290555039,0.111328125,-0.4580078,0.25195312,10.3125,-106.0625,-48.1875
9,9,1727290555079,0.55078125,-0.10644531,0.1796875,25.6875,-53.8125,-41.5625
10,10,1727290555119,-0.42285156,-0.39746094,0.09472656,91.84375,-147.03125,-161.40625
11,11,1727290555159,-0.6621094,-1.1962891,-0.1796875,232.53125,-51.1875,-172.03125
12,12,1727290555199,-2.0,-2.0,-0.6855469,66.09375,-270.5625,-269.5
13,13,1727290555239,-1.3320312,-0.51464844,0.23632812,-106.9375,-147.40625,-138.21875
14,14,1727290555279,-0.4892578,-1.2373047,-0.46191406,-40.78125,32.0,-48.625
15,15,1727290555319,-0.5234375,-0.70410156,-0.11816406,-32.59375,67.15625,57.4375
16,16,1727290555359,-0.24707031,-0.2578125,-0.095703125,-55.0,108.15625,94.5625
17,17,1727290555399,0.26660156,0.04296875,-0.21289062,-21.3125,79.0625,114.6875
18,18,1727290555439,0.3310547,0.27539062,-0.072265625,142.8125,40.65625,83.15625
19,19,1727290555479,-0.061523438,0.030273438,0.016601562,89.40625,-8.90625,-36.71875
20,20,1727290555519,-0.63671875,0.03515625,-0.36523438,-225.28125,141.78125,-29.875
21,21,1727290555559,-2.0,-1.9150391,-1.0224609,60.96875,0.0,45.5625
22,22,1727290555599,-1.0693359,-0.71972656,-0.6826172,-163.28125,-1.5625,93.40625
23,23,1727290555639,-0.9902344,-1.9169922,-1.2636719,391.34375,140.21875,202.90625
24,24,1727290555679,-1.0839844,-1.953125,-0.45507812,-235.0,290.78125,134.21875
25,25,1727290555719,-0.5800781,-1.5498047,1.3125,-145.40625,-211.1875,81.6875
26,26,1727290555759,-0.4482422,-0.9951172,0.39160156,33.875,54.21875,-19.46875
27,27,1727290555799,0.111328125,-0.11035156,0.026367188,45.40625,14.21875,-21.96875
28,28,1727290555839,0.47460938,-0.24707031,0.15234375,24.96875,-89.59375,3.0
29,29,1727290555879,-0.34765625,-0.4794922,0.2421875,70.1875,-160.4375,-165.875
30,30,1727290555919,-0.68066406,-1.140625,-0.022460938,132.9375,-83.84375,-203.28125
31,31,1727290555959,-2.0,-2.0,-1.0664062,58.9375,-210.375,-344.40625
32,32,1727290555999,-1.3291016,-0.47753906,0.44726562,-103.53125,-52.1875,-148.46875
33,33,1727290556039,-0.33007812,-1.2109375,-0.49804688,-38.03125,21.75,-63.15625
34,34,1727290556079,-0.703125,-0.48828125,-0.13867188,-17.9375,57.0625,69.59375
35,35,1727290556119,-0.19726562,-0.13085938,-0.020507812,-62.3125,96.625,92.59375
36,36,1727290556159,0.15234375,-0.13769531,-0.12402344,-16.5,57.25,124.71875
37,37,1727290556199,0.51953125,-0.13183594,-0.08203125,110.15625,10.09375,58.0625
38,38,1727290556239,-0.0234375,-0.059570312,-0.2607422,0.78125,104.5,-1.4375
39,39,1727290556279,-0.6640625,0.123046875,-0.2548828,-105.46875,76.3125,25.28125
40,40,1727290556319,-2.0,-1.8623047,-0.8671875,98.625,108.84375,17.46875
41,41,1727290556359,-1.0927734,-0.46875,-0.58496094,-229.4375,-32.34375,100.3125
42,42,1727290556399,-0.74121094,-1.3955078,-1.4257812,209.59375,84.78125,158.40625
43,43,1727290556439,-1.0029297,-2.0,-0.7314453,-62.03125,261.65625,136.0
44,44,1727290556479,-1.6503906,-1.0224609,2.0,-519.84375,-328.53125,96.40625
45,45,1727290556519,-0.609375,-1.1767578,-0.07421875,90.875,126.40625,20.40625
46,46,1727290556559,0.21582031,-0.40429688,0.5019531,-56.46875,-52.71875,2.8125
47,47,1727290556599,0.62890625,-0.35253906,0.056640625,38.5625,-6.40625,-19.34375
48,48,1727290556639,-0.18164062,-0.23828125,0.24804688,109.25,-77.9375,-102.78125
49,49,1727290556679,-0.46289062,-0.50878906,-0.12011719,114.375,-101.1875,-154.9375
50,50,1727290556719,-1.4638672,-1.9072266,-0.20605469,177.78125,-160.5625,-212.4375
51,51,1727290556759,-2.0,-2.0,-0.9511719,-40.59375,-258.34375,-130.46875
52,52,1727290556799,-0.80566406,-0.7158203,0.11816406,-57.6875,-23.84375,-152.6875
53,53,1727290556839,-0.4248047,-0.88671875,-0.49316406,-79.84375,-1.75,-41.0
54,54,1727290556879,-0.31445312,-0.28125,-0.13476562,-108.15625,37.78125,53.71875
55,55,1727290556919,-0.056640625,0.17480469,-0.048828125,-29.5625,45.65625,109.15625
56,56,1727290556959,0.23828125,0.27246094,0.36328125,160.46875,37.3125,153.46875
57,57,1727290556999,0.030273438,-0.3984375,-0.44433594,170.28125,108.96875,2.75
58,58,1727290557039,-0.28808594,0.060546875,-0.34960938,-124.28125,95.65625,-25.125
59,59,1727290557079,-2.0,-1.0048828,-0.4404297,-116.9375,-62.4375,-7.78125
60,60,1727290557119,-1.9726562,-0.7871094,-0.6064453,-161.625,-65.96875,121.40625
61,61,1727290557159,-0.70410156,-0.83496094,-0.8955078,74.28125,108.59375,133.0625
62,62,1727290557199,-0.97753906,-2.0,-0.8574219,137.8125,164.8125,143.6875
63,63,1727290557239,-1.1826172,-1.2304688,0.47265625,-449.59375,-104.0,103.09375
64,64,1727290557279,-0.5625,-1.1972656,0.46484375,88.4375,68.5625,29.8125
65,65,1727290557319,-0.2529297,-0.6142578,0.30078125,-71.59375,-22.75,9.34375
66,66,1727290557359,0.41308594,-0.43554688,0.21679688,29.71875,-63.59375,-11.34375
67,67,1727290557399,0.11230469,-0.3173828,0.11621094,50.96875,-63.03125,-61.5
68,68,1727290557439,-0.4814453,-0.6113281,-0.2626953,99.125,-51.625,-145.75
69,69,1727290557479,-1.9345703,-2.0,-0.16796875,180.84375,-144.9375,-204.8125
70,70,1727290557519,-2.0,-1.5449219,-1.3496094,49.5625,-290.21875,-119.5625
71,71,1727290557559,-0.828125,-0.53515625,-0.041015625,-97.84375,-25.0625,-118.8125
72,72,1727290557599,-0.4892578,-0.8964844,-0.51953125,-72.59375,15.03125,-54.375
73,73,1727290557639,-0.45214844,-0.47753906,-0.16894531,-64.71875,64.71875,35.71875
74,74,1727290557679,-0.048828125,-0.22949219,0.047851562,-9.28125,69.09375,90.53125
75,75,1727290557719,0.2109375,-0.18554688,0.28027344,112.78125,41.40625,83.34375
76,76,1727290557759,0.040039062,-0.22753906,-0.8564453,153.6875,138.5,5.875
77,77,1727290557799,-0.7734375,-0.28710938,0.24316406,-139.28125,-45.46875,-4.0625
78,78,1727290557839,-2.0,-1.6572266,-0.5439453,-17.71875,52.1875,-60.46875
79,79,1727290557879,-1.2714844,-0.23339844,-0.3564453,-205.875,28.6875,117.3125
80,80,1727290557919,-0.7871094,-0.4921875,-0.7392578,38.03125,-54.8125,102.1875
81,81,1727290557959,-1.0126953,-1.7861328,-1.1025391,303.28125,107.125,147.46875
82,82,1727290557999,-0.9111328,-1.2089844,-0.3154297,-169.625,294.25,103.71875
83,83,1727290558039,-0.71484375,-0.9091797,1.1523438,-220.84375,-190.0,66.0
84,84,1727290558079,-0.5136719,-1.1103516,-0.125,18.3125,92.1875,54.09375
85,85,1727290558119,0.13183594,-0.73535156,0.5205078,-27.65625,-31.59375,3.9375
86,86,1727290558159,0.17089844,-0.5175781,0.20605469,25.625,-54.875,-57.0625
87,87,1727290558199,-0.07128906,-0.5908203,0.025390625,73.28125,-8.15625,-73.71875
