,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0,1727879308030,0.86035156,0.028320312,0.5205078,0.03125,-0.34375,-0.0625
1,1,1727879308070,0.8671875,0.028320312,0.5078125,-0.28125,-0.09375,-0.0625
2,2,1727879308110,0.86621094,0.03125,0.515625,-0.03125,0.1875,0.15625
3,3,1727879308150,0.859375,0.024414062,0.5097656,-0.03125,0.4375,-0.0625
4,4,1727879308190,0.8613281,0.03125,0.51171875,0.15625,0.5625,-0.0625
5,5,1727879308230,0.8652344,0.034179688,0.51464844,-0.15625,-0.03125,-0.25
6,6,1727879308270,0.8701172,0.028320312,0.515625,-0.25,-0.125,-0.40625
7,7,1727879308310,0.86035156,0.036132812,0.5078125,-0.25,-0.375,-0.21875
8,8,1727879308350,0.86621094,0.030273438,0.5107422,-0.0625,0.0625,-0.125
9,9,1727879308390,0.8623047,0.0234375,0.51464844,-0.125,0.125,0.0
10,10,1727879308430,0.8574219,0.032226562,0.51171875,-0.0625,0.0625,-0.0625
11,11,1727879308470,0.8613281,0.03125,0.5136719,-0.125,0.0,0.0
12,12,1727879308510,0.86328125,0.028320312,0.51464844,-0.25,-0.0625,-0.0625
13,13,1727879308550,0.86035156,0.0234375,0.50390625,-0.1875,0.25,0.0
14,14,1727879308590,0.8613281,0.0234375,0.5107422,-0.0625,0.125,-0.0625
15,15,1727879308630,0.8652344,0.037109375,0.5,-0.125,0.0,0.0
16,16,1727879308670,0.8535156,0.034179688,0.5136719,-0.0625,0.0,0.0
17,17,1727879308710,0.8642578,0.0234375,0.5263672,-0.125,-0.125,0.0
18,18,1727879308750,0.87109375,0.025390625,0.50097656,0.125,0.1875,0.0
19,19,1727879308790,0.8564453,0.032226562,0.51171875,-0.25,-0.25,-0.0625
20,20,1727879308830,0.8652344,0.02734375,0.5107422,-0.3125,0.0,-0.1875
21,21,1727879308870,0.85839844,0.034179688,0.5263672,0.0,0.125,-0.28125
22,22,1727879308910,0.86035156,0.0390625,0.50683594,0.125,0.125,0.125
23,23,1727879308950,0.8642578,0.026367188,0.51464844,0.0,0.0,0.125
24,24,1727879308990,0.85839844,0.01953125,0.52441406,-0.3125,-0.0625,-0.0625
25,25,1727879309030,0.8642578,0.040039062,0.5263672,-0.125,-0.0625,0.0625
26,26,1727879309070,0.8652344,0.03125,0.5136719,0.0,0.0625,0.0625
27,27,1727879309110,0.86816406,0.029296875,0.50097656,0.0,0.1875,0.125
28,28,1727879309150,0.86035156,0.02734375,0.5019531,0.125,0.0625,0.0625
29,29,1727879309190,0.8642578,0.028320312,0.5205078,0.0,0.0625,-0.125
30,30,1727879309230,0.8730469,0.032226562,0.50878906,-0.25,-0.4375,-0.125
31,31,1727879309270,0.8652344,0.032226562,0.5136719,-0.125,-0.4375,-0.1875
32,32,1727879309310,0.8623047,0.030273438,0.49316406,0.0,0.1875,0.0625
33,33,1727879309350,0.8691406,0.034179688,0.5185547,0.1875,0.25,0.0625
34,34,1727879309390,0.8574219,0.022460938,0.50097656,-0.25,0.125,-0.1875
35,35,1727879309430,0.86621094,0.03125,0.51464844,-0.4375,-0.125,-0.28125
36,36,1727879309470,0.8720703,0.032226562,0.50097656,-0.25,-0.0625,-0.1875
37,37,1727879309510,0.859375,0.02734375,0.5263672,0.0,0.0625,0.125
38,38,1727879309550,0.86328125,0.028320312,0.50878906,0.125,0.1875,0.1875
39,39,1727879309590,0.8652344,0.02734375,0.52246094,-0.0625,0.25,0.0625
40,40,1727879309630,0.86328125,0.02734375,0.50683594,-0.3125,-0.0625,-0.0625
41,41,1727879309670,0.86035156,0.022460938,0.5214844,-0.1875,-0.0625,-0.1875
42,42,1727879309710,0.8623047,0.03515625,0.5019531,-0.125,0.0,-0.1875
43,43,1727879309750,0.86328125,0.034179688,0.5048828,-0.3125,-0.125,-0.0625
44,44,1727879309790,0.8652344,0.034179688,0.51171875,0.0625,0.0625,-0.125
45,45,1727879309830,0.8701172,0.026367188,0.5214844,0.0,0.25,0.0
46,46,1727879309870,0.85839844,0.030273438,0.49902344,0.0625,0.125,0.125
47,47,1727879309910,0.8623047,0.029296875,0.50390625,-0.1875,0.0625,0.0625
48,48,1727879309950,0.8671875,0.025390625,0.5078125,-0.25,0.0,0.125
49,49,1727879309990,0.8652344,0.029296875,0.5097656,-0.25,-0.25,-0.125
50,50,1727879310030,0.86035156,0.03125,0.5078125,-0.125,0.125,-0.34375
