,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1727184542604,-0.23925781,0.23242188,0.9873047,-0.0625,0.21875,0.0
1,1727184542644,-0.23535156,0.2265625,0.96777344,0.125,0.34375,-0.125
2,1727184542684,-0.2421875,0.23535156,0.98535156,-0.0625,0.21875,-0.125
3,1727184542724,-0.23925781,0.2265625,0.984375,0.0625,0.28125,0.0
4,1727184542764,-0.23242188,0.23828125,0.9785156,0.125,0.5625,0.0625
5,1727184542804,-0.22851562,0.22851562,0.9746094,0.25,0.34375,-0.125
6,1727184542844,-0.24511719,0.234375,0.984375,0.0625,0.4375,-0.34375
7,1727184542884,-0.24121094,0.22851562,0.97753906,-0.125,0.21875,-0.1875
8,1727184542924,-0.23339844,0.234375,0.98828125,-0.1875,0.03125,-0.125
9,1727184542964,-0.22753906,0.23144531,0.9746094,-0.0625,0.15625,-0.25
10,1727184543004,-0.22753906,0.23242188,0.984375,0.125,0.40625,-0.125
11,1727184543044,-0.234375,0.23632812,0.9824219,0.125,0.40625,-0.125
12,1727184543084,-0.23632812,0.24121094,0.9736328,0.1875,0.40625,-0.25
13,1727184543124,-0.23046875,0.24804688,0.98339844,0.125,0.5625,-0.125
14,1727184543164,-0.2421875,0.22558594,0.9794922,0.0,0.28125,-0.1875
15,1727184543204,-0.23730469,0.23730469,0.96484375,0.0625,0.34375,-0.0625
16,1727184543244,-0.23828125,0.22949219,0.9785156,0.0,0.21875,-0.125
17,1727184543284,-0.24414062,0.23535156,0.96875,0.0,0.34375,-0.125
18,1727184543324,-0.23925781,0.23632812,0.9746094,-0.0625,0.21875,-0.25
19,1727184543364,-0.22949219,0.23339844,0.97265625,0.25,0.5,0.0625
20,1727184543404,-0.23828125,0.234375,0.9794922,0.0625,0.28125,0.0
21,1727184543444,-0.23339844,0.24023438,0.9814453,0.25,0.4375,-0.1875
22,1727184543484,-0.23730469,0.23730469,0.97753906,-0.1875,0.28125,-0.34375
23,1727184543524,-0.23632812,0.24121094,0.9824219,-0.1875,0.15625,-0.1875
24,1727184543564,-0.23339844,0.234375,0.9785156,0.0625,0.40625,-0.125
25,1727184543604,-0.23339844,0.22363281,0.9863281,0.125,0.34375,0.0
26,1727184543644,-0.23242188,0.23828125,0.9814453,0.0625,0.34375,-0.1875
27,1727184543684,-0.23828125,0.23535156,0.9941406,0.0,0.28125,-0.125
