,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0,1727183363554,-0.99902344,-0.15234375,0.001953125,-0.1875,-0.375,-0.09375
1,1,1727183363594,-1.0087891,-0.16308594,0.01171875,1.09375,-0.25,-0.34375
2,2,1727183363634,-1.0019531,-0.15429688,-0.001953125,-0.125,-0.4375,-0.21875
3,3,1727183363674,-0.9951172,-0.16308594,0.0009765625,0.0625,-0.375,-0.28125
4,4,1727183363714,-1.0019531,-0.16015625,0.009765625,1.09375,-0.25,-0.09375
5,5,1727183363754,-1.0097656,-0.1640625,-0.01171875,0.125,-0.25,-0.21875
6,6,1727183363794,-0.99121094,-0.15429688,0.00390625,0.96875,0.0625,-0.34375
7,7,1727183363834,-1.0068359,-0.15820312,-0.0009765625,0.0625,-0.3125,-0.28125
8,8,1727183363874,-0.9970703,-0.15722656,0.0048828125,0.96875,0.28125,-0.59375
9,9,1727183363914,-1.0048828,-0.15332031,-0.009765625,-0.96875,-0.375,-0.15625
10,10,1727183363954,-1.0039062,-0.15625,-0.00390625,1.59375,-0.25,-0.15625
11,11,1727183363994,-1.0087891,-0.15820312,-0.0009765625,-0.5625,-0.375,-0.15625
12,12,1727183364034,-0.9892578,-0.15722656,0.0,0.375,0.0,-0.46875
13,13,1727183364074,-0.99902344,-0.15527344,-0.0068359375,0.0625,-0.5,-0.03125
14,14,1727183364114,-1.0087891,-0.15429688,-0.0126953125,0.375,-0.125,-0.28125
15,15,1727183364154,-0.99121094,-0.15039062,0.0048828125,0.5,-0.4375,-0.09375
16,16,1727183364194,-0.9970703,-0.15527344,-0.0087890625,-0.375,-0.5625,-0.15625
17,17,1727183364234,-0.99902344,-0.16015625,-0.009765625,0.84375,-0.4375,-0.09375
18,18,1727183364274,-1.0019531,-0.15527344,0.0078125,-0.4375,-0.4375,0.03125
19,19,1727183364314,-0.9951172,-0.15917969,0.005859375,0.0625,-0.375,-0.15625
20,20,1727183364354,-0.99316406,-0.1640625,-0.0078125,-0.75,0.0625,-0.09375
21,21,1727183364394,-1.0058594,-0.1640625,0.005859375,0.96875,0.0625,-0.15625
22,22,1727183364434,-1.0029297,-0.16113281,-0.001953125,-0.1875,-0.375,-0.09375
23,23,1727183364474,-1.0058594,-0.15917969,0.0,0.3125,-0.1875,0.21875
24,24,1727183364514,-1.0078125,-0.16113281,-0.0107421875,-0.625,-0.3125,0.03125
25,25,1727183364554,-0.99902344,-0.15722656,-0.0009765625,0.125,-0.3125,0.15625
26,26,1727183364594,-0.99609375,-0.16601562,-0.0009765625,0.25,-0.0625,-0.40625
27,27,1727183364634,-1.0048828,-0.16894531,-0.0029296875,-0.125,-0.125,-0.28125
28,28,1727183364674,-0.9951172,-0.16894531,0.0009765625,0.59375,-0.1875,-0.40625
29,29,1727183364714,-1.0078125,-0.16796875,-0.0087890625,0.65625,-0.125,-0.21875
30,30,1727183364754,-1.0009766,-0.16015625,0.0,1.53125,0.0,-0.09375
31,31,1727183364794,-0.99609375,-0.1484375,0.00390625,1.09375,-0.125,-0.09375
32,32,1727183364834,-1.0029297,-0.15527344,-0.0146484375,0.25,-0.25,-0.15625
33,33,1727183364874,-1.0068359,-0.15429688,0.0009765625,1.28125,0.0625,-0.34375
34,34,1727183364914,-1.0048828,-0.15527344,-0.016601562,-0.5625,-0.375,-0.15625
35,35,1727183364954,-1.0146484,-0.16113281,-0.0029296875,0.90625,-0.1875,-0.03125
36,36,1727183364994,-0.9980469,-0.16699219,0.001953125,0.125,-0.5625,0.09375
37,37,1727183365034,-0.9980469,-0.16113281,0.001953125,0.78125,-0.0625,-0.40625
38,38,1727183365074,-0.99609375,-0.16503906,0.0087890625,0.25,-0.0625,-0.28125
39,39,1727183365114,-1.0078125,-0.16894531,-0.015625,0.96875,0.0625,-0.28125
40,40,1727183365154,-1.0,-0.16015625,-0.018554688,1.09375,-0.3125,-0.09375
41,41,1727183365194,-0.9902344,-0.15332031,-0.0029296875,0.5625,-0.0625,-0.03125
42,42,1727183365234,-0.9980469,-0.16503906,-0.0126953125,0.96875,-0.1875,-0.09375
43,43,1727183365274,-1.0019531,-0.16015625,-0.0107421875,0.0,-0.25,-0.03125
44,44,1727183365314,-1.0078125,-0.15136719,-0.020507812,0.3125,-0.3125,0.09375
45,45,1727183365354,-0.9980469,-0.16308594,-0.0048828125,0.0,-0.4375,-0.15625
46,46,1727183365394,-1.0039062,-0.15722656,-0.022460938,-0.375,-0.3125,-0.28125
47,47,1727183365434,-1.0068359,-0.1640625,-0.001953125,-0.125,-0.375,-0.15625
48,48,1727183365474,-1.0068359,-0.16113281,-0.01171875,0.125,-0.5,0.21875
49,49,1727183365514,-0.99902344,-0.1640625,-0.0068359375,0.125,-0.5,0.03125
50,50,1727183365554,-0.99902344,-0.15332031,-0.01171875,0.0625,-0.625,-0.21875
51,51,1727183365594,-0.9951172,-0.16113281,-0.0107421875,0.5625,-0.3125,0.03125
52,52,1727183365634,-1.0058594,-0.16015625,-0.01171875,-0.6875,-0.5,0.03125
53,53,1727183365674,-0.99609375,-0.1640625,-0.0068359375,1.09375,-0.3125,-0.21875
54,54,1727183365714,-1.0029297,-0.15722656,-0.001953125,0.0,-0.4375,0.03125
55,55,1727183365754,-0.9980469,-0.15429688,0.00390625,0.59375,-0.5,0.15625
56,56,1727183365794,-1.0019531,-0.16308594,-0.0009765625,-0.375,-0.5625,0.09375
57,57,1727183365834,-1.0,-0.1640625,0.0048828125,0.5,-0.625,0.15625
58,58,1727183365874,-1.0029297,-0.15039062,-0.00390625,-0.25,-0.875,-0.09375
59,59,1727183365914,-1.0068359,-0.16601562,-0.0029296875,0.5625,-0.8125,-0.03125
60,60,1727183365954,-1.0039062,-0.16210938,-0.0146484375,-1.28125,-0.9375,-0.03125
61,61,1727183365994,-1.0078125,-0.16699219,0.0107421875,1.46875,-0.625,-0.09375
62,62,1727183366034,-0.99316406,-0.15625,-0.009765625,-1.96875,-0.75,0.09375
63,63,1727183366074,-1.0,-0.16015625,-0.0029296875,1.65625,-0.375,-0.34375
